timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701785953841.7056,0,0,0,0,0,0,0,0,89913210147,14872860883,24670197,35591456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1430207,48368662528,1115831,29630001664,196,359936,0,0,915.65625,431085.15625,651.71875,8664.781249999942,18000.1875,11.1,4701.0,0.0,4701.0,1652811205,1202163899,0,3334825902
1701785954820.7727,0,0,0,0,0,0,0,0,89913211761,14872862036,24670206,35591457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1430207,48368662528,1115847,29630525952,196,359936,0,0,915.65625,431096.203125,651.734375,8665.078124999942,18000.65625,6.6,4701.0,0.0,4701.0,1652856522,1202195335,0,3335148842
1701785955819.9326,0,0,0,0,0,0,0,0,89913213699,14872863397,24670219,35591460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1430207,48368662528,1115860,29631078912,196,359936,0,0,915.6875,431107.65625,651.734375,8665.296874999942,18000.984375,4.8,4701.0,0.0,4701.0,1652899896,1202226579,0,3335467524
1701785956821.2014,0,0,0,0,0,0,0,0,89913215313,14872864005,24670230,35591464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1430207,48368662528,1115892,29631742464,196,359936,0,0,915.71875,431119.046875,651.75,8665.499999999942,18001.390625,5.4,4701.0,0.0,4701.0,1652941241,1202256365,0,3335786688
1701785957836.1653,0,0,0,0,0,0,0,0,89913235056,14872922966,24670287,35591528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1430208,48368663040,1115901,29632025600,196,359936,0,0,915.71875,431129.890625,651.75,8666.046874999942,18002.1875,11.0,4701.0,0.0,4701.0,1653006636,1202312047,0,3336235227
1701785958825.0964,0,0,0,0,0,0,0,0,89913240165,14872923548,24670291,35591533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1430209,48368679424,1115960,29632934912,196,359936,0,0,915.796875,431138.921875,651.8125,8667.0625,18003.953125,24.4,4701.0,0.0,4701.0,1653094986,1202412381,0,3336691904
1701785959819.584,0,0,0,0,0,0,0,0,89913241774,14872925826,24670299,35591539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1430213,48368744960,1116023,29634135040,196,359936,0,0,915.8125,431149.515625,651.828125,8667.4375,18004.984375,11.9,4701.0,0.0,4701.0,1653170118,1202459501,0,3337034228
1701785960820.2358,0,0,0,0,0,0,0,0,89913245755,14872929138,24670314,35591551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1430213,48368744960,1116028,29634462720,196,359936,0,0,915.84375,431160.578125,651.828125,8667.734375,18005.625,8.1,4701.0,0.0,4701.0,1653225470,1202497164,0,3337330146
1701785961830.6694,0,0,0,0,0,0,0,0,89913247851,14872929438,24670328,35591556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1430213,48368744960,1116070,29635343360,196,359936,0,0,915.84375,431171.953125,651.84375,8668.109375,18006.0625,6.8,4701.0,0.0,4701.0,1653278380,1202533297,0,3337619392
1701785962829.762,0,0,0,0,0,0,0,0,89913250954,14872932769,24670342,35591569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1430213,48368744960,1116113,29636101120,196,359936,0,0,915.875,431183.25,651.84375,8668.3125,18006.5625,6.1,4701.0,0.0,4701.0,1653329822,1202568375,0,3337903991
1701785963828.2703,0,0,0,0,0,0,0,0,89913306484,14872984536,24670447,35591665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1430215,48368794112,1116175,29637374976,196,359936,0,0,915.90625,431193.0625,651.90625,8669.28125,18007.78125,18.9,4701.0,0.0,4701.0,1653397822,1202655621,0,3338273667
