timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701797870012.8542,0,0,0,0,0,0,0,0,127212687187,19059573913,35751783,52471610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1520102,52259038208,1395084,37750084608,196,359936,0,0,1175.5625,568804.984375,817.875,10593.375,21345.828125,20.8,4701.0,0.0,4701.0,2127104123,1585779627,0,296407911
1701797871011.436,0,0,0,0,0,0,0,0,127212692584,19059650715,35751834,52471729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1520117,52260374016,1395119,37750781440,196,359936,0,0,1175.578125,568814.75,817.875,10594.5625,21346.875,18.7,4701.0,0.0,4701.0,2127178789,1585827363,0,297557978
1701797872028.535,0,0,0,0,0,0,0,0,127212698067,19059660594,35751842,52471789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1520123,52260464128,1395131,37751121408,196,359936,0,0,1175.625,568823.328125,817.890625,10595.84375,21349.203125,30.0,4701.0,0.0,4701.0,2127268320,1585956353,0,298164613
1701797873021.906,0,0,0,0,0,0,0,0,127212716926,19059677398,35751920,52471859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1520127,52260541952,1395156,37751707136,196,359936,0,0,1175.640625,568833.5,817.890625,10596.46875,21350.40625,15.3,4701.0,0.0,4701.0,2127442943,1586055137,0,298542133
1701797874013.4302,0,0,0,0,0,0,0,0,127212727721,19059682056,35751973,52471900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1520127,52260541952,1395206,37752587776,196,359936,0,0,1175.671875,568844.234375,817.90625,10596.875,21351.078125,9.5,4701.0,0.0,4701.0,2127504917,1586096334,0,298833242
1701797875034.01,0,0,0,0,0,0,0,0,127212728231,19059690272,35751979,52471935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1520129,52260574720,1395247,37753783808,196,359936,0,0,1175.671875,568855.90625,817.90625,10597.140625,21351.515625,5.7,4701.0,0.0,4701.0,2127565307,1586136691,0,299130639
1701797876016.9436,0,0,0,0,0,0,0,0,127212760842,19059708822,35752008,52472031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1520129,52260574720,1395253,37754115584,196,359936,0,0,1175.6875,568866.390625,817.90625,10597.65625,21352.328125,11.4,4701.0,0.0,4701.0,2127629020,1586178960,0,299430603
1701797877027.7246,0,0,0,0,0,0,0,0,127212819933,19059767619,35752154,52472164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1520130,52260591104,1395294,37755168256,196,359936,0,0,1175.6875,568876.25,817.921875,10598.453125,21353.671875,17.9,4701.0,0.0,4701.0,2127753613,1586282080,0,299785318
1701797878029.7092,0,0,0,0,0,0,0,0,127212855451,19059808732,35752342,52472363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1520133,52260640256,1395357,37756282368,196,359936,0,0,1175.71875,568885.90625,817.953125,10599.53125,21354.9375,20.2,4701.0,0.0,4701.0,2127890734,1586362075,0,300903921
1701797879027.084,0,0,0,0,0,0,0,0,127212879465,19059822858,35752482,52472497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,5,0,0,0,0,0,1520136,52260689408,1395394,37757453824,196,359936,0,0,1175.734375,568896.421875,817.96875,10600.296875,21355.65625,12.3,4701.0,0.0,4701.0,2128015763,1586437201,0,301662118
