Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-1541503,4145,6.389529934999999
1.003,-1498046,4145,6.209400669999999
2.006,-1480956,4145,6.138562619999999
3.01,-1481444,4145,6.140585379999999
4.013,-1472655,4145,6.104154974999999
5.015,-1506835,4145,6.245831075
6.017,-1467284,4145,6.08189218
7.02,-1418944,4145,5.8815228799999995
8.021,-1409667,4145,5.8430697149999995
9.023,-1398436,4145,5.796517219999999
10.025,-1354003,4145,5.612342434999999
11.027,-1340819,4145,5.557694754999999
12.028,-1409178,4149,5.8466795220000005
13.03,-1485839,4149,6.164746011
14.032,-1478514,4149,6.134354586
15.037,-1489745,4149,6.180952004999999
16.039,-1486815,4149,6.168795435
17.041,-1542479,4149,6.399745371
18.043,-1508300,4141,6.2458703
19.045,-1512206,4141,6.262045046
20.048,-1417968,4141,5.871805488000001
21.051,-1323241,4141,5.4795409809999995
22.053,-1286620,4156,5.347192719999999
23.056,-1481932,4156,6.158909392
24.058,-1527342,4156,6.347633352000001
25.06,-1525389,4156,6.3395166839999995
26.062,-1501464,4156,6.240084383999999
27.064,-1533202,4156,6.371987512
28.066,-1534667,4156,6.378076052
29.068,-1490721,4156,6.195436475999999
30.071,-1504393,4156,6.252257308
31.073,-1483397,4156,6.164997931999999
32.078,-1503905,4140,6.226166699999999
33.08,-1506835,4140,6.2382969
34.082,-1506346,4140,6.23627244
35.085,-1514647,4140,6.270638579999999
36.089,-1441893,4140,5.96943702
37.092,-1565428,4140,6.480871919999999
38.094,-1557616,4140,6.448530239999999
39.096,-1552733,4140,6.428314619999999
40.098,-1564940,4140,6.4788516
41.1,-1554686,4140,6.43640004
42.103,-1573729,4133,6.5042219569999995
43.105,-1573729,4133,6.5042219569999995
44.107,-1602538,4133,6.623289554
45.11,-1546874,4133,6.3932302420000005
46.112,-1528319,4133,6.316542427
47.114,-1583495,4133,6.544584834999999
48.118,-1587889,4133,6.562745237
49.12,-1581542,4133,6.536513086
50.123,-1600585,4133,6.615217805
51.125,-1576171,4133,6.514314743
52.127,-1596678,4130,6.59428014
53.131,-1618651,4130,6.68502863
54.133,-1578612,4130,6.51966756
55.135,-1576171,4130,6.50958623
56.137,-1538085,4130,6.352291050000001
57.139,-1593260,4130,6.580163799999999
58.142,-1608397,4130,6.642679609999999
59.144,-1572264,4131,6.495022584
60.145,-1637206,4131,6.763297986
61.147,-1582030,4131,6.53536593
62.149,-1572264,4130,6.493450319999999
63.152,-1562010,4130,6.4511012999999995
64.154,-1568846,4130,6.47933398
65.159,-1618651,4130,6.68502863
66.161,-1603026,4130,6.62049738
67.164,-1575194,4130,6.50555122
68.166,-1593749,4130,6.58218337
69.168,-1583495,4130,6.53983435
70.171,-1597167,4130,6.59629971
71.178,-1719237,4130,7.1004488100000005
72.179,-1570799,4127,6.4826874729999995
73.181,-1610839,4127,6.6479325529999995
74.184,-1585936,4127,6.545157872
75.186,-1579589,4127,6.518963802999999
76.188,-1589842,4127,6.5612779340000005
77.19,-1592284,4127,6.571356068
78.191,-1601561,4127,6.609642247
79.193,-1552245,4127,6.4061151149999995
80.195,-1706542,4127,7.042898834
81.199,-1604979,4127,6.623748332999999
82.201,-1625975,4125,6.707146874999999
83.203,-1580565,4125,6.519830625
84.205,-1587401,4125,6.548029125
85.207,-1596678,4125,6.58629675
86.217,-1598143,4125,6.592339875
87.219,-1577635,4125,6.507744375
88.221,-1593260,4125,6.5721975
89.223,-1592284,4125,6.5681715
90.225,-1626464,4125,6.7091639999999995
91.227,-1574706,4125,6.49566225
92.229,-1620604,4122,6.680129687999999
93.232,-1598631,4122,6.589556982
94.234,-1592284,4122,6.563394648
95.235,-1593749,4122,6.569433378
96.238,-1590819,4122,6.557355918
97.24,-1599120,4123,6.59317176
98.243,-1592284,4123,6.564986932
99.245,-1571288,4123,6.478420424
100.247,-1574217,4123,6.4904966910000015
101.249,-1583495,4123,6.528749885
102.253,-1613768,4123,6.653565464000001
103.255,-1605467,4123,6.619340441000001
104.257,-1563964,4123,6.448223572
105.26,-1544432,4123,6.367693136000001
106.262,-1555663,4123,6.413998549
107.264,-1545409,4123,6.3717213070000005
108.266,-1583495,4123,6.528749885
109.268,-1590331,4123,6.556934713
110.27,-1597167,4123,6.585119541
111.273,-1589354,4123,6.552906542
112.275,-1583007,4122,6.525154854
113.277,-1563964,4122,6.446659607999999
114.279,-1591307,4122,6.559367454
115.281,-1585936,4122,6.537228192
116.283,-1567870,4122,6.462760139999999
117.284,-1588378,4122,6.547294115999999
118.287,-1597167,4122,6.583522374
119.288,-1606932,4119,6.618952908
120.3,-1604003,4119,6.606888356999999
121.305,-1604491,4119,6.608898428999999
122.308,-1605956,4119,6.614932764
123.31,-1598143,4119,6.582751017
124.313,-1578612,4119,6.502302828
125.316,-1607909,4119,6.622977171
126.32,-1587401,4119,6.538504719
127.323,-1513671,4119,6.234810849
128.325,-1582030,4119,6.51638157
129.327,-1617674,4119,6.663199206
130.33,-1567870,4119,6.4580565299999995
131.335,-1603026,4119,6.602864094
132.336,-1634276,4118,6.729948568000001
133.338,-1596190,4118,6.573110420000001
134.34,-1582518,4118,6.516809124000001
135.342,-1599120,4118,6.58517616
136.344,-1594237,4118,6.565067966000001
137.346,-1604003,4116,6.602076347999999
138.348,-1594237,4116,6.561879492
139.35,-1580565,4116,6.5056055399999995
140.353,-1606932,4116,6.614132111999999
141.355,-1604979,4116,6.606093563999999
142.357,-1606444,4116,6.6121235039999995
143.36,-1566405,4116,6.44732298
144.363,-1593260,4116,6.557858159999999
145.365,-1599120,4116,6.581977919999999
146.368,-1601561,4116,6.592025076
147.37,-1601561,4116,6.592025076
148.373,-1623534,4116,6.682465944
149.375,-1607909,4116,6.618153444
150.377,-1577635,4116,6.493545659999999
151.379,-1587889,4116,6.535751123999999
152.382,-1645018,4116,6.7708940879999995
153.384,-1589842,4116,6.543789672
154.386,-1600585,4116,6.58800786
155.389,-1597167,4116,6.573939372
156.391,-1606444,4116,6.6121235039999995
157.393,-1602049,4116,6.594033683999999
158.395,-1627928,4116,6.700551647999999
159.397,-1573729,4116,6.477468564
160.4,-1561522,4116,6.427224551999998
161.402,-1605467,4116,6.608102172000001
162.404,-1506346,4119,6.2046391739999995
163.407,-1538085,4119,6.335372115
164.41,-1533202,4119,6.315259038
165.414,-1585936,4119,6.532470384
166.416,-1586913,4119,6.536494647
167.417,-1583495,4119,6.522415904999999
168.419,-1551268,4119,6.389672892
169.421,-1564940,4119,6.44598786
170.424,-1627928,4119,6.705435432
171.426,-1582518,4119,6.518391642
172.429,-1647948,4109,6.7714183320000005
173.431,-1622557,4109,6.667086713
174.433,-1634276,4109,6.715240084
175.435,-1619139,4109,6.653042150999999
176.439,-1614256,4109,6.6329779040000005
177.442,-1629881,4109,6.697181029
178.444,-1612303,4109,6.624953027
179.446,-1599608,4109,6.572789272
180.449,-1608397,4109,6.608903272999999
181.451,-1630370,4109,6.6991903299999995
182.455,-1595214,4111,6.557924753999999
183.457,-1628905,4111,6.6964284549999995
184.46,-1615233,4111,6.640222862999999
185.462,-1625487,4111,6.682377057
186.464,-1644530,4111,6.76066283
187.466,-1628417,4111,6.694422286999999
188.469,-1619139,4111,6.656280428999999
189.471,-1644530,4111,6.76066283
190.473,-1615233,4111,6.640222862999999
191.475,-1659178,4111,6.8208807579999995
192.477,-1626952,4108,6.683518815999999
193.482,-1631346,4108,6.7015693679999995
194.484,-1649413,4108,6.775788604
195.491,-1632811,4108,6.707587587999999
196.493,-1638182,4108,6.729651656
197.495,-1632323,4108,6.705582884
198.497,-1639647,4108,6.7356698759999984
199.499,-1588378,4108,6.525056823999999
200.501,-1645018,4108,6.757733944
201.503,-1702147,4108,6.992419875999999
202.506,-1613768,4107,6.627745176
203.507,-1546385,4107,6.351003195
204.51,-1643065,4107,6.748067955000001
205.511,-1643553,4107,6.750072171
206.513,-1616698,4107,6.639778686000001
207.515,-1650389,4107,6.778147623
208.517,-1612792,4107,6.623736744
209.519,-1640624,4107,6.738042768000001
210.524,-1680174,4107,6.9004746180000005
211.526,-1749022,4107,7.1832333539999995
212.53,-1603026,4107,6.583627782000001
213.533,-1615721,4107,6.635766147
214.536,-1645506,4107,6.758093142000001
215.538,-1681151,4107,6.904487157000001
216.54,-1633299,4103,6.701425797
