timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/7/2023 12:59:00 AM,225242512.0,525000000.0,29.858,114.346,33.087,1.498,30.478,29.573,7.561,6.897,1531134336.0,937238272.0,1342078208.0,101174896.0,1327451.375,79.53,16.246,34.934,38.159,24.547,74.355,89.138,0.0,0.0,0.945,3025504.25,178068080.0,0.591,33.441,57.564,1.292,99.055,1289931264.0,38730141696.0,16843893760.0,37644648448.0,3063924480.0,0.305,1.664,0.589,25.658,2.204,3344997.75,1.056,0.991,0.904,6956382.5,395.416,0.001,100.0,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.0
12/7/2023 12:59:01 AM,218000416.0,525000000.0,29.57,104.549,2.388,1.546,30.614,29.572,7.543,6.744,1515507712.0,894028480.0,1329270272.0,101035544.0,187351.266,80.821,16.189,35.056,38.293,24.634,75.532,89.284,0.0,0.0,0.938,3027451.5,178090480.0,0.592,33.373,57.533,1.292,99.062,1291726720.0,38784421888.0,16867449856.0,37697474560.0,3068233984.0,0.305,1.664,0.589,25.658,2.204,3345279.5,0.927,1.041,0.905,6961758.5,395.352,0.001,100.0,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.0
12/7/2023 12:59:02 AM,221197216.0,525000000.0,30.255,114.501,131.885,1.508,30.195,29.541,7.297,6.754,1588747264.0,927755392.0,1396673024.0,102704008.0,2453306.5,79.835,15.781,34.984,38.214,24.583,74.61,89.242,0.0,0.0,0.932,3027463.75,178083008.0,0.592,33.924,57.53,1.292,99.068,1291674368.0,38782611456.0,16866694144.0,37695672320.0,3068081408.0,0.305,1.664,0.589,25.658,2.204,3345298.25,0.931,0.973,0.905,6961585.5,395.471,0.001,100.0,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.0
12/7/2023 12:59:03 AM,221675024.0,525000000.0,29.238,109.408,2.375,1.559,30.395,29.694,7.084,6.214,1611287296.0,917013760.0,1414129408.0,108992552.0,196059.547,80.699,15.432,35.627,38.962,25.321,75.259,89.046,0.0,0.0,0.952,3236792.75,190307568.0,0.591,33.673,57.503,1.293,99.048,1343727104.0,40974336000.0,17590163456.0,40218554368.0,3274895872.0,0.309,1.682,0.565,25.976,2.257,3571502.25,0.869,1.089,0.906,7449646.0,384.751,0.001,100.0,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.0
12/7/2023 12:59:04 AM,220201200.0,525000000.0,30.679,109.55,3.041,1.505,30.721,29.617,6.891,7.074,1653675264.0,948337024.0,1457891456.0,105125704.0,1320652.25,80.606,16.135,34.851,38.086,24.634,75.336,89.31,0.0,0.0,0.918,3076725.0,181904032.0,0.602,34.168,57.825,1.298,99.082,1326931840.0,40176238592.0,17336909824.0,39288455168.0,3195101952.0,0.307,1.672,0.573,25.85,2.233,3420561.75,0.909,1.041,0.899,7091853.0,397.283,0.001,99.984,0.001,0.02,Quest-2,BeatSaber,PopStars-Medium,False,True,0.0
12/7/2023 12:59:05 AM,240069024.0,525000000.0,35.289,164.322,115.562,1.42,30.224,29.415,8.26,6.701,1962598016.0,1518275456.0,1757055744.0,105695200.0,4791739.0,77.677,16.372,34.195,37.321,23.816,72.817,89.143,0.0,0.0,0.917,3246229.25,190917504.0,0.593,32.559,57.519,1.293,99.083,1414482176.0,41911181312.0,18422837248.0,40400269312.0,3288210432.0,0.302,1.648,0.609,25.402,2.163,3584094.5,0.889,1.064,0.906,7458102.0,403.724,0.002,99.98,0.002,0.026,Quest-2,BeatSaber,PopStars-Medium,False,True,0.0
12/7/2023 12:59:06 AM,222255648.0,525000000.0,27.591,134.447,28.909,1.505,30.327,29.677,10.617,4.834,1470259584.0,1024581696.0,1297532416.0,87422872.0,2494691.5,78.2,15.353,35.537,38.81,25.018,73.057,86.264,0.0,0.0,0.935,3045235.25,179395344.0,0.595,28.708,57.616,1.294,99.065,1310708992.0,39517474816.0,17116616704.0,38533005312.0,3134354432.0,0.307,1.667,0.58,25.762,2.219,3383692.25,0.929,1.133,0.9,7012017.5,396.24,0.002,99.96,0.001,0.05,Quest-2,BeatSaber,PopStars-Medium,False,True,0.0
12/7/2023 12:59:07 AM,233721456.0,525000000.0,36.988,149.386,153.825,1.373,31.979,29.535,7.974,9.044,1819875456.0,1472861440.0,1627743488.0,98834448.0,4765041.5,77.383,18.512,32.808,35.837,23.053,72.681,89.081,0.0,0.0,0.915,3030814.25,178352480.0,0.591,32.61,57.555,1.291,99.085,1291988224.0,38792220672.0,16870855680.0,37705035776.0,3068848640.0,0.305,1.664,0.589,25.658,2.204,3350887.75,1.071,1.025,0.904,6967891.0,395.391,0.002,100.0,0.002,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.0
12/7/2023 12:59:08 AM,220472864.0,525000000.0,34.482,104.565,2.408,1.454,32.231,29.522,7.482,8.272,1675027584.0,1219738496.0,1489952000.0,100660832.0,187380.906,80.602,18.034,33.602,36.705,23.612,75.542,89.44,0.0,0.0,0.92,3027930.5,178118656.0,0.592,33.244,57.533,1.292,99.08,1291928576.0,38790324224.0,16870056960.0,37703155712.0,3068688640.0,0.305,1.664,0.589,25.658,2.204,3345808.75,0.927,1.022,0.905,6962859.5,395.428,0.001,100.0,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.0
12/7/2023 12:59:09 AM,222513760.0,525000000.0,32.423,109.372,2.49,1.444,31.462,29.493,7.143,7.501,1595230720.0,1163000832.0,1404009472.0,106151528.0,195994.766,79.903,17.231,33.777,36.898,23.736,74.795,89.432,0.0,0.0,0.938,3138968.75,182641264.0,0.57,33.817,56.903,1.282,99.062,1289898624.0,38729265152.0,16843501568.0,37643804672.0,3063858944.0,0.305,1.664,0.589,25.658,2.204,3454209.0,0.899,1.04,0.909,7176986.0,381.89,0.001,100.0,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.0
