timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/5/2023 10:57:39 PM,296036000.0,525000000.0,24.713,229.025,16.399,1.275,28.033,29.829,7.006,7.382,1598407680.0,956004672.0,1318309632.0,115208544.0,4913474.0,78.441,15.667,36.923,40.263,19.599,75.312,90.431,0.0,0.0,1.392,4596325.0,350392320.0,0.707,25.065,72.448,3.785,98.608,1377766400.0,54324264960.0,21429045248.0,58929647616.0,3430394624.0,0.326,2.295,0.596,34.012,2.292,4880863.0,21.806,0.813,0.942,10043506.0,365.622,15.319,84.709,0.002,0.0,Quest-2,BeatSaber,PopStars-Medium,False,False,0.2
12/5/2023 10:57:40 PM,301805632.0,525000000.0,25.722,218.964,4.702,1.277,28.486,29.815,6.762,7.758,1702835200.0,1006305792.0,1420203264.0,118444224.0,2646036.75,79.516,15.788,36.725,40.048,19.506,76.327,90.572,0.0,0.0,1.357,4647325.0,354646080.0,0.714,25.487,72.547,3.764,98.643,1419456384.0,56049127424.0,22129770496.0,60761333760.0,3538689792.0,0.326,2.29,0.594,34.043,2.294,4939572.0,21.512,0.853,0.941,10170903.0,370.883,14.893,85.111,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,False,0.2
12/5/2023 10:57:41 PM,308285248.0,525000000.0,27.484,223.789,8.558,1.24,29.362,29.765,7.637,8.601,1707177344.0,1171338496.0,1429073664.0,111187432.0,3776046.0,78.449,17.295,35.769,38.979,18.924,75.512,90.283,0.0,0.0,1.426,4659425.5,366394272.0,0.733,23.863,74.547,4.088,98.574,1408166400.0,54428106752.0,21663021056.0,58638282752.0,3445945344.0,0.32,2.259,0.617,33.372,2.256,4954598.5,24.509,0.781,0.94,10148840.0,381.53,15.208,84.793,0.002,0.0,Quest-2,BeatSaber,PopStars-Medium,False,False,0.2
12/5/2023 10:57:42 PM,320871424.0,525000000.0,31.809,222.975,2.662,1.236,29.7,29.733,6.575,9.578,2010599680.0,1487112576.0,1741914112.0,119734680.0,1518370.5,78.9,17.639,35.137,38.301,19.124,75.873,90.547,0.0,0.0,1.337,4649514.0,354945440.0,0.715,25.752,72.584,3.756,98.663,1414717184.0,55594516480.0,22138728448.0,59732869120.0,3589350400.0,0.323,2.207,0.572,33.796,2.333,4967883.0,21.307,0.708,0.936,10205169.0,367.037,10.295,89.716,0.002,0.0,Quest-2,BeatSaber,PopStars-Medium,False,False,0.2
12/5/2023 10:57:43 PM,334836736.0,525000000.0,33.72,228.78,11.73,1.175,31.329,29.675,6.943,11.744,2101283712.0,1564797312.0,1825921920.0,120194472.0,3778895.75,78.686,19.656,33.586,36.596,18.167,75.803,90.544,0.0,0.0,1.312,4671388.0,356619872.0,0.716,25.73,72.587,3.754,98.688,1449088000.0,56168181760.0,22568427520.0,59989815296.0,3604845568.0,0.319,2.183,0.59,33.408,2.291,4987194.5,21.351,0.796,0.937,10240879.0,374.316,10.199,89.802,0.002,0.0,Quest-2,BeatSaber,PopStars-Medium,False,False,0.2
12/5/2023 10:57:44 PM,299939168.0,525000000.0,26.012,199.085,7.981,1.279,28.007,29.676,7.372,6.799,1636511232.0,1133303296.0,1381657856.0,110559872.0,1480553.25,78.745,15.766,36.478,39.745,19.697,75.665,90.264,0.0,0.0,1.378,4456920.0,343669888.0,0.722,24.806,73.243,3.866,98.622,1364882432.0,52753969152.0,21181976576.0,56367452160.0,3388269312.0,0.318,2.188,0.595,33.309,2.286,4753187.5,22.377,0.697,0.938,9753947.0,375.146,10.811,89.19,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,False,0.2
12/5/2023 10:57:45 PM,317564704.0,525000000.0,24.805,224.053,3.084,1.3,27.129,29.655,6.863,6.39,1687089152.0,1082726784.0,1418230784.0,116689264.0,2649921.25,78.67,15.098,37.217,40.545,20.083,75.479,90.496,0.0,0.0,1.341,4541766.5,350667808.0,0.732,25.692,73.378,3.832,98.659,1446159104.0,56107589632.0,22544816128.0,59933777920.0,3595885056.0,0.319,2.184,0.588,33.414,2.288,4873335.0,21.879,0.696,0.932,9981976.0,385.219,10.223,89.778,0.002,0.002,Quest-2,BeatSaber,PopStars-Medium,False,False,0.2
12/5/2023 10:57:46 PM,325788032.0,525000000.0,31.377,243.833,11.382,1.168,30.434,29.745,6.874,9.81,1972881408.0,1548800128.0,1689022464.0,114403768.0,3807694.75,77.945,17.774,34.098,37.154,18.076,75.137,90.604,0.0,0.0,1.366,4676416.5,367772032.0,0.735,24.464,74.562,4.082,98.634,1418325760.0,55232868352.0,21892116480.0,59678568448.0,3501468672.0,0.322,2.268,0.605,33.612,2.275,4990443.5,24.332,0.738,0.937,10192484.0,380.795,15.05,84.936,0.002,0.02,Quest-2,BeatSaber,PopStars-Medium,False,False,0.2
12/5/2023 10:57:47 PM,319729152.0,525000000.0,31.817,208.891,2.564,1.172,31.239,29.783,6.651,10.193,1920701696.0,1517291520.0,1645214464.0,116520488.0,1497329.375,78.686,17.96,33.937,37.007,17.998,75.828,90.638,0.0,0.0,1.317,4575415.0,349169216.0,0.706,25.467,72.521,3.793,98.683,1372051456.0,54024802304.0,21324623872.0,58582355968.0,3409001984.0,0.325,2.294,0.598,33.975,2.288,4866012.0,21.862,0.747,0.94,9996092.0,365.589,15.376,84.65,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,False,0.2
12/5/2023 10:57:48 PM,328079552.0,525000000.0,31.061,243.781,14.598,1.17,30.691,29.761,6.676,9.746,1980747904.0,1550085632.0,1695676160.0,119140360.0,2683543.75,78.105,17.644,34.086,37.163,18.075,75.204,90.463,0.0,0.0,1.29,4647136.5,354548928.0,0.713,25.637,72.53,3.764,98.71,1427069440.0,56122224640.0,22210086912.0,60749164544.0,3537556736.0,0.325,2.282,0.598,33.945,2.284,4940868.0,21.493,0.783,0.941,10171567.0,373.096,14.861,85.142,0.002,0.0,Quest-2,BeatSaber,PopStars-Medium,False,False,0.2
