timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/7/2023 7:36:35 PM,239527904.0,525000000.0,27.344,119.382,128.641,1.472,31.342,29.644,6.643,6.052,1456321920.0,1069056128.0,1251427968.0,110672936.0,2460233.5,79.278,15.922,33.642,36.782,23.883,74.223,89.344,0.0,0.0,0.91,3235443.25,190157536.0,0.59,34.206,57.481,1.292,99.09,1346710912.0,41051774976.0,17622929408.0,40300752896.0,3278468096.0,0.309,1.68,0.564,25.977,2.255,3576578.75,0.92,1.255,0.905,7447375.5,384.534,0.001,100.0,0.001,0.0,Quest-2,Phasmophobia,Jenga,True,True,0
12/7/2023 7:36:36 PM,228337344.0,525000000.0,29.063,109.484,2.237,1.46,31.165,29.278,7.458,6.602,1546851072.0,1074708992.0,1348777600.0,106096224.0,196194.922,81.058,16.775,33.786,36.858,23.312,76.023,89.474,0.0,0.0,0.882,3089472.75,183088560.0,0.604,34.341,57.965,1.297,99.118,1406908928.0,41401339904.0,18364270592.0,39629877248.0,3222131200.0,0.298,1.641,0.617,25.246,2.131,3439950.25,0.715,0.894,0.898,7125741.5,417.651,0.001,99.965,0.001,0.044,Quest-2,Phasmophobia,Jenga,True,True,0
12/7/2023 7:36:37 PM,156486848.0,525000000.0,44.36,74.659,3.739,1.72,53.333,29.837,6.661,9.718,1675255424.0,758082880.0,1581044224.0,59407044.0,133788.891,92.583,14.848,34.721,37.891,34.571,92.538,92.192,0.0,0.0,0.506,871817.812,60065400.0,1.997,68.142,67.898,0.998,99.494,920462144.0,30323142656.0,12481393664.0,29110222848.0,3286638080.0,0.39,1.998,0.832,27.758,3.374,855980.125,0.122,0.105,1.019,1694480.125,1076.521,0.001,100.0,0.001,0.0,Quest-2,Phasmophobia,Jenga,True,True,0
12/7/2023 7:36:38 PM,142154288.0,525000000.0,42.992,69.681,3.971,1.83,52.585,29.989,8.318,8.362,1675627520.0,515686144.0,1582598016.0,58286576.0,124867.945,92.033,12.877,38.777,42.324,38.62,92.032,89.675,0.0,0.0,0.527,871925.5,60078328.0,1.997,66.848,67.905,0.998,99.473,920517504.0,30327035904.0,12482382848.0,29114957824.0,3287172608.0,0.392,1.998,0.831,27.757,3.374,856137.812,0.114,0.098,1.018,1694955.0,1076.412,0.001,100.0,0.001,0.0,Quest-2,Phasmophobia,Jenga,True,True,0
12/7/2023 7:36:39 PM,211049888.0,525000000.0,23.097,144.364,2.473,1.596,28.282,29.615,10.745,3.491,1274345728.0,748720960.0,1099303552.0,90922904.0,258701.047,78.304,13.789,37.076,40.51,25.979,72.939,85.845,0.0,0.0,0.971,3035725.0,179037648.0,0.588,29.951,57.69,1.287,99.029,1293333888.0,38837944320.0,16947770368.0,37651918848.0,3064215808.0,0.305,1.664,0.588,25.653,2.197,3363770.75,0.714,1.207,0.902,6977082.5,391.846,0.002,100.0,0.001,0.0,Quest-2,Phasmophobia,Jenga,True,True,0
12/7/2023 7:36:40 PM,175201840.0,525000000.0,25.517,114.454,96.668,1.766,36.367,29.853,10.696,3.911,1294546944.0,535635808.0,1156748416.0,75490848.0,1328697.5,83.427,12.616,38.586,42.171,31.513,79.701,86.025,0.0,0.0,0.819,2134023.25,129590728.0,0.857,35.375,59.491,1.235,99.181,1144191104.0,35844575232.0,15194607616.0,34799046656.0,3250443776.0,0.339,1.795,0.666,26.565,2.649,2302907.25,0.521,1.005,0.927,4762685.5,504.422,0.001,100.0,0.001,0.0,Quest-2,Phasmophobia,Jenga,True,True,0
12/7/2023 7:36:41 PM,153910352.0,525000000.0,50.96,69.689,3.754,1.697,52.523,29.868,6.778,10.555,2101454464.0,669672704.0,2007160832.0,59410740.0,124883.422,92.61,14.086,35.559,38.812,35.415,92.57,92.406,0.0,0.0,0.505,872033.562,60085772.0,1.997,68.129,67.905,0.998,99.495,920631488.0,30330793984.0,12483930112.0,29118566400.0,3287580160.0,0.391,1.998,0.832,27.757,3.374,856243.938,0.114,0.098,1.018,1695165.0,1076.412,0.001,100.0,0.001,0.0,Quest-2,Phasmophobia,Jenga,True,True,0
12/7/2023 7:36:42 PM,148433776.0,525000000.0,52.524,84.607,174.493,1.585,49.888,29.298,8.052,11.85,2082932480.0,709221440.0,1989103616.0,55351864.0,2399083.0,90.753,15.556,35.483,38.574,33.686,90.74,92.518,0.0,0.0,0.485,814014.438,56064112.0,1.996,67.999,67.876,0.998,99.515,962208064.0,29539063808.0,12886670336.0,27169695744.0,3067546112.0,0.364,1.891,0.908,26.152,3.031,799233.125,0.148,0.127,1.018,1581823.75,1205.415,0.001,100.0,0.001,0.0,Quest-2,Phasmophobia,Jenga,True,True,0
12/7/2023 7:36:43 PM,234289056.0,525000000.0,29.492,144.321,56.351,1.496,29.62,29.143,8.976,6.333,1725234432.0,969406464.0,1525707520.0,106940064.0,1382292.375,80.058,16.088,35.282,38.45,24.011,74.958,88.949,0.0,0.0,0.913,3235886.0,190128192.0,0.59,33.048,57.465,1.292,99.087,1473422208.0,42517454848.0,19157182464.0,40189730816.0,3265404928.0,0.294,1.62,0.65,24.801,2.063,3575328.0,1.01,1.154,0.905,7442611.5,421.483,0.001,100.0,0.001,0.0,Quest-2,Phasmophobia,Jenga,True,True,0
12/7/2023 7:36:44 PM,166523680.0,525000000.0,32.68,89.542,3.538,1.811,42.09,29.893,8.58,5.696,1500668800.0,560158080.0,1380495616.0,68700392.0,160458.406,86.907,13.05,38.394,41.92,33.692,84.406,89.578,0.0,0.0,0.687,1525857.125,97153664.0,1.162,45.024,62.473,1.198,99.313,1059500608.0,33753079808.0,14147208192.0,32672825344.0,3269458688.0,0.357,1.861,0.72,26.972,2.893,1640201.625,0.628,0.739,0.93,3335829.5,656.341,0.001,99.958,0.001,0.053,Quest-2,Phasmophobia,Jenga,True,True,0
