timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701963900323.982,0,0,0,0,0,0,0,0,1215906589,3542927783,2136174,2825116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272910,15161569280,164641,8270729728,40,102912,0,0,196.5625,75421.0625,162.703125,2413.734375,5406.765625,37.0,4701.0,0.0,4701.0,393241415,270740983,0,1908517091
1701963901319.1355,0,0,0,0,0,0,0,0,1216265381,3542998606,2136511,2825251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272911,15161569792,164655,8271221760,40,102912,0,0,196.625,75431.0625,162.75,2414.40625,5408.09375,17.4,4701.0,0.0,4701.0,393325179,270797059,0,1908921493
1701963902328.9373,0,0,0,0,0,0,0,0,1216609321,3543149067,2136890,2825476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272914,15161606656,164680,8271713280,40,102912,0,0,196.6875,75439.125,162.8125,2415.8125,5410.8125,34.5,4701.0,0.0,4701.0,393449156,270909581,0,1909548805
1701963903325.864,0,0,0,0,0,0,0,0,1217019383,3543311721,2137386,2825777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272917,15161643520,164712,8272172032,40,102912,0,0,196.75,75447.765625,162.921875,2416.859375,5412.9375,27.9,4701.0,0.0,4701.0,393555839,270978164,0,1910115712
1701963904322.7915,0,0,0,0,0,0,0,0,1217371800,3543389906,2137811,2826007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272918,15161659904,164791,8273167360,40,102912,0,0,196.765625,75457.71875,162.953125,2417.53125,5414.3125,17.4,4701.0,0.0,4701.0,393633372,271030361,0,1910428749
1701963905317.2805,0,0,0,0,0,0,0,0,1217751674,3543465462,2138172,2826209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272920,15161692672,164818,8273581056,40,102912,0,0,196.8125,75468.046875,162.96875,2418.25,5415.265625,14.4,4701.0,0.0,4701.0,393707406,271080273,0,1910737430
1701963906322.2556,0,0,0,0,0,0,0,0,1218090721,3543536281,2138485,2826346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272921,15161856512,164836,8274199552,40,102912,0,0,196.84375,75478.296875,162.984375,2418.984375,5416.28125,14.9,4701.0,0.0,4701.0,393782421,271129888,0,1911043030
1701963907317.7058,0,0,0,0,0,0,0,0,1218449418,3543608501,2138830,2826482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272921,15161856512,164839,8274314240,40,102912,0,0,196.90625,75488.171875,162.984375,2419.734375,5417.65625,18.1,4701.0,0.0,4701.0,393879976,271191667,0,1911548647
1701963908325.4482,0,0,0,0,0,0,0,0,1218777750,3543679258,2139138,2826612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272921,15161856512,164874,8274822144,40,102912,0,0,196.9375,75498.734375,163.0,2420.109375,5418.8125,13.2,4701.0,0.0,4701.0,393965059,271247050,0,1911873120
1701963909322.9312,0,0,0,0,0,0,0,0,1219130314,3543747227,2139459,2826734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272922,15161872896,164893,8275026944,40,102912,0,0,196.96875,75507.984375,163.015625,2420.59375,5420.984375,22.5,4701.0,0.0,4701.0,394040865,271298576,0,1912184876
1701963910321.9463,0,0,0,0,0,0,0,0,1219470609,3543817816,2139777,2826862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272923,15161889280,164920,8275497984,40,102912,0,0,196.96875,75517.296875,163.03125,2421.03125,5423.421875,23.7,4701.0,0.0,4701.0,394110125,271346488,0,1912489901
1701963911320.5146,0,0,0,0,0,0,0,0,1219795881,3543887643,2140079,2826994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272923,15161889280,164920,8275497984,40,102912,0,0,197.015625,75526.296875,163.078125,2421.6875,5425.578125,24.4,4701.0,0.0,4701.0,394182745,271395984,0,1912795734
1701963912328.1592,0,0,0,0,0,0,0,0,1220150488,3543956877,2140400,2827119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272924,15161905664,164965,8275866624,40,102912,0,0,197.03125,75536.53125,163.125,2422.09375,5427.0625,16.0,4701.0,0.0,4701.0,394254402,271447226,0,1913101109
1701963913320.1929,0,0,0,0,0,0,0,0,1220485369,3544025989,2140707,2827243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272924,15161905664,164968,8276059136,40,102912,0,0,197.109375,75546.5625,163.171875,2422.84375,5428.15625,16.4,4701.0,0.0,4701.0,394324034,271493701,0,1913401156
1701963914326.5603,0,0,0,0,0,0,0,0,1220829830,3544097093,2141036,2827377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272924,15161905664,164974,8276214784,40,102912,0,0,197.125,75556.765625,163.234375,2423.484375,5429.453125,16.5,4701.0,0.0,4701.0,394398435,271542790,0,1913725128
