Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-2120604,3877,8.221581707999999
1.004,-2093260,3875,8.111382500000001
2.007,-2085448,3875,8.081111
3.009,-2074705,3875,8.039481875
4.012,-2077635,3875,8.050835625000001
5.015,-2102537,3875,8.147330875
6.021,-2094725,3875,8.117059375
7.024,-2090330,3875,8.10002875
8.027,-2132811,3875,8.264642625
9.029,-1926756,3875,7.466179500000001
10.035,-1958495,3875,7.589168125
11.037,-1960936,3882,7.612353552
12.041,-1967772,3882,7.638890903999999
13.046,-1937499,3882,7.521371118
14.051,-1992674,3881,7.733567794
15.053,-2032713,3881,7.888959152999998
16.059,-1989745,3881,7.722200344999999
17.061,-1997557,3881,7.752518717
18.065,-1995604,3881,7.744939123999999
19.068,-2080565,3881,8.074672764999999
20.071,-2012694,3881,7.811265413999998
21.074,-2163573,3879,8.392499667
22.078,-2134276,3879,8.278856604
23.081,-2094725,3879,8.125438275
24.091,-2115233,3879,8.204988807000001
25.094,-2136717,3879,8.288325243
26.1,-2131346,3879,8.267491134
27.103,-2090330,3879,8.108390069999999
28.106,-2091795,3879,8.114072805000001
29.108,-2066405,3879,8.015584995
30.113,-2137694,3879,8.292115026
31.117,-2103026,3873,8.145019698
32.119,-2117674,3873,8.201751402000001
33.122,-2084959,3873,8.075046207
34.126,-2064452,3873,7.995622596000001
35.129,-2073241,3873,8.029662393
36.131,-2074705,3873,8.035332465
37.134,-2157225,3873,8.354932425
38.137,-2205076,3873,8.540259348000001
39.144,-2041014,3873,7.904847222000001
40.148,-2087401,3873,8.084504073
41.153,-2059569,3873,7.976710736999999
42.157,-2080077,3873,8.056138221000001
43.159,-2077635,3873,8.046680355000001
44.161,-2066893,3873,8.005076589
45.164,-2111815,3873,8.179059495
46.169,-2054198,3873,7.9559088540000005
47.172,-2153807,3873,8.341694510999998
48.176,-2160155,3873,8.366280315000001
49.181,-2145994,3873,8.311434762000001
50.193,-2075194,3873,8.037226362
51.196,-2003416,3871,7.755223336
52.201,-1953612,3871,7.562432052
53.204,-1953612,3871,7.562432052
54.207,-1975584,3871,7.647485664
55.21,-1961913,3871,7.594565223
56.212,-2085936,3871,8.074658256000001
57.217,-2001952,3871,7.749556192000001
58.221,-2065916,3872,7.999226752
59.226,-2023924,3872,7.836633728
60.23,-2087889,3871,8.082218319
61.237,-2059569,3871,7.972591598999999
62.24,-2103514,3871,8.142702694
63.242,-2051756,3871,7.942347475999999
64.247,-2123534,3871,8.220200114
65.251,-2150389,3871,8.324155819
66.257,-2151854,3871,8.329826833999999
67.261,-2159666,3871,8.360067086
68.267,-2112791,3871,8.178613961
69.27,-2073241,3871,8.025515911
70.273,-2083983,3869,8.062930227000003
71.277,-2136717,3869,8.266958073
72.279,-2049315,3869,7.928799735
73.283,-2128416,3869,8.234841504
74.287,-2078123,3869,8.040257887000001
75.299,-2053221,3869,7.9439120490000015
76.302,-1987303,3869,7.688875307000001
77.306,-1916502,3869,7.414946238
78.308,-1887694,3869,7.303488086000001
79.316,-1909178,3869,7.3866096820000005
80.32,-1874999,3878,7.271246122000001
81.322,-1926268,3878,7.4700673040000005
82.326,-1938963,3878,7.519298514
83.329,-1919432,3878,7.443557296000001
84.331,-1919432,3878,7.443557296000001
85.333,-1919432,3878,7.443557296000001
86.337,-1947264,3878,7.551489792
87.34,-1963377,3878,7.613976006
88.345,-1957518,3878,7.591254804000001
89.349,-1937987,3878,7.515513586000001
90.355,-1924315,3875,7.456720625
91.357,-1953124,3875,7.5683555
92.361,-1952635,3875,7.5664606249999995
93.364,-1930663,3875,7.481319125
94.367,-1920897,3875,7.443475875
95.369,-1909666,3875,7.399955749999999
96.373,-1950682,3875,7.55889275
97.376,-1985350,3875,7.69323125
98.38,-2014159,3875,7.804866125000001
99.385,-1924315,3875,7.456720625
100.39,-1898924,3876,7.360229424
101.394,-1860838,3876,7.212608088
102.397,-1904295,3876,7.38104742
103.4,-1882811,3876,7.297775436
104.404,-1910643,3876,7.405652268
105.406,-1893553,3876,7.339411428
106.411,-1899413,3876,7.362124788
107.416,-1898924,3876,7.360229424
108.419,-1895995,3876,7.3488766199999995
109.424,-1875487,3876,7.269387612
110.428,-1886229,3876,7.311023604
111.431,-1856932,3876,7.197468432
112.434,-1877928,3876,7.278848928
113.438,-1891600,3876,7.3318416
114.441,-1884764,3876,7.305345264
115.445,-1886229,3876,7.311023604
116.449,-1885252,3876,7.307236752
117.454,-1896971,3876,7.352659596
118.457,-1957030,3876,7.58544828
119.467,-2104491,3876,8.157007115999999
120.47,-2013182,3864,7.778935248
121.472,-2008299,3864,7.760067336
122.476,-2035643,3864,7.865724552
123.48,-2070799,3864,8.001567336
124.488,-2077147,3864,8.026096008
125.491,-2108885,3864,8.148731640000001
126.493,-2066893,3864,7.986474551999999
127.496,-2128905,3864,8.22608892
128.503,-2082518,3864,8.046849552
129.506,-2175780,3864,8.40721392
130.509,-2147459,3859,8.287044281
131.512,-2225096,3859,8.586645464
132.518,-1992186,3859,7.687845774
133.52,-2040038,3859,7.872506642
134.523,-2049803,3859,7.910189776999999
135.526,-2020995,3859,7.799019705
136.531,-1994139,3859,7.695382401
137.533,-1998534,3859,7.712342706
138.536,-2013182,3859,7.768869338
139.541,-2038084,3859,7.864966156
140.544,-2053221,3864,7.933645944
141.549,-1981932,3864,7.658185248
142.551,-1958006,3864,7.565735184
143.556,-1997069,3864,7.716674616
144.558,-2135741,3864,8.252503224
145.56,-2003905,3864,7.74308892
146.563,-1997069,3865,7.718671685
147.569,-2031248,3865,7.8507735200000015
148.573,-2039549,3865,7.882856885000001
149.575,-2019041,3865,7.8035934650000005
150.578,-1999998,3865,7.72999227
151.584,-2013670,3865,7.782834550000001
152.587,-1998534,3865,7.72433391
153.59,-2010741,3864,7.769503223999999
154.593,-2017088,3864,7.794028031999999
155.597,-2009276,3864,7.7638424640000006
156.6,-2010252,3864,7.767613728
157.603,-2068358,3864,7.992135312000001
158.609,-2108397,3864,8.146846008
159.613,-2025389,3864,7.826103096
160.616,-2043944,3862,7.8937117279999995
161.618,-2041014,3862,7.882396068
162.623,-2021483,3862,7.8069673459999995
163.626,-2024901,3862,7.820167662000001
164.629,-2028319,3862,7.833367977999999
165.632,-2044432,3862,7.895596384
166.636,-2023924,3862,7.816394488
167.638,-2039549,3862,7.876738238000001
168.641,-2021483,3862,7.8069673459999995
169.644,-2017088,3862,7.789993856
