Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-2361326,3668,8.661343768
1.003,-2461912,3668,9.030293216
2.005,-2355955,3668,8.641642939999999
3.008,-2385252,3668,8.749104336
4.012,-2360838,3668,8.659553784000002
5.015,-2354490,3668,8.63626932
6.02,-2395994,3668,8.788505992000001
7.022,-2464354,3661,9.021999994
8.028,-2365233,3661,8.659118013000002
9.035,-2351073,3661,8.607278253
10.04,-2476072,3661,9.064899592000002
11.042,-2391112,3661,8.753861032
12.045,-2351073,3661,8.607278253
13.047,-2356444,3661,8.626941484
14.049,-2333006,3661,8.541134966
15.055,-2366698,3661,8.664481378
16.062,-2341307,3661,8.571524926999999
17.066,-2360350,3666,8.6530431
18.073,-2341307,3666,8.583231461999999
19.075,-2355955,3666,8.63693103
20.08,-2341307,3666,8.583231461999999
21.082,-2382811,3666,8.735385126
22.086,-2373045,3666,8.699582970000002
23.089,-2353026,3666,8.626193315999998
24.093,-2388182,3666,8.755075211999998
25.1,-2363280,3666,8.66378448
26.102,-2382322,3666,8.733592452000002
27.106,-2363768,3665,8.66320972
28.109,-2361326,3665,8.65425979
29.113,-2346190,3665,8.59878635
30.116,-2368162,3665,8.67931373
31.12,-2350096,3665,8.61310184
32.122,-2357420,3665,8.639944300000002
33.125,-2362303,3665,8.657840495
34.127,-2395018,3665,8.77774097
35.13,-2380369,3665,8.724052385
36.139,-2375487,3665,8.706159855000001
37.148,-2357420,3664,8.63758688
38.167,-2342772,3664,8.583916608000001
39.173,-2348143,3664,8.603595952
40.18,-2358397,3664,8.641166608
41.183,-2343748,3664,8.587492672000002
42.19,-2359862,3664,8.646534368000001
43.197,-2336424,3664,8.560657536
44.205,-2339354,3664,8.571393056
45.207,-2346190,3664,8.59644016
46.21,-2356444,3664,8.634010816
47.214,-2371092,3664,8.687681088
48.223,-2363768,3664,8.660845952
49.226,-2350096,3664,8.610751744000002
50.23,-2351073,3664,8.614331472
51.232,-2346678,3664,8.598228192
52.234,-2346678,3664,8.598228192
53.237,-2368651,3664,8.678737264
54.241,-2345213,3664,8.592860432000002
55.244,-2366698,3664,8.671581472
56.246,-2343748,3664,8.587492672000002
57.248,-2351561,3665,8.618471065000001
58.251,-2366698,3663,8.669214774
59.258,-2366209,3663,8.667423567
60.26,-2361326,3663,8.649537138
61.265,-2336424,3663,8.558321112
62.272,-2338865,3663,8.567262494999998
63.275,-2360838,3663,8.647749594
64.277,-2339354,3663,8.569053701999998
65.281,-2368651,3663,8.676368613
66.283,-2342283,3663,8.579782629
67.286,-2318846,3664,8.496251744
68.288,-2341307,3664,8.578548847999999
69.29,-2341307,3664,8.578548847999999
70.296,-2341795,3664,8.58033688
71.298,-2333006,3664,8.548133984
72.304,-2340819,3664,8.576760816
73.306,-2343748,3664,8.587492672000002
74.311,-2328123,3664,8.530242672000002
75.315,-2468748,3664,9.045492672000002
76.319,-2426268,3664,8.889845952
77.322,-2357908,3659,8.627585372
78.326,-2369627,3659,8.670465193
79.329,-2411619,3659,8.824113920999999
80.333,-2329100,3659,8.5221769
81.336,-2322264,3659,8.497163976
82.339,-2351073,3659,8.602576106999999
83.344,-2365721,3659,8.656173139
84.349,-2454100,3659,8.979551899999999
85.351,-2483397,3659,9.086749623
86.357,-2334471,3659,8.541829389
87.36,-2402830,3663,8.801566289999998
88.362,-2354979,3663,8.626288076999998
89.366,-2405272,3663,8.810511336
90.368,-2322264,3663,8.506453032
91.371,-2339354,3663,8.569053701999998
92.377,-2333983,3663,8.549379729000002
93.379,-2326658,3663,8.522548254
94.387,-2321776,3663,8.504665487999999
95.39,-2344237,3663,8.586940131
96.393,-2320799,3663,8.501086737
97.397,-2341795,3662,8.575653290000002
98.4,-2347655,3662,8.59711261
