timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701871450884.2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60363290949,8386014018,10961660,15402949,0,0,0,0,244736,11137274368,181201,3394393600,126.640625,120177.85937499999,107.953125,1038.78125,1223.9375,5.6,4701.0,0.0,4701.0,664176022,365281862,0,1965107845
1701871451871.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60375838971,8386748108,10963116,15405255,0,0,0,0,244738,11137307136,181255,3395159552,126.65625,120189.60937499999,107.953125,1038.96875,1223.984375,2.1,4701.0,0.0,4701.0,664226918,365311012,0,1965294110
1701871452881.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60387943225,8387498267,10964515,15407535,0,0,0,0,244741,11137356288,181302,3395675648,126.671875,120201.29687499999,107.96875,1039.046875,1224.234375,3.0,4701.0,0.0,4701.0,664280566,365341987,0,1965473931
1701871453874.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60400130916,8388247789,10965889,15409834,0,0,0,0,244743,11137389056,181369,3397481984,126.703125,120212.54687499999,108.015625,1039.328125,1224.671875,6.6,4701.0,0.0,4701.0,664340761,365459355,0,1965780825
1701871454882.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60413265157,8389055031,10967836,15412255,0,0,0,0,244743,11137389056,181370,3397514752,126.75,120224.34374999999,108.03125,1039.515625,1224.703125,2.3,4701.0,0.0,4701.0,664407637,365495727,0,1965976436
1701871455884.8442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60425621405,8389827449,10969828,15414708,0,0,0,0,244743,11137389056,181411,3397907968,126.765625,120236.12499999999,108.03125,1039.6875,1224.765625,2.1,4701.0,0.0,4701.0,664469264,365529628,0,1966206048
1701871456879.7156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60437740967,8390600015,10971764,15417229,0,0,0,0,244743,11137389056,181438,3398170112,126.78125,120247.99999999999,108.046875,1039.796875,1224.78125,1.3,4701.0,0.0,4701.0,664527452,365561707,0,1966401754
1701871457873.8013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60450345925,8391368200,10973654,15419718,0,0,0,0,244744,11137405440,181547,3398977024,126.796875,120259.640625,108.0625,1040.0156249999854,1224.90625,3.1,4701.0,0.0,4701.0,664597344,365602455,0,1966652661
1701871458881.5767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60463240268,8392139177,10975492,15422113,0,0,0,0,244744,11137405440,181597,3400406528,126.8125,120271.359375,108.078125,1040.2031249999854,1225.015625,2.7,4701.0,0.0,4701.0,664659845,365673129,0,1966839040
1701871459893.2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60476657907,8392917428,10977378,15424638,0,0,0,0,244744,11137405440,181624,3400685056,126.828125,120283.296875,108.078125,1040.3749999999854,1225.09375,2.2,4701.0,0.0,4701.0,664734435,365719550,0,1967137602
1701871460872.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60489626554,8393669649,10979238,15427045,0,0,0,0,244744,11137405440,181646,3400922624,126.875,120294.9375,108.09375,1040.4687499999854,1225.140625,1.7,4701.0,0.0,4701.0,664796667,365756800,0,1967319878
1701871461877.3848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60502427290,8394446965,10981148,15429547,0,0,0,0,244744,11137405440,181735,3401463296,126.875,120306.71875,108.125,1040.6249999999854,1225.234375,2.3,4701.0,0.0,4701.0,664861911,365794171,0,1967558093
1701871462870.6013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60515733218,8395213534,10983050,15432052,0,0,0,0,244745,11137421824,181767,3402266112,126.875,120318.328125,108.140625,1040.7187499999854,1225.34375,2.0,4701.0,0.0,4701.0,664923871,365828024,0,1967760000
1701871463876.1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60529677796,8395991545,10984917,15434557,0,0,0,0,244746,11137438208,181796,3402626560,126.890625,120330.15625,108.140625,1040.8281249999854,1225.59375,3.0,4701.0,0.0,4701.0,664988439,365863052,0,1968008824
1701871464881.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60544781807,8396770159,10986755,15437145,0,0,0,0,244748,11137470976,181830,3404060160,126.890625,120341.6875,108.15625,1040.9999999999854,1225.890625,4.0,4701.0,0.0,4701.0,665051019,365896987,0,1968193877
1701871465879.2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60558974506,8397545002,10988630,15439703,0,0,0,0,244748,11137470976,181830,3404060160,126.890625,120353.046875,108.1875,1041.2031249999854,1226.328125,5.6,4701.0,0.0,4701.0,665114638,365931281,0,1968455053
1701871466883.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60574013272,8398329297,10990516,15442354,0,0,0,0,244748,11137470976,181858,3404412416,126.890625,120364.859375,108.203125,1041.3281249999854,1226.390625,1.7,4701.0,0.0,4701.0,665174188,365964314,0,1968620139
1701871467876.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60587530800,8399107535,10992391,15444946,0,0,0,0,244776,11137815040,182033,3405579776,126.890625,120376.703125,108.21875,1041.4687499999854,1226.40625,1.4,4701.0,0.0,4701.0,665238315,365999484,0,1968868035
1701871468881.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60601427486,8399889991,10994292,15447570,0,0,0,0,244798,11138150912,182107,3406353920,126.890625,120388.5,108.21875,1041.5624999999854,1226.515625,1.7,4701.0,0.0,4701.0,665302396,366034691,0,1969064485
1701871469874.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60615839090,8400663311,10996147,15450170,0,0,0,0,244798,11138150912,182107,3406353920,126.9375,120400.265625,108.21875,1041.7656249999854,1226.546875,2.3,4701.0,0.0,4701.0,665363718,366068460,0,1969293929
1701871470879.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60630811529,8401438714,10998030,15452727,0,0,0,0,244800,11138200064,182158,3407980032,126.96875,120412.1875,108.21875,1041.8281249999854,1226.5625,0.9,4701.0,0.0,4701.0,665426090,366102212,0,1969475402
1701871471882.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60645650651,8402219815,10999940,15455326,0,0,0,0,244800,11138200064,182181,3408348672,127.0,120424.03125,108.21875,1041.9374999999854,1226.609375,1.6,4701.0,0.0,4701.0,665489246,366136839,0,1969736094
