timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701811563804.3223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26018576933,11268074240,11134282,14164455,0,0,0,0,316761,12937197568,439817,10238995456,485.265625,252569.96875,305.265625,2379.8125,2667.25,5.6,4701.0,0.0,4701.0,1293968960,714959868,0,4178714105
1701811564788.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26019141642,11268717789,11134810,14165021,0,0,0,0,316762,12937263104,440824,10246220800,485.328125,252581.5,305.296875,2380.0,2667.34375,3.1,4701.0,0.0,4701.0,1294050462,715006504,0,4179171514
1701811565805.2495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26019735662,11269459980,11135373,14165670,0,0,0,0,316762,12937263104,440876,10248023040,485.375,252593.390625,305.296875,2380.125,2667.5,2.7,4701.0,0.0,4701.0,1294141108,715057243,0,4179580119
1701811566796.9644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26020162484,11270245988,11135845,14166382,0,0,0,0,316762,12937263104,440888,10248199168,485.390625,252604.78125,305.296875,2380.3125,2667.921875,5.2,4701.0,0.0,4701.0,1294231461,715108042,0,4180110576
1701811567806.3833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26020797360,11271035827,11136549,14167154,0,0,0,0,316762,12937263104,440962,10249210880,485.40625,252616.34375,305.296875,2380.453125,2668.234375,3.9,4701.0,0.0,4701.0,1294334274,715164293,0,4180547601
1701811568785.1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26021651608,11271764965,11137381,14167882,0,0,0,0,316762,12937263104,441005,10249976832,485.40625,252627.78125,305.296875,2380.59375,2668.46875,3.2,4701.0,0.0,4701.0,1294433022,715218243,0,4181043393
1701811569794.3442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26022501386,11272462754,11138181,14168547,0,0,0,0,316762,12937263104,441049,10250599424,485.4375,252639.625,305.3125,2380.71875,2668.640625,2.8,4701.0,0.0,4701.0,1294528527,715271128,0,4181493768
1701811570794.3618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26023355381,11273258189,11138934,14169250,0,0,0,0,316762,12937263104,441049,10250599424,485.4375,252651.375,305.328125,2380.875,2668.78125,2.6,4701.0,0.0,4701.0,1294624380,715324320,0,4181979068
1701811571804.2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26024190560,11273903236,11139703,14169855,0,0,0,0,316767,12937347072,441118,10251471872,485.46875,252662.34375,305.34375,2381.109375,2669.578125,8.9,4701.0,0.0,4701.0,1294739667,715385588,0,4182478964
1701811572787.3542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26025025130,11274570857,11140528,14170470,0,0,0,0,316802,12939414528,441185,10252434432,485.484375,252673.6875,305.359375,2381.234375,2669.921875,4.2,4701.0,0.0,4701.0,1294856706,715448595,0,4183055180
