Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-51757,3999,0.206976243
1.006,-47851,3999,0.191356149
2.011,67382,3999,0.26946061800000004
3.015,-51757,3999,0.206976243
4.019,-4882,4001,0.019532882
5.023,-73242,4001,0.29304124200000004
6.028,2929,4001,0.011718929
7.032,-22460,4001,0.08986246
8.052,-34667,4001,0.13870266700000003
9.057,50781,4001,0.20317478100000003
10.06,89843,4006,0.35991105800000006
11.064,161621,4006,0.6474537260000001
12.068,97167,4006,0.389251002
13.073,247070,4006,0.98976242
14.081,80566,4005,0.32266682999999996
15.095,-48339,3999,0.193307661
16.099,-83984,3999,0.335852016
17.104,-19531,3999,0.078104469
18.112,-111816,3997,0.446928552
19.115,-39550,3997,0.15808134999999998
20.122,145019,3997,0.579640943
21.127,-92773,3997,0.37081368099999995
22.131,164062,3997,0.655755814
23.136,-20507,4009,0.08221256300000002
24.145,116210,4006,0.46553726
25.15,69335,4006,0.27775601
26.154,-46386,4006,0.18582231600000002
27.163,126953,4006,0.5085737180000001
28.169,14648,4002,0.058621295999999996
29.175,55664,4002,0.222767328
30.178,10742,4002,0.042989484
31.182,88378,4002,0.353688756
32.187,5859,4004,0.023459435999999997
33.19,50781,4004,0.20332712399999997
34.197,71777,4004,0.287395108
35.202,65429,4003,0.261912287
36.207,80566,4003,0.322505698
37.212,90331,4006,0.36186598600000003
38.217,151367,4006,0.6063762020000001
39.221,30273,4002,0.121152546
40.224,48828,4004,0.195507312
41.229,67382,4004,0.269797528
42.234,32714,4004,0.13098685599999998
43.243,41015,4004,0.16422406
44.247,166992,4007,0.6691369439999999
45.25,38574,4007,0.15456601799999997
46.254,17089,4007,0.068475623
47.259,105468,4007,0.422610276
48.263,-2441,3997,0.009756677
49.266,16601,3997,0.06635419699999999
50.27,-100097,4000,0.40038799999999997
51.276,40039,4000,0.160156
52.28,-20019,4000,0.080076
53.285,75195,4000,0.30078
54.289,-97167,4002,0.388862334
55.293,17089,4002,0.068390178
56.298,67871,4000,0.271484
57.302,23925,4002,0.09574785
58.307,77636,4002,0.31069927199999997
59.312,-12695,4002,0.05080539
60.321,55664,4002,0.222767328
61.327,-1464,4003,0.005860392
62.332,65917,4003,0.26386575100000004
63.337,20996,4003,0.08404698799999999
64.342,35156,4001,0.140659156
65.35,15624,4001,0.062511624
66.36,-29785,4001,0.119169785
67.364,29296,4001,0.11721329600000001
68.369,-10742,4001,0.04297874200000001
69.373,43945,4001,0.175823945
70.378,10253,4001,0.041022253
71.383,20507,4001,0.082048507
72.387,-79101,4001,0.31648310100000004
73.391,-34667,4001,0.13870266700000003
74.395,-99121,3996,0.39608751600000003
75.401,-35644,3996,0.14243342399999998
76.405,3417,3996,0.013654332
77.409,-135253,3996,0.5404709879999999
78.413,47363,3996,0.189262548
79.417,-26367,3996,0.10536253200000001
80.421,-6347,3999,0.025381653
81.424,-145507,3999,0.5818824930000001
82.428,35156,3999,0.140588844
83.433,45410,3999,0.18159459
84.439,-83496,4001,0.334067496
85.45,66894,4001,0.2676428940000001
86.453,-54199,4001,0.216850199
87.457,11718,4001,0.046883718
88.46,-56640,3997,0.22639008
89.465,-34667,3997,0.13856399900000002
90.471,74218,3997,0.29664934600000004
91.476,0,3997,0.0
92.48,64453,3997,0.257618641
93.486,-19042,3997,0.076110874
94.489,50781,3997,0.202971657
95.493,-3906,3997,0.015612282
96.498,23925,3998,0.09565215000000002
97.501,51269,3998,0.204973462
98.506,-45410,3998,0.18154918
99.511,25878,3998,0.103460244
100.517,49804,3998,0.199116392
101.521,136230,3998,0.54464754
102.526,-6347,3998,0.025375306000000004
103.53,45898,3998,0.18350020400000003
104.534,-46874,3995,0.18726163
105.538,-15136,3995,0.06046831999999999
106.543,35156,3995,0.14044822
107.547,41503,3995,0.165804485
108.553,118164,3995,0.47206518000000003
109.558,19531,3995,0.078026345
110.562,96679,3998,0.386522642
111.568,-2929,3998,0.011710142
112.572,105468,3998,0.42166106400000003
113.578,12695,4001,0.050792695000000006
114.581,-58105,3998,0.23230379
115.585,-17089,3996,0.068287644
116.593,-17089,3996,0.068287644
117.596,108398,3996,0.433158408
118.6,-20507,3996,0.081945972
119.606,72753,3996,0.290720988
120.609,26367,3996,0.10536253200000001
121.613,83007,4000,0.33202800000000005
122.617,-17578,4000,0.070312
123.62,25390,4000,0.10156
124.624,0,3998,0.0
125.629,-39062,3995,0.15605269
126.635,46386,3998,0.18545122800000002
127.646,91796,3998,0.36700040800000006
128.649,51757,3998,0.206924486
129.653,113281,3999,0.45301071900000006
130.658,488,3999,0.001951512
131.661,26367,3998,0.10541526600000001
132.669,20019,3998,0.080035962
133.674,976,3998,0.003902048
134.677,62988,3997,0.251763036
135.681,21484,3997,0.085871548
136.686,95703,3997,0.382524891
137.689,-59082,4000,0.236328
138.693,60058,4000,0.240232
139.696,9277,4000,0.037107999999999995
140.7,55664,4000,0.222656
141.703,26367,4000,0.105468
142.709,-53710,3997,0.21467887
143.716,10742,3997,0.042935774
144.72,37597,3997,0.150275209
145.723,86914,3997,0.347395258
146.727,-30761,3997,0.122951717
147.731,136230,3995,0.5442388499999999
148.734,-103027,4001,0.41221102700000006
149.74,-71777,4001,0.2871797770000001
150.744,-120117,4001,0.48058811700000004
151.749,-24414,4001,0.09768041400000002
152.754,-14160,4001,0.05665416000000001
153.763,-72753,3993,0.29050272899999996
154.769,92285,3993,0.36849400499999996
155.774,-57617,3993,0.23006468099999997
156.778,104980,3993,0.41918514
157.782,-41015,3993,0.163772895
158.801,64453,3993,0.25736082899999996
159.811,-28320,3999,0.11325168000000001
160.814,34179,3999,0.136681821
