timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/6/2023 10:35:57 AM,185677584.0,525000000.0,35.729,149.008,22.365,0.59,40.313,31.254,7.023,9.583,1613535872.0,863912576.0,1463310976.0,58197008.0,5880861.5,72.38,15.779,34.51,37.516,33.662,70.756,82.892,0.0,0.0,1.177,2725700.0,165617504.0,0.633,21.351,59.119,1.642,98.823,980518976.0,31628963840.0,13180562432.0,30121383936.0,3387709440.0,0.371,1.961,0.828,27.287,3.273,2762991.75,31.68,0.865,0.987,5518940.5,525.558,0.287,99.711,0.002,0.004,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:35:58 AM,168599504.0,525000000.0,36.244,139.356,32.528,0.617,41.351,31.388,7.065,10.506,1548015488.0,648206976.0,1405890944.0,54031872.0,5874927.0,73.601,15.577,35.19,38.249,34.42,71.932,83.219,0.0,0.0,1.189,2547505.75,154691232.0,0.631,21.21,59.083,1.64,98.811,911539200.0,29544747008.0,12260118528.0,28220669952.0,3174294528.0,0.374,1.968,0.822,27.398,3.298,2587202.25,31.615,0.891,0.985,5164231.5,521.205,0.308,99.651,0.002,0.052,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:35:59 AM,176964880.0,525000000.0,38.604,119.444,55.943,0.6,42.908,31.271,7.156,13.015,1544534144.0,650991936.0,1408243328.0,54012964.0,4708966.0,74.936,17.946,33.839,36.784,32.964,73.25,83.737,0.0,0.0,1.188,2546161.0,154581232.0,0.631,21.213,59.072,1.64,98.812,901922752.0,29067243520.0,12131776512.0,27651700736.0,3109616640.0,0.371,1.959,0.831,27.249,3.264,2569741.25,31.818,0.888,0.991,5160156.5,520.842,0.274,99.728,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:36:00 AM,176749456.0,525000000.0,37.644,152.987,67.945,0.611,42.466,31.292,7.088,12.361,1689571072.0,713865472.0,1539858304.0,61064904.0,5845635.0,74.448,16.766,34.509,37.54,33.782,72.756,83.933,0.0,0.0,1.203,2885577.5,175178528.0,0.631,21.162,59.069,1.64,98.797,1004811584.0,32641445888.0,13547960320.0,31176081408.0,3505446144.0,0.373,1.972,0.824,27.417,3.299,2908229.5,31.87,0.897,0.992,5848023.5,513.073,0.243,99.796,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:36:01 AM,168439008.0,525000000.0,38.13,139.35,38.356,0.611,42.331,31.339,7.158,12.368,1555469312.0,650742208.0,1417270912.0,53985068.0,5868316.0,74.023,17.036,34.322,37.309,33.434,72.382,83.658,0.0,0.0,1.195,2546416.0,154579792.0,0.631,21.2,59.065,1.639,98.805,901914688.0,29066973184.0,12131663872.0,27651442688.0,3109587712.0,0.371,1.959,0.831,27.249,3.264,2570035.75,31.825,0.897,0.991,5160347.0,520.783,0.274,99.727,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:36:02 AM,168518864.0,525000000.0,38.08,138.864,41.67,0.593,42.168,31.346,7.141,12.664,1547672704.0,644112384.0,1407895424.0,53912760.0,6967625.0,73.684,17.236,34.12,37.09,33.237,72.065,83.45,0.0,0.0,1.2,2537526.0,154040112.0,0.631,21.246,59.065,1.639,98.8,898765760.0,28965492736.0,12089309184.0,27554904064.0,3098731264.0,0.372,1.959,0.831,27.249,3.264,2561063.25,31.825,0.897,0.991,5142331.5,520.783,0.274,99.727,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:36:03 AM,176130736.0,525000000.0,37.155,144.207,20.924,0.606,42.067,31.334,7.076,11.831,1635089024.0,676787584.0,1486722560.0,58112216.0,6995145.0,73.883,16.558,34.489,37.5,33.696,72.22,83.708,0.0,0.0,1.197,2729962.25,165670528.0,0.63,21.287,59.047,1.639,98.803,959687744.0,31088584704.0,12923698176.0,29660454912.0,3334659072.0,0.373,1.967,0.825,27.367,3.288,2756924.0,31.732,0.949,0.99,5537359.0,515.654,0.257,99.745,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:36:04 AM,190286320.0,525000000.0,46.146,124.449,21.458,0.554,43.127,31.386,6.66,12.643,2029783680.0,1262915328.0,1884338944.0,57889440.0,4718958.5,73.391,19.748,31.79,34.598,31.435,71.859,82.732,0.0,0.0,1.176,2724424.5,165470864.0,0.632,21.248,59.096,1.64,98.824,930946432.0,30681677824.0,12567412736.0,29575008256.0,3326761472.0,0.38,1.994,0.805,27.769,3.377,2748119.5,31.909,0.833,0.991,5516878.0,503.617,0.298,99.704,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:36:05 AM,184044208.0,525000000.0,48.066,139.238,67.929,0.553,42.185,31.234,7.05,13.047,2025824896.0,1265689216.0,1887422592.0,54110840.0,5863583.0,72.54,19.513,31.884,34.659,31.059,71.015,83.084,0.0,0.0,1.171,2544362.25,154455120.0,0.631,21.267,59.065,1.639,98.829,901187200.0,29043529728.0,12121878528.0,27629139968.0,3107079680.0,0.37,1.959,0.831,27.249,3.264,2567963.0,31.825,0.897,0.991,5156185.5,520.783,0.274,99.727,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:36:06 AM,199390656.0,525000000.0,46.662,152.776,31.092,0.548,42.092,31.127,7.332,13.44,2092947968.0,1316075904.0,1946352256.0,60354900.0,4724812.0,73.108,19.745,31.641,34.381,30.497,71.558,83.713,0.0,0.0,1.175,2855142.5,171783504.0,0.618,21.139,58.54,1.627,98.825,997947328.0,31671697408.0,13400417280.0,29834614784.0,3353971968.0,0.363,1.936,0.85,26.877,3.183,2863500.75,32.323,0.909,0.997,5777742.5,521.111,0.249,99.798,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:36:07 AM,182780704.0,525000000.0,45.941,129.368,51.075,0.556,42.079,31.401,6.878,11.972,1979923072.0,1211078016.0,1840177280.0,54231584.0,3602234.0,73.004,18.918,32.271,35.079,31.581,71.414,82.556,0.0,0.0,1.151,2548554.0,154875808.0,0.632,21.279,59.129,1.641,98.849,912170048.0,29586796544.0,12270258176.0,28272869376.0,3180103936.0,0.375,1.969,0.821,27.415,3.302,2588100.75,31.591,0.886,0.985,5166339.5,521.211,0.308,99.651,0.002,0.054,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:36:08 AM,169215584.0,525000000.0,37.965,139.348,7.211,0.613,42.047,31.315,7.111,11.043,1582062080.0,664973440.0,1451617664.0,54287588.0,1373417.875,75.451,16.258,34.548,37.555,33.655,73.733,83.75,0.0,0.0,1.193,2546383.0,154577792.0,0.631,21.319,59.065,1.639,98.807,901902912.0,29066596352.0,12131506176.0,27651084288.0,3109547264.0,0.371,1.959,0.831,27.249,3.264,2570002.5,31.825,0.897,0.991,5160280.5,520.783,0.274,99.727,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:36:09 AM,191686368.0,525000000.0,45.615,134.35,39.614,0.542,41.945,31.125,7.408,12.688,2011387520.0,1243382912.0,1867517440.0,58264872.0,3611320.75,73.847,19.115,32.456,35.24,31.155,72.277,83.347,0.0,0.0,1.155,2731787.75,165781520.0,0.63,21.328,59.047,1.639,98.845,1001771008.0,31606388736.0,13429619712.0,29679857664.0,3336840448.0,0.362,1.927,0.854,26.764,3.159,2758628.0,31.729,0.944,0.99,5540861.5,537.925,0.251,99.751,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
12/6/2023 10:36:10 AM,195089088.0,525000000.0,45.22,134.341,40.575,0.554,41.882,31.236,7.118,12.364,2029545088.0,1248934144.0,1880844160.0,58015868.0,5864351.0,72.787,18.869,32.127,34.914,31.203,71.268,83.041,0.0,0.0,1.163,2723439.5,165394336.0,0.632,21.302,59.09,1.64,98.837,971954368.0,31164436480.0,13058836480.0,29560860672.0,3325170176.0,0.369,1.952,0.837,27.132,3.241,2747023.75,31.912,0.837,0.991,5514358.0,526.008,0.291,99.71,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Hard,True,False,0
