timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1702145023118.6611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65420559504,6778357012,10294560,15715981,0,0,0,0,682464,29256623104,517403,14725010944,380.9375,235198.39062499997,177.3125,1991.515625000029,1825.953125,5.4,4701.0,0.0,4701.0,1153152831,629195363,0,434675154
1702145024117.4897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65434891089,6779119535,10295692,15718022,0,0,0,0,682470,29256807424,517417,14725289472,380.96875,235209.85937499997,177.34375,1991.781250000029,1826.21875,4.9,4701.0,0.0,4701.0,1153250043,629246778,0,435316514
1702145025116.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65446204839,6779933658,10297006,15720266,0,0,0,0,682473,29256967168,517513,14726641152,381.046875,235221.37499999997,177.359375,1992.078125000029,1826.40625,4.8,4701.0,0.0,4701.0,1153347497,629297771,0,436354615
1702145026113.7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65456576010,6780672169,10298359,15722462,0,0,0,0,682474,29256983552,517618,14728394240,381.09375,235233.10937499997,177.375,1992.218750000029,1826.53125,2.7,4701.0,0.0,4701.0,1153402969,629329575,0,436537540
1702145027108.9373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65465261394,6781406265,10299741,15724615,0,0,0,0,682474,29256983552,517618,14728394240,381.140625,235244.78124999997,177.390625,1992.437500000029,1826.640625,3.2,4701.0,0.0,4701.0,1153460943,629362515,0,436776717
1702145028109.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65474601651,6782142712,10301054,15726798,0,0,0,0,682474,29256983552,517677,14729025024,381.1875,235256.53124999997,177.40625,1992.546875000029,1826.765625,2.5,4701.0,0.0,4701.0,1153515883,629393515,0,436942134
1702145029113.8513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65485148035,6782878812,10302345,15728962,0,0,0,0,682475,29257012224,517716,14729467392,381.21875,235268.28124999997,177.421875,1992.671875000029,1826.90625,2.6,4701.0,0.0,4701.0,1153582062,629431090,0,437193610
1702145030121.1477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65496141593,6783618102,10303642,15731146,0,0,0,0,682475,29257012224,517752,14729926144,381.234375,235279.96874999997,177.4375,1992.750000000029,1827.28125,4.0,4701.0,0.0,4701.0,1153693277,629490573,0,437443652
1702145031109.9763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65507445937,6786232822,10305057,15734691,0,0,0,0,682475,29257012224,517773,14730012160,381.3125,235291.39062499997,177.484375,1992.984375000029,1827.484375,4.7,4701.0,0.0,4701.0,1153832121,629563588,0,437824380
1702145032113.9192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65518581927,6786969733,10306347,15736842,0,0,0,0,682475,29257012224,517834,14733116928,381.359375,235302.98437499997,177.5,1993.109375000029,1827.765625,3.9,4701.0,0.0,4701.0,1153967537,629634742,0,438108400
