Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-442382,4268,1.888086376
0.484,-442382,4268,1.888086376
1.003,-520507,4268,2.2215238759999996
1.486,-520507,4266,2.220482862
2.005,-438964,4266,1.8726204240000002
2.488,-438964,4266,1.8726204240000002
3.008,-494140,4266,2.1080012399999997
3.491,-494140,4266,2.1080012399999997
4.011,-429687,4266,1.833044742
4.493,-429687,4266,1.833044742
5.013,-457519,4266,1.951776054
5.496,-457519,4266,1.951776054
6.015,-427245,4270,1.8243361499999997
6.498,-427245,4270,1.8243361499999997
7.018,-501464,4270,2.14125128
7.502,-348144,4270,1.4865748799999998
8.023,-348144,4270,1.4865748799999998
8.504,-266601,4270,1.1383862699999998
9.025,-266601,4270,1.1383862699999998
9.508,-167480,4279,0.71664692
10.027,-167480,4279,0.71664692
10.51,-95703,4279,0.40951313699999997
11.029,-95703,4279,0.40951313699999997
11.512,-163085,4279,0.697840715
12.032,-163085,4279,0.697840715
12.514,-310546,4279,1.328826334
13.035,-310546,4279,1.328826334
13.517,-167968,4279,0.7187350719999999
14.038,-167968,4279,0.7187350719999999
14.524,-260742,4279,1.1157150180000002
15.041,-260742,4279,1.1157150180000002
15.526,-344238,4279,1.4729944019999999
16.043,-344238,4275,1.47161745
16.528,-280761,4275,1.2002532750000003
17.047,-280761,4283,1.2024993630000003
17.53,-78124,4287,0.334917588
18.05,-78124,4287,0.334917588
18.533,-117187,4287,0.502380669
19.052,-117187,4287,0.502380669
19.535,-348144,4287,1.4924933280000001
20.054,-348144,4276,1.488663744
20.539,-138671,4276,0.592957196
21.056,-138671,4276,0.592957196
21.542,-345702,4276,1.478221752
22.059,-345702,4276,1.478221752
22.544,-107910,4276,0.46142315999999994
23.063,-107910,4276,0.46142315999999994
23.546,-235351,4276,1.006360876
24.065,-235351,4276,1.006360876
24.549,-168945,4276,0.72240882
25.069,-168945,4276,0.72240882
25.551,-177734,4276,0.759990584
26.071,-177734,4286,0.7617679239999999
26.553,-158691,4286,0.680149626
27.074,-158691,4286,0.680149626
27.555,-471679,4286,2.0216161939999995
28.076,-471679,4286,2.0216161939999995
28.557,-462890,4286,1.9839465399999996
29.078,-462890,4286,1.9839465399999996
29.56,-482909,4286,2.0697479739999998
30.081,-482909,4286,2.0697479739999998
30.563,-560546,4286,2.4025001560000003
31.083,-560546,4286,2.4025001560000003
31.565,-515624,4286,2.2099644639999996
32.085,-515624,4286,2.2099644639999996
32.569,-465820,4286,1.9965045199999998
33.088,-465820,4269,1.98858558
33.571,-560058,4269,2.390887602
34.09,-560058,4264,2.3880873119999997
34.574,-457519,4264,1.9508610160000002
35.092,-457519,4264,1.9508610160000002
35.576,-508788,4264,2.1694720320000003
36.094,-508788,4265,2.1699808199999997
36.578,-406249,4265,1.732651985
37.096,-406249,4265,1.732651985
37.58,-521484,4265,2.22412926
38.099,-521484,4265,2.22412926
38.586,-460448,4265,1.9638107199999997
39.102,-460448,4265,1.9638107199999997
39.588,-681640,4265,2.9071946
40.105,-681640,4265,2.9071946
40.59,-562499,4265,2.3990582349999996
41.108,-562499,4265,2.3990582349999996
41.592,-491210,4265,2.09501065
42.113,-491210,4266,2.0955018599999997
42.598,-604003,4266,2.5766767980000003
43.115,-604003,4266,2.5766767980000003
43.601,-441894,4266,1.8851198040000001
44.118,-441894,4266,1.8851198040000001
44.604,-501464,4266,2.1392454240000003
45.121,-501464,4266,2.1392454240000003
45.605,-411132,4266,1.753889112
46.123,-411132,4269,1.7551225080000001
46.608,-440429,4269,1.8801914009999998
47.126,-440429,4269,1.8801914009999998
47.61,-438476,4269,1.871854044
48.128,-438476,4269,1.871854044
48.612,-675780,4269,2.88490482
49.13,-675780,4269,2.88490482
49.615,-639648,4269,2.730657312
50.132,-639648,4257,2.722981536
50.617,-519530,4257,2.2116392099999995
51.134,-519530,4257,2.2116392099999995
51.62,-452148,4257,1.924794036
52.141,-452148,4257,1.924794036
52.623,-456542,4257,1.9434992939999995
53.143,-536620,4257,2.2843913399999995
53.626,-536620,4257,2.2843913399999995
54.146,-412109,4257,1.754348013
54.63,-412109,4257,1.754348013
55.148,-499023,4257,2.124340911
55.633,-499023,4264,2.127834072
56.15,-418945,4264,1.7863814800000002
56.638,-418945,4264,1.7863814800000002
57.152,-427734,4264,1.823857776
57.64,-427734,4264,1.823857776
58.158,-420898,4269,1.7968135620000003
58.642,-420898,4269,1.7968135620000003
59.16,-446777,4269,1.907291013
59.644,-446777,4269,1.907291013
60.162,-401855,4269,1.715518995
60.646,-401855,4270,1.7159208499999998
61.165,-394531,4270,1.68464737
61.649,-394531,4270,1.68464737
62.168,-489745,4270,2.09121115
62.651,-489745,4270,2.09121115
63.17,-353515,4270,1.5095090499999997
63.654,-353515,4270,1.5095090499999997
64.172,-524413,4270,2.2392435099999997
64.656,-524413,4270,2.2392435099999997
65.174,-408691,4270,1.7451105699999998
65.659,-408691,4270,1.7451105699999998
66.176,-620605,4269,2.6493627450000004
66.663,-620605,4257,2.641915485
67.179,-471191,4257,2.005860087
67.666,-471191,4257,2.005860087
68.182,-442870,4257,1.8852975899999997
68.67,-442870,4257,1.8852975899999997
69.185,-593261,4257,2.5255120769999997
69.673,-593261,4257,2.5255120769999997
70.187,-459960,4257,1.9580497199999998
70.675,-459960,4257,1.9580497199999998
71.189,-543456,4257,2.313492192
71.677,-543456,4257,2.313492192
72.192,-407714,4257,1.735638498
72.68,-407714,4257,1.735638498
73.194,-482421,4257,2.0536661969999996
73.682,-482421,4257,2.0536661969999996
74.197,-309570,4257,1.31783949
74.684,-309570,4274,1.32310218
75.2,-490234,4274,2.095260116
75.687,-490234,4274,2.095260116
76.202,-378417,4269,1.6154621729999998
76.689,-378417,4269,1.6154621729999998
77.205,-429687,4269,1.834333803
77.691,-429687,4269,1.834333803
78.208,-456542,4269,1.9489777979999998
78.697,-456542,4269,1.9489777979999998
79.21,-457519,4269,1.953148611
79.7,-457519,4269,1.953148611
80.212,-485839,4269,2.074046691
