timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/7/2023 4:27:15 PM,282964448.0,525000000.0,30.684,203.959,270.585,1.495,28.316,31.794,10.116,5.535,2942605568.0,1283331584.0,2606466560.0,120962488.0,8228087.0,78.04,11.045,45.581,49.99,28.187,73.183,87.759,0.0,0.0,2.459,9275521.0,710323072.0,0.466,13.041,73.155,3.426,97.541,1495247616.0,78591426560.0,28802662400.0,84494532608.0,7541493760.0,0.409,2.076,1.036,42.973,4.561,9259194.0,36.492,0.343,1.002,18302392.0,257.309,0.156,99.845,0.001,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
12/7/2023 4:27:16 PM,284066208.0,525000000.0,30.49,208.671,326.505,1.428,29.556,31.861,10.462,6.35,2845816064.0,1237727744.0,2519490048.0,118906320.0,4861210.5,78.66,12.712,44.86,49.201,27.74,73.834,87.136,0.0,0.0,2.45,9263562.0,709392704.0,0.466,12.836,73.153,3.426,97.55,1493376256.0,78481178624.0,28764518400.0,84374061056.0,7529628672.0,0.41,2.076,1.035,42.97,4.56,9247286.0,36.488,0.325,1.002,18278736.0,257.332,0.157,99.845,0.001,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
12/7/2023 4:27:17 PM,302788032.0,525000000.0,30.757,223.845,331.069,1.453,29.756,31.933,10.175,6.437,3092452352.0,1334721152.0,2734001152.0,133542576.0,4893798.5,79.032,12.753,44.934,49.317,28.232,73.913,87.22,0.0,0.0,2.53,10418165.0,792009600.0,0.461,12.818,72.599,3.423,97.47,1580678528.0,85175107584.0,30686167040.0,92259147776.0,8359370240.0,0.419,2.103,1.051,43.799,4.766,10367735.0,37.152,0.302,1.005,20559090.0,245.117,0.146,99.855,0.001,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
12/7/2023 4:27:18 PM,305742432.0,525000000.0,30.787,221.79,123.958,1.496,28.72,31.918,9.444,6.373,3096215808.0,1370137600.0,2723576064.0,132562256.0,14864531.0,77.21,11.936,44.927,49.308,27.923,72.368,87.736,0.0,0.0,2.489,9993051.0,765542272.0,0.463,13.265,73.193,3.414,97.511,1559280512.0,83451330560.0,30325661696.0,90189283328.0,8031023104.0,0.417,2.103,1.021,,,,,,,,,,,,,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
12/7/2023 4:27:19 PM,288820352.0,525000000.0,31.683,169.1,178.135,1.512,29.264,31.84,10.007,6.486,3018208256.0,1337800192.0,2672270080.0,125029136.0,9286882.0,78.699,11.985,44.918,49.253,27.567,73.904,87.748,0.0,0.0,2.447,9452152.0,725868672.0,0.465,13.228,73.379,3.415,97.553,1548916736.0,80261718016.0,29686771712.0,85911150592.0,7619369984.0,0.406,2.06,1.035,42.478,4.455,9423544.0,35.84,0.351,1.003,18664800.0,259.356,0.152,99.865,0.001,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
12/7/2023 4:27:21 PM,281778720.0,525000000.0,29.431,179.165,11.706,1.595,29.519,31.771,10.583,4.67,2874309632.0,1235373824.0,2545125376.0,120591152.0,2568507.0,79.456,10.476,45.568,49.977,28.287,74.44,87.157,0.0,0.0,2.449,9285934.0,711250752.0,0.468,12.986,73.167,3.427,97.551,1500576000.0,79071109120.0,28888246272.0,85088657408.0,7638534144.0,0.41,2.076,1.052,43.044,4.603,9284441.0,36.449,0.361,1.0,18322162.0,257.333,0.156,99.837,0.001,0.009,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
12/7/2023 4:27:22 PM,293648640.0,525000000.0,32.221,109.091,2.181,1.537,31.051,31.758,10.498,6.885,3020425472.0,1303855360.0,2691060736.0,123459936.0,195490.609,81.805,12.717,44.352,48.612,27.065,76.917,87.604,0.0,0.0,2.399,9451810.0,728174592.0,0.465,13.062,73.62,3.421,97.601,1591710720.0,81272561664.0,30314647552.0,86604054528.0,7655886848.0,0.401,2.043,1.038,41.965,4.364,9421235.0,35.74,0.304,1.003,18661360.0,266.256,0.148,99.871,0.001,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
12/7/2023 4:27:23 PM,284285856.0,525000000.0,29.578,113.475,70.075,1.572,30.146,31.956,10.43,5.174,2856892160.0,1216439424.0,2525629184.0,121696800.0,3545299.75,80.605,11.321,45.23,49.623,27.898,75.664,86.833,0.0,0.0,2.45,9400576.0,723984000.0,0.466,12.946,73.595,3.42,97.55,1514004864.0,79934619648.0,29312665600.0,86040846336.0,7601531904.0,0.414,2.089,1.014,43.178,4.538,9370392.0,35.761,0.343,1.003,18560654.0,254.666,0.152,99.876,0.001,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
12/7/2023 4:27:24 PM,290637280.0,525000000.0,31.652,109.473,65.81,1.636,29.907,31.74,10.437,5.242,3102748416.0,1353715456.0,2756139008.0,127302104.0,2443279.25,80.394,10.914,45.552,49.984,28.892,75.02,87.508,0.0,0.0,2.549,10098690.0,759135104.0,0.462,12.606,71.747,3.425,97.451,1524856576.0,81600634880.0,29306767360.0,88246304768.0,8170718720.0,0.413,2.08,1.103,43.429,4.832,10074317.0,38.341,0.293,1.002,19917476.0,248.423,0.152,99.848,0.001,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
12/7/2023 4:27:25 PM,279088096.0,525000000.0,32.11,104.095,2.273,1.622,29.571,31.781,10.038,5.405,2986929408.0,1309079808.0,2663881984.0,121753728.0,186537.891,81.167,11.099,45.589,49.993,28.173,76.014,87.768,0.0,0.0,2.451,9229581.0,706741760.0,0.464,13.192,73.149,3.424,97.549,1489920000.0,78262927360.0,28691931136.0,84133044224.0,7504474624.0,0.409,2.075,1.05,42.969,4.557,9213134.0,36.648,0.322,1.002,18213012.0,258.398,0.156,99.845,0.001,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
