timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701954288492.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67195877234,11983647426,13489997,18788875,0,0,0,0,620144,26271804416,618372,14144566784,360.015625,303092.39062499994,262.828125,2462.718750000058,2452.703125,2.8,4701.0,0.0,4701.0,1299206620,732142283,0,546085995
1701954289482.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67196306178,11983987392,13490305,18789195,0,0,0,0,620144,26271804416,618408,14145127936,360.03125,303104.09374999994,262.859375,2462.796875000058,2452.90625,2.7,4701.0,0.0,4701.0,1299273736,732182011,0,546468954
1701954290490.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67196654051,11984342340,13490651,18789523,0,0,0,0,620144,26271804416,618409,14145132032,360.09375,303115.26562499994,263.109375,2463.296875000058,2453.21875,9.1,4701.0,0.0,4701.0,1299392424,732261681,0,547126999
1701954291489.6348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67197004663,11984715175,13491019,18789879,0,0,0,0,620144,26271804416,618455,14146303488,360.109375,303126.85937499994,263.140625,2463.468750000058,2453.484375,4.0,4701.0,0.0,4701.0,1299481454,732313623,0,547722044
1701954292488.3936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67197360173,11985129837,13491387,18790255,0,0,0,0,620144,26271804416,618511,14149895680,360.140625,303138.57812499994,263.15625,2463.593750000058,2453.640625,2.7,4701.0,0.0,4701.0,1299638829,732396198,0,548202316
1701954293492.9246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67197715891,11985528192,13491744,18790615,0,0,0,0,620144,26271804416,618563,14151050752,360.15625,303150.28124999994,263.1875,2463.734375000058,2453.796875,2.9,4701.0,0.0,4701.0,1299777517,732479428,0,548625362
1701954294493.4226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67198051689,11985877171,13492072,18790930,0,0,0,0,620144,26271804416,618568,14151116288,360.203125,303161.87499999994,263.1875,2463.953125000058,2453.984375,3.8,4701.0,0.0,4701.0,1299869763,732530921,0,549070970
1701954295485.9077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67198394122,11986215325,13492380,18791220,0,0,0,0,620144,26271804416,618605,14151423488,360.234375,303173.54687499994,263.203125,2464.093750000058,2454.171875,3.1,4701.0,0.0,4701.0,1299958147,732580764,0,549465068
1701954296484.8044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67198736425,11986551875,13492685,18791514,0,0,0,0,620144,26271804416,618634,14151808512,360.3125,303185.15624999994,263.234375,2464.359375000058,2454.28125,4.0,4701.0,0.0,4701.0,1300052661,732633989,0,549889150
1701954297489.9048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67199067339,11986888818,13492986,18791809,0,0,0,0,620144,26271804416,618634,14151808512,360.359375,303196.89062499994,263.28125,2464.562500000058,2454.359375,3.1,4701.0,0.0,4701.0,1300180981,732704892,0,550383105
