timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701808730306.432,0,0,0,0,0,0,0,0,103067093,879341961,451354,640979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293471,15027320320,103471,7327824384,40,102912,0,0,30.1875,9576.578125,19.6875,440.203125,1080.578125,37.8,4701.0,0.0,4701.0,65537617,43244124,0,260467284
1701808731301.9773,0,0,0,0,0,0,0,0,103397750,879762275,451673,641377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293471,15027320320,103473,7327832576,40,102912,0,0,30.21875,9586.1875,19.71875,440.859375,1082.3125,20.3,4701.0,0.0,4701.0,65621926,43325875,0,260802715
1701808732298.3884,0,0,0,0,0,0,0,0,103793432,880227844,452128,641857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293472,15027418624,103519,7328422400,40,102912,0,0,30.296875,9595.46875,19.734375,441.671875,1084.21875,23.3,4701.0,0.0,4701.0,65717886,43408376,0,261205700
1701808733298.772,0,0,0,0,0,0,0,0,104164824,880642960,452626,642324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293472,15027418624,103557,7328934400,40,102912,0,0,30.390625,9605.5625,19.8125,442.328125,1085.46875,17.1,4701.0,0.0,4701.0,65824490,43487004,0,261580886
1701808734288.5005,0,0,0,0,0,0,0,0,104536356,881052697,453087,642739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293482,15027811840,103706,7331043840,40,102912,0,0,30.453125,9614.96875,19.828125,442.921875,1087.28125,20.9,4701.0,0.0,4701.0,65925087,43551050,0,261949066
1701808735301.5596,0,0,0,0,0,0,0,0,104899718,881468031,453509,643135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293483,15027844608,103729,7331375616,40,102912,0,0,30.5,9625.296875,19.828125,443.453125,1088.609375,15.6,4701.0,0.0,4701.0,66026386,43615719,0,262344990
1701808736297.6174,0,0,0,0,0,0,0,0,105252800,881890339,453895,643548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293483,15027844608,103735,7331404288,40,102912,0,0,30.53125,9635.625,19.84375,443.90625,1089.828125,14.3,4701.0,0.0,4701.0,66123428,43679050,0,262687331
1701808737295.3848,0,0,0,0,0,0,0,0,105586714,882311874,454228,643955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293483,15027844608,103751,7331596800,40,102912,0,0,30.59375,9644.796875,19.90625,444.71875,1091.796875,24.1,4701.0,0.0,4701.0,66234279,43757072,0,263208005
1701808738288.4526,0,0,0,0,0,0,0,0,105929326,882746841,454585,644396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293483,15027844608,103762,7331719680,40,102912,0,0,30.640625,9654.578125,19.9375,445.5,1093.09375,18.1,4701.0,0.0,4701.0,66341309,43831495,0,264315617
1701808739299.0168,0,0,0,0,0,0,0,0,106273542,883163596,454923,644788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293485,15028319744,103807,7333087744,40,102912,0,0,30.703125,9664.4375,19.984375,446.171875,1094.734375,19.7,4701.0,0.0,4701.0,66447745,43901450,0,264678131
