timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701813817211.526,0,0,0,0,0,0,0,0,2005528051,3366083913,2368413,2904378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325948,16097613312,193799,8709955584,40,102912,0,0,221.484375,62147.96875,182.203125,2916.359375,7075.90625,13.9,4701.0,0.0,4701.0,514216345,338199162,0,2047935840
1701813818207.5938,0,0,0,0,0,0,0,0,2005859795,3366429216,2368720,2904720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325949,16097629696,193808,8710307840,40,102912,0,0,221.546875,62158.125,182.234375,2916.953125,7077.15625,16.0,4701.0,0.0,4701.0,514305128,338255239,0,2048266968
1701813819214.3213,0,0,0,0,0,0,0,0,2006216205,3366774626,2369039,2905065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325949,16097629696,193839,8710770688,40,102912,0,0,221.59375,62167.953125,182.265625,2917.71875,7078.5625,18.6,4701.0,0.0,4701.0,514402363,338315510,0,2048642136
1701813820213.3943,0,0,0,0,0,0,0,0,2006567975,3367116085,2369395,2905386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325952,16097682944,193860,8711139328,40,102912,0,0,221.59375,62177.65625,182.296875,2918.53125,7080.046875,19.4,4701.0,0.0,4701.0,514501551,338377211,0,2049054867
1701813821211.1707,0,0,0,0,0,0,0,0,2006947170,3367509426,2369789,2905799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325952,16097682944,193869,8711356416,40,102912,0,0,221.6875,62186.8125,182.34375,2919.359375,7082.0625,24.6,4701.0,0.0,4701.0,514601189,338483943,0,2049469207
1701813822206.0532,0,0,0,0,0,0,0,0,2007299793,3367863163,2370209,2906198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325952,16097682944,193887,8711884800,40,102912,0,0,221.734375,62196.609375,182.34375,2919.96875,7083.65625,18.7,4701.0,0.0,4701.0,514708630,338550156,0,2049845600
1701813823207.23,0,0,0,0,0,0,0,0,2007660647,3368210169,2370651,2906590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325952,16097682944,193922,8712331264,40,102912,0,0,221.78125,62206.625,182.390625,2920.6875,7084.921875,17.2,4701.0,0.0,4701.0,514811596,338615629,0,2050229826
1701813824206.8982,0,0,0,0,0,0,0,0,2008010905,3368552963,2371037,2906971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325954,16097691136,193923,8712335360,40,102912,0,0,221.84375,62216.375,182.40625,2921.4375,7086.421875,19.3,4701.0,0.0,4701.0,514928436,338686680,0,2050673693
1701813825206.6948,0,0,0,0,0,0,0,0,2008351305,3368896797,2371355,2907305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325954,16097691136,193940,8712732672,40,102912,0,0,221.875,62226.171875,182.453125,2922.140625,7087.921875,18.9,4701.0,0.0,4701.0,515043441,338756538,0,2051074605
1701813826213.1714,0,0,0,0,0,0,0,0,2008692860,3369260637,2371685,2907663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325954,16097691136,193971,8713162752,40,102912,0,0,221.953125,62235.359375,182.515625,2923.015625,7089.859375,24.3,4701.0,0.0,4701.0,515153103,338834284,0,2051450466
1701813827211.8374,0,0,0,0,0,0,0,0,2009033784,3369611358,2372016,2908021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325954,16097691136,193990,8713572352,40,102912,0,0,222.03125,62245.1875,182.578125,2923.71875,7091.328125,19.0,4701.0,0.0,4701.0,515269843,338905277,0,2051885553
1701813828205.8801,0,0,0,0,0,0,0,0,2009372444,3369949237,2372322,2908347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325954,16097691136,193991,8713576448,40,102912,0,0,222.03125,62254.890625,182.59375,2924.421875,7092.921875,19.2,4701.0,0.0,4701.0,515390457,338978195,0,2052282849
1701813829213.1628,0,0,0,0,0,0,0,0,2009724542,3370304811,2372660,2908701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325954,16097691136,194032,8714055680,40,102912,0,0,222.0625,62264.609375,182.609375,2925.1875,7094.4375,19.3,4701.0,0.0,4701.0,515510788,339052808,0,2052663660
1701813830204.8774,0,0,0,0,0,0,0,0,2010075667,3370653236,2373018,2909062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325954,16097691136,194062,8715333632,40,102912,0,0,222.125,62274.5,182.625,2925.890625,7095.84375,18.1,4701.0,0.0,4701.0,515625362,339122310,0,2053066992
1701813831214.011,0,0,0,0,0,0,0,0,2010419063,3370993812,2373346,2909385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325954,16097691136,194074,8715632640,40,102912,0,0,222.171875,62284.34375,182.671875,2926.5,7097.390625,18.6,4701.0,0.0,4701.0,515736946,339191465,0,2053434785
1701813832208.323,0,0,0,0,0,0,0,0,2010758682,3371331749,2373708,2909698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325954,16097691136,194081,8715886592,40,102912,0,0,222.203125,62293.84375,182.703125,2927.265625,7099.125,21.2,4701.0,0.0,4701.0,515860947,339267421,0,2053830599
