timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1702422729073.6738,0,0,0,0,0,0,0,0,104802186559,35039689234,90365783,70532278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3549216,153694211584,2666783,73618916864,279,473600,0,0,1973.921875,1011522.7499999999,1394.59375,26998.453125000116,47182.34374999999,13.5,4701.0,0.0,4701.0,3281949732,2397550455,0,1832338104
1702422730052.989,0,0,0,0,0,0,0,0,104813965281,35040425256,90375023,70535443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3549216,153694211584,2666815,73619523072,279,473600,0,0,1973.9375,1011533.0468749999,1394.59375,26998.812500000116,47183.49999999999,12.9,4701.0,0.0,4701.0,3281998111,2397602737,0,1832492254
1702422731060.3726,0,0,0,0,0,0,0,0,104825955397,35041172816,90384459,70538669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3549216,153694211584,2666820,73619736064,279,473600,0,0,1974.0,1011544.5937499999,1394.59375,26998.984375000116,47183.96874999999,5.7,4701.0,0.0,4701.0,3282041857,2397654764,0,1832637129
1702422732070.0518,0,0,0,0,0,0,0,0,104837874729,35041917111,90393851,70541849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3549216,153694211584,2666842,73619912192,279,473600,0,0,1974.0625,1011555.6718749999,1394.609375,26999.296875000116,47184.57812499999,8.3,4701.0,0.0,4701.0,3282084666,2397707106,0,1832775919
1702422733068.3506,0,0,0,0,0,0,0,0,104849570497,35042641013,90403059,70544912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3549216,153694211584,2666851,73620153856,279,473600,0,0,1974.109375,1011566.7812499999,1394.65625,26999.718750000116,47185.04687499999,8.1,4701.0,0.0,4701.0,3282131412,2397760454,0,1832919177
1702422734061.2456,0,0,0,0,0,0,0,0,104861316387,35043374808,90412306,70548090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3549217,153694326272,2666858,73620764160,279,473600,0,0,1974.15625,1011578.0468749999,1394.671875,26999.890625000116,47185.60937499999,6.6,4701.0,0.0,4701.0,3282174484,2397811940,0,1833051176
1702422735068.8489,0,0,0,0,0,0,0,0,104873155392,35044124641,90421639,70551311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3549217,153694326272,2666874,73620948480,279,473600,0,0,1974.265625,1011588.8281249999,1394.71875,27000.359375000116,47186.35937499999,11.3,4701.0,0.0,4701.0,3282218913,2397864055,0,1833201915
1702422736058.545,0,0,0,0,0,0,0,0,104884643766,35044856875,90430733,70554490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3549219,153694703104,2666882,73621829120,279,473600,0,0,1974.28125,1011600.0624999999,1394.765625,27000.625000000116,47186.79687499999,6.4,4701.0,0.0,4701.0,3282262394,2397915777,0,1833340027
1702422737065.686,0,0,0,0,0,0,0,0,104896535043,35045610098,90440101,70557764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3549219,153694703104,2666882,73621829120,279,473600,0,0,1974.34375,1011611.3906249999,1394.796875,27000.937500000116,47187.21874999999,6.8,4701.0,0.0,4701.0,3282304738,2397967759,0,1833475338
1702422738066.9966,0,0,0,0,0,0,0,0,104908400536,35046351146,90449429,70560954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3549220,153694735872,2666927,73622427136,279,473600,0,0,1974.40625,1011622.5624999999,1394.8125,27001.281250000116,47187.70312499999,7.5,4701.0,0.0,4701.0,3282348437,2398019959,0,1833614869
