timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1702416156044.2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283370392700,46789536051,58539297,75739984,0,0,0,0,1746818,82888077312,2893881,67594378240,2397.296875,1531008.015625,1175.921875,12039.546875,9839.5625,0.0,4701.0,0.0,4701.0,1719628841,3348517348,0,3371457682
1702416157051.4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283385046225,46790284536,58540520,75742184,0,0,0,0,1746818,82888077312,2893884,67594513408,2397.296875,1531020.171875,1175.921875,12039.546875,9839.59375,0.3,4701.0,0.0,4701.0,1719673005,3348545031,0,3371596120
1702416158037.6643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283399923999,46790993866,58541687,75744249,0,0,0,0,1746820,82888110080,2893987,67595095040,2397.296875,1531031.9375,1175.921875,12039.5625,9839.625,0.4,4701.0,0.0,4701.0,1719717843,3348572601,0,3371764766
1702416159042.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283414824444,46791726493,58542923,75746402,0,0,0,0,1746820,82888110080,2894010,67595336704,2397.296875,1531043.859375,1175.921875,12039.625,9839.640625,0.7,4701.0,0.0,4701.0,1719761492,3348600027,0,3371899827
1702416160053.5789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283429456562,46792454373,58544117,75748614,0,0,0,0,1746820,82888110080,2894031,67595607040,2397.296875,1531056.046875,1175.921875,12039.625,9839.640625,0.0,4701.0,0.0,4701.0,1719807444,3348628495,0,3372071641
1702416161042.3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283443984337,46793161899,58545290,75750722,0,0,0,0,1746820,82888110080,2894031,67595607040,2397.296875,1531067.78125,1175.921875,12039.671875,9839.671875,0.7,4701.0,0.0,4701.0,1719849669,3348655079,0,3372204324
1702416162045.7458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283459180878,46793872944,58546456,75752860,0,0,0,0,1746820,82888110080,2894045,67595832320,2397.296875,1531079.953125,1175.921875,12039.671875,9839.6875,0.1,4701.0,0.0,4701.0,1719893007,3348682352,0,3372360589
1702416163038.6108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283474246144,46794596903,58547611,75754969,0,0,0,0,1746820,82888110080,2894084,67596237824,2397.296875,1531091.6875,1175.921875,12039.703125,9839.734375,0.7,4701.0,0.0,4701.0,1719936797,3348709735,0,3372497157
1702416164039.3198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283489291556,46795315414,58548785,75757147,0,0,0,0,1746820,82888110080,2894085,67596241920,2397.296875,1531103.671875,1175.921875,12039.703125,9839.75,0.1,4701.0,0.0,4701.0,1719980656,3348737060,0,3372669269
1702416165044.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283504671750,46796026252,58549931,75759286,0,0,0,0,1746821,82888126464,2894104,67596549120,2397.296875,1531115.65625,1175.921875,12039.703125,9839.75,0.0,4701.0,0.0,4701.0,1720023069,3348763793,0,3372798765
