CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,5,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1353MHz,2776,0,44.0C/0.0C,3.45ms,0.82ms,0.27ms,13.86ms,2(DR0,0.35,0.19(W0.22),1.00,15.49/21.47,19.21,0,1.21,0,0,16:40:40.199,clumsy-bandwidth-100Mbps,Quest-2,BeatSaber,replay1.2,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2776,0,44.0C/0.0C,3.41ms,0.76ms,0.28ms,13.86ms,2(DR0,0.34,0.18(W0.29),1.00,15.62/21.17,19.00,0,1.21,0,0,16:40:41.199,clumsy-bandwidth-100Mbps,Quest-2,BeatSaber,replay1.2,Quest-2,PopStars-Medium
5,4,1478,525,65,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2776,0,44.0C/0.0C,3.37ms,0.32ms,0.28ms,15.33ms,2(DR0,0.34,0.13(W0.14),1.00,15.61/21.14,18.97,0,1.21,0,0,16:40:42.200,clumsy-bandwidth-100Mbps,Quest-2,BeatSaber,replay1.2,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,16,0/0/1/16,1,0,0,FF,0/70/0,N/F/N,1353MHz,2776,0,44.0C/0.0C,3.43ms,0.75ms,0.27ms,13.87ms,2(DR0,0.34,0.05(W0.10),1.00,15.42/21.61,19.18,0,1.21,0,0,16:40:43.200,clumsy-bandwidth-100Mbps,Quest-2,BeatSaber,replay1.2,Quest-2,PopStars-Medium
5,4,1478,525,68,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2776,0,44.0C/0.0C,3.38ms,1.47ms,0.28ms,14.79ms,2(DR0,0.34,0.07(W0.10),1.00,15.16/21.37,19.11,0,1.21,0,0,16:40:44.200,clumsy-bandwidth-100Mbps,Quest-2,BeatSaber,replay1.2,Quest-2,PopStars-Medium
5,4,1478,525,67,0ms,0,0,14,0/2/0/8,1,0,0,FF,0/70/0,N/F/N,1353MHz,2776,0,44.0C/0.0C,3.44ms,0.99ms,0.29ms,14.87ms,2(DR0,0.34,0.11(W0.19),1.00,15.45/21.31,19.08,0,1.21,0,0,16:40:45.200,clumsy-bandwidth-100Mbps,Quest-2,BeatSaber,replay1.2,Quest-2,PopStars-Medium
5,4,1478,525,69,0ms,0,0,9,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1353MHz,2776,0,44.0C/0.0C,3.37ms,1.38ms,0.27ms,13.87ms,2(DR0,0.34,0.08(W0.10),1.00,15.50/21.35,19.10,0,1.21,0,0,16:40:46.200,clumsy-bandwidth-100Mbps,Quest-2,BeatSaber,replay1.2,Quest-2,PopStars-Medium
5,4,1478,525,65,0ms,0,0,14,0/2/0/8,1,0,0,FF,0/70/0,N/F/N,1353MHz,2776,0,44.0C/0.0C,3.35ms,1.40ms,0.28ms,14.92ms,2(DR0,0.33,0.11(W0.22),1.00,15.53/21.49,19.39,0,1.21,0,0,16:40:47.200,clumsy-bandwidth-100Mbps,Quest-2,BeatSaber,replay1.2,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,6,0/1/0/6,1,0,0,FF,0/70/0,N/F/N,1353MHz,2776,0,44.0C/0.0C,3.31ms,0.75ms,0.35ms,13.87ms,2(DR0,0.34,0.13(W0.18),1.00,16.04/21.46,19.39,0,1.21,0,0,16:40:48.200,clumsy-bandwidth-100Mbps,Quest-2,BeatSaber,replay1.2,Quest-2,PopStars-Medium
5,4,1478,525,68,0ms,0,0,8,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2776,0,44.0C/0.0C,3.32ms,0.54ms,0.33ms,14.78ms,2(DR0,0.34,0.07(W0.14),1.00,15.57/21.29,19.15,0,1.21,0,0,16:40:49.200,clumsy-bandwidth-100Mbps,Quest-2,BeatSaber,replay1.2,Quest-2,PopStars-Medium
