CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,24.0C/0.0C,1.83ms,0.79ms,0.00ms,13.90ms,1(DR72,0.18,0.08(W0.18),1.00,17.19/20.03,19.10,1,1.23,0,0,-2208911911.794,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light_novoid0.1
3,4,1382,525,63,0ms,0,0,13,0/0/1/13,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,24.0C/0.0C,1.83ms,0.51ms,0.00ms,15.50ms,1(DR72,0.21,0.08(W0.10),1.00,17.16/20.08,19.14,1,1.23,0,0,-2208911910.794,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light_novoid0.1
3,4,1382,525,61,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,24.0C/0.0C,1.84ms,0.45ms,0.00ms,15.84ms,1(DR72,0.21,0.05(W0.10),1.00,17.25/20.01,19.18,1,1.23,0,0,-2208911909.794,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light_novoid0.1
3,4,1382,525,72,0ms,0,0,17,0/2/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,24.0C/0.0C,1.83ms,0.45ms,0.00ms,13.90ms,1(DR72,0.21,0.06(W0.14),1.00,17.23/20.14,19.22,1,1.23,0,0,-2208911908.794,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light_novoid0.1
3,4,1382,525,70,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,24.0C/0.0C,1.83ms,0.73ms,0.00ms,14.23ms,1(DR72,0.21,0.08(W0.10),1.00,17.22/20.59,19.15,1,1.23,0,0,-2208911907.793,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light_novoid0.1
3,4,1382,525,72,0ms,0,0,5,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,24.0C/0.0C,1.83ms,0.77ms,0.00ms,13.90ms,1(DR72,0.20,0.12(W0.18),1.00,17.20/19.90,19.06,1,1.23,0,0,-2208911906.793,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light_novoid0.1
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,24.0C/0.0C,1.83ms,0.74ms,0.00ms,13.90ms,1(DR72,0.20,0.06(W0.14),1.00,17.14/20.08,19.15,1,1.23,0,0,-2208911905.793,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light_novoid0.1
3,4,1382,525,68,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,24.0C/0.0C,1.85ms,1.47ms,0.00ms,14.56ms,1(DR72,0.20,0.03(W0.05),1.00,17.23/20.12,19.19,1,1.23,0,0,-2208911904.793,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light_novoid0.1
3,4,1382,525,59,0ms,0,0,9,0/1/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,24.0C/0.0C,1.84ms,0.82ms,0.00ms,15.91ms,1(DR72,0.20,0.11(W0.14),1.00,17.28/19.98,19.13,1,1.23,0,0,-2208911903.793,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light_novoid0.1
3,4,1382,525,72,0ms,0,0,24,1/1/1/13,1,0,0,FF,0/70/0,N/F/N,1555MHz,8141,0,24.0C/0.0C,1.83ms,0.78ms,0.00ms,13.90ms,1(DR72,0.21,0.08(W0.10),1.00,17.30/20.09,19.18,1,1.23,0,0,-2208911902.787,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light_novoid0.1
