timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709238664199.7751,0,0,0,0,0,0,0,0,9350193919,5990867412,7127798,6816779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12667618415,3701432705,12895199,9782002,0,0,0,0,978064,38867799040,723015,23339474432,114,217600,0,0,392.296875,236895.40625,270.609375,3760.5,5938.468749999999,33.3,4701.0,0.0,4701.0,634872690,425534518,0,3307423844
1709238665198.2969,0,0,0,0,0,0,0,0,9350208729,5990892979,7127905,6816877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12670360579,3702422177,12898477,9784401,0,0,0,0,978065,38867803136,723021,23339605504,114,217600,0,0,392.359375,236906.765625,270.640625,3760.78125,5938.828124999999,6.1,4701.0,0.0,4701.0,634927460,425569002,0,3307583120
1709238666197.5923,0,0,0,0,0,0,0,0,9350216229,5990919020,7128014,6817002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12672844329,3703408465,12901540,9786739,0,0,0,0,978065,38867803136,723051,23340191232,114,217600,0,0,392.421875,236918.015625,270.65625,3761.21875,5939.140624999999,6.9,4701.0,0.0,4701.0,634976872,425600188,0,3307739229
1709238667187.008,0,0,0,0,0,0,0,0,9350239801,5990949582,7128176,6817132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12675439181,3704398301,12904722,9789150,0,0,0,0,978066,38867819520,723081,23340559872,114,217600,0,0,392.5,236929.28125,270.6875,3761.640625,5939.374999999999,6.4,4701.0,0.0,4701.0,635028891,425633275,0,3307899109
1709238668188.118,0,0,0,0,0,0,0,0,9350246221,5990972662,7128269,6817235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12677805933,3705385777,12907702,9791504,0,0,0,0,978067,38867835904,723112,23341137408,114,217600,0,0,392.515625,236940.8125,270.703125,3761.921875,5939.609374999999,4.5,4701.0,0.0,4701.0,635075423,425662698,0,3308039949
1709238669197.123,0,0,0,0,0,0,0,0,9350252161,5990994878,7128346,6817321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12680833091,3706378091,12911125,9793881,0,0,0,0,978067,38867835904,723113,23341141504,114,217600,0,0,392.546875,236952.40625,270.734375,3762.265625,5939.703124999999,4.1,4701.0,0.0,4701.0,635123309,425692577,0,3308184325
1709238670185.9163,0,0,0,0,0,0,0,0,9350275359,5991019159,7128522,6817436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12684206449,3707375907,12914772,9796307,0,0,0,0,978068,38867844096,723137,23341612544,114,217600,0,0,392.59375,236963.609375,270.78125,3762.734375,5940.031249999999,7.4,4701.0,0.0,4701.0,635175164,425725388,0,3308350500
1709238671188.7083,0,0,0,0,0,0,0,0,9350290375,5991044522,7128631,6817546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12687823749,3708313561,12918544,9798493,0,0,0,0,978068,38867844096,723152,23341727232,114,217600,0,0,392.640625,236975.046875,270.78125,3763.0,5940.281249999999,4.7,4701.0,0.0,4701.0,635220843,425753846,0,3308484195
1709238672190.3794,0,0,0,0,0,0,0,0,9350300907,5991074661,7128756,6817682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12690441969,3709344627,12921710,9800912,0,0,0,0,978069,38867860480,723177,23342112256,114,217600,0,0,392.65625,236986.4375,270.796875,3763.328125,5940.609374999999,5.7,4701.0,0.0,4701.0,635272541,425786790,0,3308654129
1709238673190.9175,0,0,0,0,0,0,0,0,9350314304,5991097214,7128875,6817780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12693011821,3710338335,12924824,9803252,0,0,0,0,978069,38867860480,723178,23342116352,114,217600,0,0,392.703125,236997.875,270.8125,3763.71875,5940.749999999999,4.9,4701.0,0.0,4701.0,635318353,425815809,0,3308788681
