Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-1893065,3543,6.7071292950000005
1.002,-1833495,3543,6.496072785
2.004,-1873045,3542,6.63432539
3.006,-1860350,3542,6.589359699999999
4.008,-1832518,3542,6.490778756
5.01,-1847655,3542,6.5443940099999995
6.012,-1855467,3542,6.572064114000001
7.015,-1836913,3542,6.506345845999999
8.016,-1826170,3542,6.46829414
9.018,-1843260,3542,6.528826919999999
10.02,-1856444,3542,6.575524648
11.022,-1883299,3542,6.670645058
12.024,-1853026,3542,6.563418092
13.026,-1828124,3542,6.475215208
14.029,-1837889,3542,6.509802837999999
15.031,-1854491,3542,6.5686071219999995
16.034,-1879393,3542,6.656810006
17.036,-1864745,3542,6.6049267899999995
18.038,-1871581,3542,6.6291399019999995
19.04,-1874510,3542,6.639514419999999
20.043,-1886229,3542,6.681023118
21.045,-1919432,3542,6.798628143999999
22.048,-1894530,3540,6.7066362
23.05,-1873045,3540,6.6305793
24.051,-1878905,3540,6.6513237
25.054,-1899413,3540,6.72392202
26.056,-1895995,3540,6.7118223
27.058,-1422362,3540,5.03516148
28.059,-1411620,3540,4.9971347999999995
29.061,-1389159,3540,4.91762286
30.063,-1430663,3540,5.06454702
31.065,-1347655,3540,4.7706987000000005
32.067,-1440917,3575,5.151278275
33.069,-1958006,3575,6.9998714500000006
34.071,-1965819,3575,7.0278029250000005
35.073,-1972655,3575,7.052241625000001
36.075,-1401854,3575,5.01162805
37.077,-1968260,3575,7.0365295
38.08,-1991698,3575,7.120320350000001
39.082,-1914061,3575,6.842768075
40.084,-1998534,3575,7.14475905
41.086,-1960936,3575,7.010346200000001
42.088,-2014159,3534,7.1180379060000005
43.09,-2016600,3534,7.126664399999999
44.092,-1982909,3534,7.007600406
45.094,-1966307,3534,6.948928938
46.096,-1968260,3534,6.955830839999999
47.098,-1979002,3534,6.993793068
48.1,-1970213,3534,6.962732742
49.102,-1800292,3534,6.362231928
50.105,-1961424,3534,6.931672416
51.107,-1923827,3534,6.798804617999999
52.11,-1902342,3538,6.7304859960000005
53.112,-1987303,3538,7.031078014
54.114,-1624022,3538,5.745789835999999
55.116,-1927245,3538,6.818592809999999
56.118,-1956053,3538,6.920515514
57.12,-1970213,3538,6.970613594
58.122,-1987791,3538,7.032804557999999
59.124,-1964354,3538,6.949884451999999
60.126,-2008299,3538,7.105361862
61.128,-1997557,3538,7.067356665999999
62.131,-1963866,3535,6.94226631
63.133,-1946288,3535,6.88012808
64.136,-1981932,3535,7.00612962
65.138,-1977049,3535,6.988868215
66.141,-1923338,3535,6.7989998300000005
67.143,-1940428,3535,6.85941298
68.146,-1951170,3535,6.89738595
69.148,-1940916,3535,6.86113806
70.15,-1927733,3535,6.814536155
71.153,-1900389,3535,6.717875115
72.156,-1929198,3536,6.821644128000001
73.158,-1931639,3536,6.830275503999999
74.16,-1958495,3535,6.923279825
75.162,-1884764,3535,6.66264074
76.164,-1955565,3535,6.912922275000001
77.167,-1929198,3535,6.819714930000001
78.169,-1924315,3535,6.802453525000001
79.171,-1931639,3535,6.828343865
80.173,-1892088,3535,6.688531080000001
81.175,-1865233,3535,6.593598655
82.177,-1924803,3534,6.802253802
83.179,-1907225,3534,6.740133149999999
84.181,-1912108,3534,6.7573896719999995
85.184,-1923827,3534,6.798804617999999
86.186,-1915526,3534,6.769468884
87.188,-1919432,3534,6.783272687999999
88.19,-1895506,3534,6.698718204
89.192,-1920409,3534,6.7867254059999995
90.195,-1907225,3534,6.740133149999999
91.197,-1945799,3534,6.876453666
92.199,-1869627,3537,6.612870698999999
93.201,-1928709,3537,6.821843733
94.203,-1932616,3537,6.835662791999999
95.205,-1933592,3537,6.8391149040000005
96.207,-1913573,3537,6.768307701
97.209,-1952147,3537,6.904743938999999
98.211,-1903319,3537,6.732039303
99.214,-1934081,3537,6.840844497
100.216,-1916502,3537,6.778667574
101.218,-1884764,3537,6.666410267999999
102.22,-1955565,3532,6.90705558
103.222,-1879393,3532,6.638016076
104.224,-1934081,3532,6.8311740919999995
105.226,-1910643,3532,6.748391076000001
106.228,-1910155,3532,6.74666746
107.23,-1899901,3532,6.710450332000001
108.232,-1913084,3532,6.757012688
109.234,-1906737,3532,6.734595084
110.236,-1932616,3532,6.825999712
111.238,-1929686,3532,6.815650952
112.24,-1916991,3533,6.772729202999999
113.242,-1878417,3533,6.636447261
114.244,-1913084,3533,6.7589257719999996
115.246,-1921385,3533,6.788253204999999
116.248,-1855956,3533,6.557092548
117.25,-1934569,3533,6.834832276999999
118.252,-1914061,3533,6.762377513
119.254,-1939452,3533,6.852083916
120.256,-1923827,3533,6.7968807909999995
121.259,-1938475,3533,6.848632175
122.261,-1897459,3529,6.696132811
123.264,-1866698,3529,6.587577242000001
124.266,-1969237,3529,6.949437373
125.267,-1902831,3529,6.715090599
126.269,-1930663,3529,6.813309727
127.271,-1914061,3529,6.754721269
128.273,-1924315,3529,6.790907635
129.275,-1898436,3529,6.699580644
130.277,-1925780,3529,6.79607762
131.279,-1896971,3529,6.694410659
132.281,-1888182,3532,6.669058824
133.282,-1902831,3532,6.720799092
134.284,-1887206,3532,6.665611591999999
135.287,-1917967,3532,6.774259444000001
136.289,-1939940,3532,6.85186808
137.291,-1913084,3532,6.757012688
138.292,-1943846,3532,6.8656640719999995
139.295,-1970702,3527,6.950665954
140.297,-1953124,3527,6.888668348
141.299,-1953124,3527,6.888668348
142.301,-1951170,3528,6.88372776
143.302,-1919920,3528,6.7734777600000005
144.304,-1954100,3528,6.8940648
145.306,-1930663,3528,6.8113790640000005
146.308,-1949217,3528,6.876837576000001
147.31,-1971678,3528,6.9560799840000005
148.312,-1919920,3528,6.7734777600000005
149.314,-1899901,3528,6.7028507280000005
150.316,-1926756,3528,6.797595168000001
151.318,-1958983,3528,6.911292024
152.32,-1967284,3527,6.938610668000001
153.322,-1964354,3527,6.928276558
154.325,-1958006,3527,6.905887162000001
155.327,-1988768,3527,7.014384736
156.329,-1980467,3527,6.985107109000001
157.33,-1955565,3527,6.897277755
158.332,-2041014,3527,7.198656378000001
159.335,-1971678,3527,6.954108306
160.337,-1975584,3527,6.967884768
161.339,-1769530,3527,6.24113231
162.341,-1974608,3525,6.960493199999999
163.343,-1899413,3525,6.695430825
164.345,-1972166,3525,6.951885149999999
165.347,-1988768,3525,7.0104072
166.349,-1986327,3525,7.0018026749999995
167.351,-1992186,3525,7.0224556499999995
168.353,-1975096,3525,6.9622133999999996
169.355,-1982909,3525,6.9897542249999995
170.357,-1980467,3525,6.981146175
171.359,-1926756,3525,6.7918149
172.361,-1974120,3524,6.95679888
173.363,-2021971,3524,7.125425804000001
174.365,-1983885,3524,6.99121074
175.367,-1896483,3524,6.683206092
176.369,-1988280,3524,7.00669872
177.371,-1993163,3524,7.0239064120000005
178.373,-1999998,3524,7.0479929519999995
179.375,-1773924,3524,6.251308176
180.377,-1992674,3524,7.022183176
181.379,-2017577,3524,7.109941348
182.381,-1982420,3524,6.986048080000001
183.383,-1969725,3524,6.9413108999999995
184.385,-1931639,3524,6.807095835999999
185.387,-1971190,3524,6.94647356
186.389,-1895018,3524,6.678043432
187.391,-2000975,3524,7.0514358999999995
188.393,-1979002,3524,6.974003048
189.395,-1978514,3524,6.972283335999999
190.398,-1983885,3524,6.99121074
191.399,-1920409,3524,6.767521316
192.402,-1959959,3525,6.908855475
193.404,-1985350,3525,6.9983587499999995
194.406,-1910155,3525,6.733296375
195.409,-1980956,3525,6.9828699
196.411,-1961424,3525,6.9140196
197.413,-1956053,3525,6.895086825
198.416,-1914061,3525,6.7470650249999995
199.419,-1947752,3525,6.8658258
200.422,-1965819,3525,6.929511975
201.424,-1916991,3525,6.757393274999999
202.427,-1919920,3526,6.76963792
203.429,-1928709,3526,6.8006279339999995
204.432,-1954588,3526,6.891877288
205.434,-1901366,3526,6.704216515999999
206.436,-1920409,3526,6.771362133999999
207.438,-1906737,3526,6.723154662
208.44,-1940916,3526,6.843669815999999
209.442,-1929198,3526,6.802352148000001
210.444,-1921385,3526,6.774803509999999
211.446,-1943846,3526,6.854000996
212.448,-1935057,3524,6.819140868
213.45,-1916014,3524,6.752033335999999
214.453,-1968748,3524,6.9378679519999995
215.455,-1945799,3524,6.856995676
216.457,-1913084,3524,6.7417080160000005
217.459,-1914549,3524,6.746870676
218.461,-1921874,3524,6.772683976000001
219.463,-1932616,3524,6.810538783999999
220.465,-1951170,3524,6.875923080000001
221.467,-1921874,3524,6.772683976000001
222.469,-1915038,3525,6.7505089499999995
223.471,-1879393,3525,6.624860325
224.473,-1955077,3525,6.891646424999999
225.475,-1943358,3525,6.85033695
226.477,-1931151,3525,6.807307275
227.478,-1935057,3525,6.821075925
228.48,-1968260,3525,6.9381165
229.482,-1956053,3525,6.895086825
230.484,-1933104,3525,6.8141916
231.486,-1907225,3525,6.7229681249999995
232.488,-1917967,3524,6.758915708000001
233.49,-1861327,3524,6.559316348
234.492,-1877440,3524,6.61609856
235.494,-1934081,3524,6.815701444
236.496,-1927245,3524,6.79161138
237.498,-1926756,3524,6.789888144000001
238.5,-1959471,3524,6.905175804
239.502,-1949706,3522,6.866864531999999
240.504,-1929198,3522,6.794635356000001
241.507,-1941405,3522,6.83762841
242.509,-1941893,3522,6.839347146
243.511,-1927245,3522,6.787756889999999
244.512,-1895995,3522,6.677694389999999
245.514,-1577147,3522,5.554711733999999
246.517,-1919920,3522,6.76195824
247.519,-1933592,3522,6.810111024
248.521,-1907225,3522,6.717246449999999
249.523,-1872069,3522,6.593427018
250.524,-1749510,3522,6.161774219999999
251.526,-1909178,3522,6.724124916
252.529,-1932616,3523,6.808606168
253.531,-1945311,3523,6.853330653
254.533,-1956541,3523,6.892893943
255.535,-1939452,3523,6.832689396
256.537,-1981444,3523,6.980627212
257.539,-1944823,3523,6.851611429000001
258.541,-1943358,3523,6.846450234
259.544,-1922362,3523,6.772481326
260.546,-1911131,3523,6.732914513000001
261.548,-1938475,3523,6.829247425
262.55,-1997557,3521,7.033398197
263.552,-1915526,3521,6.744567046
264.554,-1882323,3521,6.627659283000001
265.556,-1953124,3521,6.876949604
266.558,-1722167,3521,6.063750006999999
267.559,-2147459,3521,7.561203139
268.562,-1849608,3523,6.516168984
269.563,-1896483,3523,6.681309609
270.566,-1996092,3523,7.032232116000001
271.568,-2088866,3523,7.359074918
272.57,-2042479,3512,7.173186248
