CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,experiment,device,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.53ms,0.76ms,0.25ms,13.13ms,2(DR0,0.35,0.08(W0.15),1.00,18.48/22.28,21.14,1,1.21,0,0,17:31:03.087,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.53ms,0.82ms,0.25ms,13.14ms,2(DR0,0.37,0.09(W0.23),1.00,18.54/22.12,21.10,1,1.21,0,0,17:31:04.087,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.53ms,0.74ms,0.25ms,13.11ms,2(DR0,0.35,0.11(W0.14),1.00,18.42/22.29,21.19,1,1.21,0,0,17:31:05.087,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.53ms,0.77ms,0.25ms,13.12ms,2(DR0,0.36,0.10(W0.14),1.00,18.54/22.32,21.24,1,1.21,0,0,17:31:06.087,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.7C/0.0C,3.53ms,0.74ms,0.24ms,13.12ms,2(DR0,0.35,0.09(W0.18),1.00,18.57/22.61,21.20,1,1.21,0,0,17:31:07.087,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.7C/0.0C,3.52ms,0.71ms,0.25ms,13.27ms,2(DR0,0.35,0.11(W0.18),1.00,18.55/22.30,21.19,1,1.21,0,0,17:31:08.087,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,4,2/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.7C/0.0C,3.54ms,0.55ms,0.25ms,13.69ms,2(DR0,0.36,0.08(W0.10),1.00,18.56/22.66,21.22,1,1.21,0,0,17:31:09.087,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,4,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.7C/0.0C,3.52ms,0.86ms,0.24ms,13.11ms,2(DR0,0.35,0.08(W0.23),1.00,18.86/22.50,21.34,1,1.21,0,0,17:31:10.087,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.7C/0.0C,3.54ms,0.79ms,0.25ms,13.12ms,2(DR0,0.35,0.12(W0.14),1.00,18.47/22.24,21.28,1,1.21,0,0,17:31:11.087,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.7C/0.0C,3.57ms,0.94ms,0.24ms,13.14ms,2(DR0,0.37,0.10(W0.14),1.00,18.71/22.44,21.26,1,1.21,0,0,17:31:12.088,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,4,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.7C/0.0C,3.54ms,0.88ms,0.24ms,13.12ms,2(DR0,0.36,0.20(W0.25),1.00,18.71/22.99,21.31,1,1.21,0,0,17:31:13.088,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.7C/0.0C,3.54ms,0.82ms,0.25ms,13.13ms,2(DR0,0.36,0.14(W0.32),1.00,18.66/22.48,21.33,1,1.21,0,0,17:31:14.088,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.53ms,0.76ms,0.23ms,13.11ms,2(DR0,0.35,0.08(W0.15),1.00,18.42/22.27,21.24,1,1.21,0,0,17:31:15.088,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,6,0/1/0/6,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.57ms,0.82ms,0.25ms,13.14ms,2(DR0,0.36,0.13(W0.17),1.00,18.50/22.76,21.21,1,1.21,0,0,17:31:16.095,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.55ms,0.82ms,0.24ms,13.13ms,2(DR0,0.36,0.12(W0.25),1.00,18.37/23.02,21.37,1,1.21,0,0,17:31:17.088,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.53ms,0.81ms,0.25ms,13.11ms,2(DR0,0.36,0.05(W0.10),1.00,18.40/22.27,21.24,1,1.21,0,0,17:31:18.088,100,Quest-Pro,replay1.2
