CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,3,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8089,0,28.0C/0.0C,1.86ms,0.71ms,0.00ms,13.49ms,1(DR73,0.20,0.07(W0.10),1.00,16.82/19.57,18.77,1,1.23,0,0,-2208933252.801,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
3,4,1382,525,73,0ms,0,0,6,0/1/0/5,1,0,0,FF,0/70/0,N/F/N,1555MHz,8089,0,28.0C/0.0C,1.86ms,0.76ms,0.00ms,13.86ms,1(DR73,0.21,0.12(W0.22),1.00,16.91/19.68,18.77,1,1.23,0,0,-2208933251.801,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
3,4,1382,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,8105,0,28.0C/0.0C,1.86ms,0.76ms,0.00ms,13.86ms,1(DR73,0.21,0.07(W0.10),1.00,16.81/19.59,18.72,1,1.23,0,0,-2208933250.795,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
3,4,1382,525,71,0ms,0,0,9,3/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,8105,0,28.0C/0.0C,1.86ms,0.70ms,0.00ms,14.09ms,1(DR73,0.21,0.05(W0.10),1.00,16.84/19.64,18.78,1,1.23,0,0,-2208933249.8,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
3,4,1382,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,8105,0,27.5C/0.0C,1.86ms,0.76ms,0.00ms,13.27ms,1(DR73,0.21,0.13(W0.19),1.00,16.97/19.63,18.79,1,1.23,0,0,-2208933248.8,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
3,4,1382,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,8105,0,27.5C/0.0C,1.84ms,0.75ms,0.00ms,13.31ms,1(DR73,0.20,0.10(W0.14),1.00,16.98/19.74,18.86,1,1.23,0,0,-2208933247.8,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
3,4,1382,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,8105,0,27.5C/0.0C,1.83ms,0.76ms,0.00ms,13.86ms,1(DR72,0.20,0.19(W0.30),1.00,16.96/19.74,18.87,1,1.23,0,0,-2208933246.8,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
3,4,1382,525,72,0ms,0,0,5,0/1/0/5,1,0,0,FF,0/70/0,N/F/N,1555MHz,8105,0,27.5C/0.0C,1.84ms,0.72ms,0.00ms,14.06ms,1(DR73,0.21,0.13(W0.22),1.00,16.89/20.21,18.90,1,1.23,0,0,-2208933245.8,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
3,4,1382,525,73,0ms,0,0,8,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8105,0,27.5C/0.0C,1.83ms,1.23ms,0.00ms,13.12ms,1(DR73,0.20,0.11(W0.14),1.00,16.95/19.71,18.86,1,1.23,0,0,-2208933244.8,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
3,4,1382,525,70,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8105,0,27.5C/0.0C,1.82ms,0.70ms,0.00ms,14.14ms,1(DR73,0.21,0.05(W0.10),1.00,16.96/19.85,18.88,1,1.23,0,0,-2208933243.8,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8105,0,27.5C/0.0C,1.82ms,0.79ms,0.00ms,13.86ms,1(DR73,0.21,0.15(W0.19),1.00,16.87/19.68,18.77,1,1.23,0,0,-2208933242.8,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8105,0,27.5C/0.0C,1.83ms,0.75ms,0.00ms,13.86ms,1(DR73,0.21,0.12(W0.14),1.00,16.86/19.56,18.81,1,1.23,0,0,-2208933241.8,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0
