CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,65,0ms,0,0,9,1/1/0/5,1,0,0,FF,0/70/0,N/F/N,1555MHz,8059,0,27.2C/0.0C,1.85ms,0.56ms,0.00ms,15.20ms,1(DR73,0.21,0.08(W0.14),1.00,16.99/19.84,18.99,1,1.23,0,0,-2208930569.617,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,void_exp0.1
3,4,1382,525,73,0ms,0,0,7,0/1/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,8059,0,27.2C/0.0C,1.85ms,0.76ms,0.00ms,13.86ms,1(DR73,0.21,0.03(W0.05),1.00,16.96/19.91,18.92,1,1.23,0,0,-2208930568.617,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,void_exp0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8059,0,27.2C/0.0C,1.86ms,0.78ms,0.00ms,13.86ms,1(DR73,0.21,0.03(W0.10),1.00,17.03/19.70,18.90,1,1.23,0,0,-2208930567.617,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,void_exp0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8059,0,27.2C/0.0C,1.85ms,0.76ms,0.00ms,13.86ms,1(DR73,0.21,0.14(W0.18),1.00,17.13/19.83,18.99,1,1.23,0,0,-2208930566.617,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,void_exp0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8059,0,27.2C/0.0C,1.85ms,0.73ms,0.00ms,13.86ms,1(DR73,0.21,0.17(W0.19),1.00,16.95/19.71,18.91,1,1.23,0,0,-2208930565.617,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,void_exp0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8059,0,27.2C/0.0C,1.85ms,0.68ms,0.00ms,13.86ms,1(DR73,0.20,0.08(W0.14),1.00,16.87/19.93,18.96,1,1.23,0,0,-2208930564.617,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,void_exp0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8059,0,27.2C/0.0C,1.86ms,0.72ms,0.00ms,13.86ms,1(DR73,0.20,0.07(W0.10),1.00,17.08/19.79,18.95,1,1.23,0,0,-2208930563.617,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,void_exp0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8059,0,27.2C/0.0C,1.86ms,0.75ms,0.00ms,13.86ms,1(DR73,0.21,0.12(W0.18),1.00,16.96/19.75,18.90,1,1.23,0,0,-2208930562.617,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,void_exp0.1
3,4,1382,525,73,0ms,0,0,6,0/1/0/6,1,0,0,FF,0/70/0,N/F/N,1555MHz,8059,0,27.2C/0.0C,1.85ms,0.79ms,0.00ms,13.36ms,1(DR73,0.21,0.20(W0.24),1.00,16.94/19.94,18.99,1,1.23,0,0,-2208930561.617,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,void_exp0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8059,0,27.2C/0.0C,1.72ms,0.79ms,0.00ms,13.13ms,1(DR73,0.20,0.14(W0.18),1.00,17.09/19.98,19.03,1,1.23,0,0,-2208930560.617,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,void_exp0.1
