CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,experiment,device,repetition
5,4,1478,525,25,0ms,0,49,49,24/0/0/2,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.0C/0.0C,3.33ms,0.99ms,0.27ms,41.61ms,2(DR0,0.29,0.12(W0.17),1.00,15.51/21.66,19.10,0,1.21,0,0,03:22:24.043,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,25,0ms,0,49,49,24/0/0/2,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.0C/0.0C,3.33ms,1.17ms,0.29ms,41.61ms,2(DR0,0.30,0.05(W0.10),1.00,15.36/22.40,19.28,0,1.21,0,0,03:22:25.043,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,25,0ms,0,48,48,25/0/0/2,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.0C/0.0C,3.39ms,1.16ms,0.27ms,41.61ms,2(DR0,0.30,0.13(W0.33),1.00,15.54/21.52,19.17,0,1.21,0,0,03:22:26.043,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,31,0ms,0,49,48,24/0/0/2,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.0C/0.0C,3.31ms,4.31ms,0.28ms,37.23ms,2(DR0,0.29,0.07(W0.11),1.00,15.37/21.42,19.16,0,1.21,0,0,03:22:27.043,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,48,0ms,0,0,63,0/0/1/63,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.0C/0.0C,3.35ms,-0.94ms,0.27ms,24.28ms,2(DR0,0.35,0.13(W0.18),1.00,15.53/21.48,19.38,0,1.21,0,0,03:22:28.043,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.0C/0.0C,3.33ms,0.80ms,0.28ms,13.86ms,2(DR0,0.29,0.11(W0.14),1.00,15.53/21.83,19.39,0,1.21,0,0,03:22:29.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,49,0ms,0,0,24,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.0C/0.0C,3.35ms,-0.86ms,0.27ms,18.09ms,2(DR0,0.35,0.10(W0.14),1.00,15.44/21.72,19.28,0,1.21,0,0,03:22:30.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,73,0ms,0,0,9,0/0/1/33,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.2C/0.0C,3.34ms,0.77ms,0.28ms,13.86ms,2(DR0,0.34,0.18(W0.25),1.00,15.75/21.73,19.45,0,1.21,0,0,03:22:31.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,49,0ms,0,0,5,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.2C/0.0C,3.36ms,-1.02ms,0.27ms,18.11ms,2(DR0,0.33,0.12(W0.16),1.00,15.50/21.68,19.29,0,1.21,0,0,03:22:32.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,73,0ms,0,0,27,0/0/1/32,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.2C/0.0C,3.34ms,0.77ms,0.28ms,13.87ms,2(DR0,0.33,0.12(W0.22),1.00,15.37/21.74,19.24,0,1.21,0,0,03:22:33.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,51,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.2C/0.0C,3.30ms,10.10ms,0.28ms,17.80ms,2(DR0,0.32,0.13(W0.18),1.00,15.30/21.52,19.12,0,1.21,0,0,03:22:34.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,70,0ms,0,0,63,0/0/1/63,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.2C/0.0C,3.35ms,-0.78ms,0.28ms,14.21ms,2(DR0,0.33,0.22(W0.26),1.00,15.55/21.80,19.42,0,1.21,0,0,03:22:35.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,70,0ms,0,0,63,0/0/1/63,1,0,0,FF,0/70/0,N/N/N,1353MHz,2665,0,44.2C/0.0C,3.35ms,-0.78ms,0.28ms,14.21ms,2(DR0,0.33,0.22(W0.26),1.00,15.55/21.80,19.42,0,1.21,0,0,03:22:36.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,71,0ms,0,0,24,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.2C/0.0C,3.36ms,0.67ms,0.29ms,13.86ms,2(DR0,0.34,0.07(W0.10),1.00,15.39/21.22,19.09,0,1.21,0,0,03:22:37.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,72,0ms,0,0,8,0/0/1/32,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.2C/0.0C,3.47ms,0.70ms,0.27ms,14.35ms,2(DR0,0.35,0.08(W0.10),1.00,15.55/21.67,19.35,0,1.21,0,0,03:22:38.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,67,0ms,0,0,9,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2665,0,44.2C/0.0C,3.41ms,0.43ms,0.28ms,13.86ms,2(DR0,0.34,0.08(W0.14),1.00,15.62/21.43,19.21,0,1.21,0,0,03:22:39.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,71,0ms,0,0,24,0/0/1/33,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.2C/0.0C,3.45ms,0.66ms,0.28ms,14.21ms,2(DR0,0.34,0.18(W0.25),1.00,15.62/21.85,19.31,0,1.21,0,0,03:22:40.053,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,55,0ms,0,0,6,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.2C/0.0C,3.48ms,0.97ms,0.27ms,13.87ms,2(DR0,0.34,0.15(W0.19),1.00,15.53/21.55,19.26,0,1.21,0,0,03:22:41.044,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,70,0ms,0,0,28,0/0/1/34,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.2C/0.0C,3.37ms,0.61ms,0.30ms,14.20ms,2(DR0,0.34,0.14(W0.18),1.00,15.61/21.64,19.29,0,1.21,0,0,03:22:42.045,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,54,0ms,0,0,3,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.2C/0.0C,3.44ms,1.40ms,0.31ms,13.86ms,2(DR0,0.35,0.19(W0.20),1.00,15.34/22.04,19.32,0,1.21,0,0,03:22:43.045,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,70,0ms,0,0,30,0/0/1/33,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.2C/0.0C,3.35ms,0.58ms,0.32ms,14.35ms,2(DR0,0.34,0.10(W0.15),1.00,15.53/21.72,19.30,0,1.21,0,0,03:22:44.045,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,56,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.2C/0.0C,3.42ms,0.99ms,0.31ms,13.87ms,2(DR0,0.34,0.12(W0.14),1.00,15.57/21.55,19.15,0,1.21,0,0,03:22:45.045,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,70,0ms,0,0,32,0/0/1/32,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.2C/0.0C,3.32ms,0.62ms,0.34ms,14.35ms,2(DR0,0.34,0.13(W0.14),1.00,15.61/21.85,19.28,0,1.21,0,0,03:22:46.045,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,54,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.2C/0.0C,3.33ms,1.02ms,0.29ms,13.87ms,2(DR0,0.34,0.14(W0.19),1.00,15.72/21.40,19.19,0,1.21,0,0,03:22:47.045,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,70,0ms,0,0,32,0/0/1/32,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.2C/0.0C,3.32ms,0.61ms,0.35ms,14.21ms,2(DR0,0.34,0.10(W0.19),1.00,15.58/21.71,19.29,0,1.21,0,0,03:22:48.045,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,52,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.2C/0.0C,3.41ms,17.80ms,0.31ms,13.86ms,2(DR0,0.34,0.15(W0.19),1.00,15.37/21.53,19.21,0,1.21,0,0,03:22:49.045,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,70,0ms,0,0,32,0/0/1/32,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.2C/0.0C,3.31ms,0.61ms,0.31ms,14.36ms,2(DR0,0.34,0.07(W0.11),1.00,15.42/21.60,19.19,0,1.21,0,0,03:22:50.045,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,58,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.0C/0.0C,3.33ms,6.90ms,0.28ms,13.86ms,2(DR0,0.32,0.12(W0.26),1.00,15.38/21.36,19.20,0,1.21,0,0,03:22:51.045,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,58,0ms,0,0,35,0/0/1/35,1,0,0,FF,0/70/0,N/F/N,1555MHz,2651,0,44.0C/0.0C,3.32ms,-0.15ms,0.31ms,13.86ms,2(DR0,0.28,0.02(W0.05),1.00,15.34/21.55,19.18,0,1.21,0,0,03:22:52.045,clumsy-bandwidth-30Mbps,Quest-2,replay
5,4,1478,525,69,0ms,0,0,32,0/0/1/32,1,0,0,FF,0/70/0,N/F/N,1353MHz,2651,0,44.0C/0.0C,3.44ms,0.59ms,0.28ms,13.60ms,2(DR0,0.34,0.05(W0.10),1.00,15.44/21.94,19.36,0,1.21,0,0,03:22:53.045,clumsy-bandwidth-30Mbps,Quest-2,replay
