CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8054,0,28.0C/0.0C,3.64ms,0.73ms,0.24ms,13.12ms,2(DR0,0.36,0.13(W0.18),1.00,17.79/20.61,19.73,1,1.23,0,0,-2208981871.795,True,False,30,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0-pcd
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/N/N,1555MHz,8054,0,28.0C/0.0C,3.64ms,0.73ms,0.24ms,13.12ms,2(DR0,0.36,0.13(W0.18),1.00,17.79/20.61,19.73,1,1.23,0,0,-2208981870.794,True,False,30,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0-pcd
4,4,1382,525,46,0ms,0,0,19,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8054,0,28.0C/0.0C,3.72ms,0.45ms,0.24ms,28.85ms,2(DR0,0.39,0.14(W0.18),1.00,17.82/20.67,19.75,1,1.23,0,0,-2208981869.794,True,False,30,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0-pcd
4,4,1382,525,46,0ms,0,0,19,0/0/0/0,1,0,0,FF,0/70/0,N/N/N,1555MHz,8054,0,28.0C/0.0C,3.72ms,0.45ms,0.24ms,28.85ms,2(DR0,0.39,0.14(W0.18),1.00,17.82/20.67,19.75,1,1.23,0,0,-2208981868.794,True,False,30,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0-pcd
3,4,1382,525,46,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8054,0,28.0C/0.0C,3.35ms,0.00ms,0.22ms,28.85ms,2(DR0,0.29,0.05(W0.10),1.00,17.76/20.73,19.75,1,1.23,0,0,-2208981867.794,True,False,30,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0-pcd
4,5,1478,587,62,0ms,0,0,72,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8054,0,28.0C/0.0C,3.26ms,97.96ms,0.22ms,48.93ms,2(DR0,0.27,0.08(W0.14),1.00,17.85/20.84,19.80,1,1.23,0,0,-2208981866.794,True,False,30,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0-pcd
4,5,1478,587,14,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8054,0,28.0C/0.0C,3.27ms,0.00ms,0.22ms,46.78ms,2(DR0,0.27,0.03(W0.10),1.00,17.85/20.55,19.70,1,1.23,0,0,-2208981865.794,True,False,30,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0-pcd
4,5,1478,587,14,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/N/N,1555MHz,8054,0,28.0C/0.0C,3.27ms,0.00ms,0.22ms,46.78ms,2(DR0,0.27,0.03(W0.10),1.00,17.85/20.55,19.70,1,1.23,0,0,-2208981864.794,True,False,30,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0-pcd
4,5,1478,587,36,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8054,0,28.0C/0.0C,3.32ms,0.00ms,0.22ms,46.48ms,2(DR0,0.39,0.08(W0.14),1.00,17.81/20.70,19.78,1,1.23,0,0,-2208981863.794,True,False,30,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0-pcd
4,5,1478,587,60,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8054,0,28.0C/0.0C,3.29ms,0.59ms,0.22ms,27.59ms,2(DR0,0.38,0.11(W0.18),1.00,17.72/20.95,19.83,1,1.23,0,0,-2208981862.794,True,False,30,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0-pcd
4,5,1478,587,72,0ms,0,0,67,0/0/1/461,1,0,0,FF,0/70/0,N/F/N,1555MHz,8054,0,28.0C/0.0C,3.34ms,0.65ms,0.22ms,12.98ms,2(DR0,0.31,0.13(W0.18),1.00,17.99/21.02,20.03,1,1.23,0,0,-2208981861.788,True,False,30,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,icate0.0-pcd
