timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709153678398.3003,0,0,0,0,0,0,0,0,36465936310,9782261335,29528417,18314555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,2,0,0,0,0,0,1727770,80123965952,1374004,32925604864,337,583168,0,0,825.46875,680095.15625,497.53125,7010.406249999884,9694.125,36.1,4701.0,0.0,4701.0,1106094631,804163670,0,1052083924
1709153679397.6052,0,0,0,0,0,0,0,0,36468341449,9783424545,29531319,18317015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,2,0,0,0,0,0,1727770,80123965952,1374036,32926149632,337,583168,0,0,825.484375,680106.390625,497.546875,7010.749999999884,9694.546875,6.6,4701.0,0.0,4701.0,1106142850,804209053,0,1052258839
1709153680388.9065,0,0,0,0,0,0,0,0,36470443625,9784460836,29533881,18319255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,2,0,0,0,0,0,1727771,80123982336,1374061,32926596096,337,583168,0,0,825.515625,680117.734375,497.546875,7011.015624999884,9694.75,4.2,4701.0,0.0,4701.0,1106184923,804249659,0,1052431879
1709153681388.9836,0,0,0,0,0,0,0,0,36472915231,9785489171,29536640,18321447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,2,0,0,0,0,0,1727771,80123982336,1374063,32926604288,337,583168,0,0,825.53125,680128.984375,497.5625,7011.296874999884,9695.21875,6.5,4701.0,0.0,4701.0,1106228898,804290876,0,1052613412
1709153682400.8547,0,0,0,0,0,0,0,0,36475258417,9786530551,29539357,18323639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,2,0,0,0,0,0,1727772,80123998720,1374102,32927116288,337,583168,0,0,825.5625,680140.671875,497.578125,7011.562499999884,9695.453125,4.5,4701.0,0.0,4701.0,1106271280,804330791,0,1052803727
1709153683396.269,0,0,0,0,0,0,0,0,36477132979,9787556494,29541967,18325998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,2,0,0,0,0,0,1727773,80124015104,1374141,32927661056,337,583168,0,0,825.578125,680151.90625,497.59375,7011.796874999884,9695.796875,5.1,4701.0,0.0,4701.0,1106317859,804375454,0,1052984304
1709153684388.3467,0,0,0,0,0,0,0,0,36479990127,9788603157,29545227,18328580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,2,0,0,0,0,0,1727773,80124015104,1374158,32927869952,337,583168,0,0,825.625,680163.390625,497.625,7012.124999999884,9695.984375,4.9,4701.0,0.0,4701.0,1106360684,804418049,0,1053149225
1709153685405.0027,0,0,0,0,0,0,0,0,36482208483,9789651723,29547921,18330856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,2,0,0,0,0,0,1727773,80124015104,1374158,32927869952,337,583168,0,0,825.6875,680174.859375,497.65625,7012.499999999884,9696.3125,6.5,4701.0,0.0,4701.0,1106406733,804462331,0,1053327601
1709153686397.092,0,0,0,0,0,0,0,0,36484904808,9790586248,29551012,18333230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,2,0,0,0,0,0,1727775,80124047872,1374186,32928353280,337,583168,0,0,825.703125,680186.453125,497.671875,7012.703124999884,9696.453125,3.1,4701.0,0.0,4701.0,1106445378,804501914,0,1053474570
1709153687392.3535,0,0,0,0,0,0,0,0,36487398593,9791713167,29553979,18335606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,2,0,0,0,0,0,1727776,80124064256,1374210,32928746496,337,583168,0,0,825.734375,680197.765625,497.703125,7013.093749999884,9696.640625,5.4,4701.0,0.0,4701.0,1106494036,804547177,0,1053669616
