CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,15,0/0/1/15,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,40.7C/0.0C,3.29ms,-0.16ms,0.34ms,13.87ms,2(DR0,0.34,0.11(W0.18),1.00,15.35/21.75,19.13,0,1.21,0,0,15:55:20.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,40.7C/0.0C,3.28ms,0.73ms,0.36ms,13.86ms,2(DR0,0.34,0.15(W0.22),1.00,15.23/21.38,19.11,0,1.21,0,0,15:55:21.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,40.7C/0.0C,3.28ms,0.75ms,0.31ms,13.86ms,2(DR0,0.33,0.21(W0.29),1.00,15.28/21.40,18.99,0,1.21,0,0,15:55:22.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/N/N,1353MHz,2731,0,40.7C/0.0C,3.28ms,1.23ms,0.33ms,13.86ms,2(DR0,0.33,0.13(W0.24),1.00,15.16/21.47,19.06,0,1.21,0,0,15:55:23.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,68,0ms,0,0,8,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,40.7C/0.0C,3.27ms,6.13ms,0.27ms,14.81ms,2(DR0,0.32,0.15(W0.22),1.00,15.50/21.41,19.18,0,1.21,0,0,15:55:24.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,51,0ms,0,0,36,0/0/1/36,1,0,0,FF,0/70/0,N/N/N,1353MHz,2731,0,40.7C/0.0C,3.28ms,-0.73ms,0.34ms,17.84ms,2(DR0,0.34,0.14(W0.18),1.00,15.52/21.47,19.22,0,1.21,0,0,15:55:25.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,64,0ms,0,0,9,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,40.7C/0.0C,3.29ms,0.27ms,0.31ms,15.24ms,2(DR0,0.34,0.19(W0.22),1.00,15.53/21.43,19.23,0,1.21,0,0,15:55:26.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,59,0ms,0,0,25,0/1/1/17,1,0,0,FF,0/70/0,N/F/N,1555MHz,2731,0,40.7C/0.0C,3.29ms,-0.07ms,0.32ms,16.19ms,2(DR0,0.33,0.15(W0.15),1.00,15.26/21.47,19.20,0,1.21,0,0,15:55:27.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,72,0ms,0,0,8,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,40.7C/0.0C,3.29ms,0.71ms,0.36ms,13.86ms,2(DR0,0.34,0.16(W0.26),1.00,15.66/21.54,19.30,0,1.21,0,0,15:55:28.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,69,0ms,0,0,8,0/1/0/7,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,40.7C/0.0C,3.29ms,1.73ms,0.32ms,14.53ms,2(DR0,0.33,0.12(W0.18),1.00,15.26/21.50,19.16,0,1.21,0,0,15:55:29.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,63,0ms,0,0,9,0/1/0/9,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,40.7C/0.0C,3.29ms,0.21ms,0.35ms,15.72ms,2(DR0,0.34,0.15(W0.26),1.00,15.50/21.39,19.21,0,1.21,0,0,15:55:30.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,40.7C/0.0C,3.30ms,0.75ms,0.33ms,13.86ms,2(DR0,0.34,0.11(W0.14),1.00,15.28/21.37,19.03,0,1.21,0,0,15:55:31.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
5,4,1478,525,73,0ms,0,0,5,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,40.7C/0.0C,3.28ms,0.77ms,0.33ms,13.71ms,2(DR0,0.34,0.09(W0.14),1.00,15.42/21.69,19.19,0,1.21,0,0,15:55:32.010,True,False,50,0,Quest-2,BeatSaber,PopStars-Medium,False,False,1.0
