timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709166995959.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42424792817,29653375154,34039072,29030949,0,0,0,0,2129935,85104892416,3292766,60815710208,1766.40625,1386614.125,1101.28125,9816.671875,7657.999999999999,8.3,4701.0,0.0,4701.0,3780100964,2106708815,0,2618877620
1709166996949.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42431742960,29654458227,34045138,29033338,0,0,0,0,2129952,85105203712,3292901,60817758208,1766.484375,1386625.265625,1101.328125,9817.0,7658.343749999999,6.7,4701.0,0.0,4701.0,3780198183,2106760741,0,2619335904
1709166997962.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42439063958,29655531948,34051544,29035839,0,0,0,0,2129958,85105318400,3292988,60819122176,1766.546875,1386636.953125,1101.328125,9817.140625,7658.703124999999,4.6,4701.0,0.0,4701.0,3780286082,2106808275,0,2619678094
1709166998953.5867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42447436402,29656580807,34058838,29038471,0,0,0,0,2129959,85105334784,3292991,60819159040,1766.625,1386648.46875,1101.34375,9817.3125,7658.828124999999,3.3,4701.0,0.0,4701.0,3780354104,2106845529,0,2619878938
1709166999959.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42456325563,29657649445,34066451,29041032,0,0,0,0,2129964,85105449472,3293055,60819900416,1766.65625,1386660.578125,1101.359375,9817.375,7658.843749999999,1.0,4701.0,0.0,4701.0,3780418601,2106881232,0,2620064613
1709167000961.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42462187006,29658720687,34072050,29043684,0,0,0,0,2129966,85105482240,3293095,60821362688,1766.671875,1386672.4375,1101.390625,9817.4375,7658.921874999999,1.6,4701.0,0.0,4701.0,3780480416,2106915562,0,2620237948
1709167001958.7856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42469944933,29659774396,34078906,29046361,0,0,0,0,2129972,85105596928,3293133,60821919744,1766.703125,1386683.453125,1101.390625,9817.546875,7659.765624999999,8.2,4701.0,0.0,4701.0,3780545802,2106951779,0,2620429112
1709167002947.6096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42478792994,29660831315,34086463,29049046,0,0,0,0,2129972,85105596928,3293134,60821923840,1766.71875,1386694.515625,1101.40625,9817.75,7660.343749999999,6.8,4701.0,0.0,4701.0,3780622898,2106993684,0,2620689262
1709167003951.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42485515391,29661954005,34092896,29051716,0,0,0,0,2129981,85105744384,3293203,60822902784,1766.765625,1386706.28125,1101.40625,9817.84375,7660.484374999999,2.3,4701.0,0.0,4701.0,3780701533,2107035875,0,2620920642
1709167004960.0552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42492900278,29663065943,34100066,29054541,0,0,0,0,2129983,85105777152,3293245,60823308288,1766.78125,1386718.296875,1101.453125,9817.96875,7660.531249999999,1.9,4701.0,0.0,4701.0,3780773842,2107074829,0,2621118270
1709167005951.3838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42500396468,29664130229,34107230,29057314,0,0,0,0,2129988,85105859072,3293301,60823898112,1766.8125,1386729.9375,1101.484375,9818.0625,7660.609374999999,2.0,4701.0,0.0,4701.0,3780845530,2107113361,0,2621326411
1709167006959.4778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42508521228,29665240729,34114872,29060159,0,0,0,0,2129988,85105859072,3293306,60824016896,1766.8125,1386741.96875,1101.484375,9818.109375,7660.718749999999,1.3,4701.0,0.0,4701.0,3780921124,2107153890,0,2621547921
1709167007955.3938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42517624711,29666330881,34122861,29062880,0,0,0,0,2129992,85105940992,3293351,60824590336,1766.828125,1386753.46875,1101.515625,9818.1875,7661.078124999999,4.0,4701.0,0.0,4701.0,3781003223,2107197627,0,2621752030
1709167008959.2307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42523651706,29667409713,34128945,29065498,0,0,0,0,2129994,85105973760,3293378,60824885248,1766.84375,1386765.4375,1101.546875,9818.28125,7661.078124999999,1.2,4701.0,0.0,4701.0,3781072516,2107235049,0,2621920875
1709167009950.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42531418398,29668482142,34136255,29068270,0,0,0,0,2129995,85105990144,3293404,60825204736,1766.890625,1386777.125,1101.546875,9818.375,7661.109374999999,1.4,4701.0,0.0,4701.0,3781146271,2107274674,0,2622128704
1709167010958.4138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42540072741,29669572325,34144106,29070968,0,0,0,0,2129995,85105990144,3293404,60825204736,1766.90625,1386789.140625,1101.5625,9818.4375,7661.203124999999,1.5,4701.0,0.0,4701.0,3781225328,2107316960,0,2622334205
1709167011956.2275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42549044042,29670652615,34152170,29073789,0,0,0,0,2129997,85106022912,3293434,60825651200,1766.921875,1386801.015625,1101.59375,9818.5,7661.281249999999,1.6,4701.0,0.0,4701.0,3781301392,2107357769,0,2622533271
1709167012957.8367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42558060198,29671751272,34160329,29076665,0,0,0,0,2129997,85106022912,3293455,60825901056,1766.9375,1386812.90625,1101.609375,9818.59375,7661.296874999999,1.2,4701.0,0.0,4701.0,3781378092,2107399018,0,2622749366
