timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1702734839568.7407,0,0,0,0,0,0,0,0,136145831822,20044604840,34514373,51916212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136532415,317068781,731093,790237,0,0,0,0,1437576,39234236928,976273,17646529536,181,326144,0,0,905.796875,536949.640625,606.5625,7399.625,14675.968749999998,13.9,4701.0,0.0,4701.0,1464961444,1187569101,0,207987234
1702734840557.6265,0,0,0,0,0,0,0,0,136145832140,20044608894,34514378,51916220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137002057,317664889,731762,791013,0,0,0,0,1437576,39234236928,976289,17646701568,181,326144,0,0,905.796875,536961.234375,606.578125,7399.703125,14676.124999999998,2.1,4701.0,0.0,4701.0,1464990815,1187588446,0,208056982
1702734841563.2869,0,0,0,0,0,0,0,0,136145836094,20044625587,34514427,51916276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138825976,318192949,733445,792253,0,0,0,0,1437576,39234236928,976292,17646713856,181,326144,0,0,905.8125,536972.765625,606.59375,7399.984375,14676.421874999998,5.0,4701.0,0.0,4701.0,1465029561,1187613531,0,208152803
1702734842569.628,0,0,0,0,0,0,0,0,136145842775,20044631812,34514470,51916296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141148406,318869949,735515,793710,0,0,0,0,1437578,39234384384,976300,17647049728,181,326144,0,0,905.84375,536984.609375,606.59375,7400.140625,14676.499999999998,2.2,4701.0,0.0,4701.0,1465067724,1187638725,0,208236828
1702734843559.7036,0,0,0,0,0,0,0,0,136145863907,20044649731,34514583,51916374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142306294,319572888,736720,794729,0,0,0,0,1437578,39234384384,976301,17647053824,181,326144,0,0,905.859375,536996.125,606.609375,7400.328125,14676.609374999998,2.8,4701.0,0.0,4701.0,1465102257,1187661332,0,208322249
1702734844569.5952,0,0,0,0,0,0,0,0,136145865342,20044656595,34514605,51916403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142821592,320219512,737637,795962,0,0,0,0,1437579,39234400768,976311,17647229952,181,326144,0,0,905.859375,537007.953125,606.625,7400.515625,14676.765624999998,2.9,4701.0,0.0,4701.0,1465136493,1187684187,0,208398632
1702734845560.2236,0,0,0,0,0,0,0,0,136145866705,20044663635,34514625,51916432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143867952,320826028,738873,797236,0,0,0,0,1437579,39234400768,976313,17647238144,181,326144,0,0,905.921875,537018.84375,606.640625,7400.96875,14677.249999999998,8.5,4701.0,0.0,4701.0,1465176827,1187710208,0,208579583
1702734846560.6086,0,0,0,0,0,0,0,0,136145878750,20044677149,34514716,51916502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147873084,321536360,742015,799004,0,0,0,0,1437579,39234400768,976356,17647541248,181,326144,0,0,905.96875,537030.359375,606.65625,7401.453125,14677.359374999998,5.4,4701.0,0.0,4701.0,1465221547,1187738875,0,208720093
1702734847564.9883,0,0,0,0,0,0,0,0,136145886598,20044699148,34514797,51916600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149847226,322180030,743917,800494,0,0,0,0,1437590,39234990592,976418,17648671744,181,326144,0,0,906.0,537042.03125,606.671875,7401.640625,14677.546874999998,3.5,4701.0,0.0,4701.0,1465265216,1187767120,0,208832906
1702734848558.3315,0,0,0,0,0,0,0,0,136145888304,20044707368,34514822,51916630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150396283,322819530,744834,801730,0,0,0,0,1437591,39235039744,976427,17649044480,181,326144,0,0,906.046875,537053.4375,606.6875,7401.84375,14677.781249999998,4.2,4701.0,0.0,4701.0,1465299942,1187790167,0,208930104
