CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
4,5,1478,587,19,0ms,0,36,55,18/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,7855,0,29.7C/0.0C,3.76ms,6.30ms,0.23ms,55.50ms,3(DR0,0.41,0.08(W0.14),1.00,18.55/24.27,22.21,1,1.21,0,0,16:11:36.045,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,replay1.2,Quest-Pro,PopStars-Medium
4,5,1478,587,19,0ms,0,36,55,18/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,7855,0,29.7C/0.0C,3.80ms,6.36ms,0.24ms,55.28ms,3(DR0,0.42,0.12(W0.22),1.00,18.55/24.27,22.21,1,1.21,0,0,16:11:37.045,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,replay1.2,Quest-Pro,PopStars-Medium
4,5,1478,587,18,0ms,0,37,54,18/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,7914,0,29.7C/0.0C,3.81ms,5.82ms,0.24ms,55.28ms,3(DR0,0.42,0.13(W0.14),1.00,19.01/23.53,22.18,1,1.21,0,0,16:11:38.052,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,replay1.2,Quest-Pro,PopStars-Medium
4,5,1478,587,18,0ms,0,36,54,18/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,7914,0,29.7C/0.0C,3.94ms,5.27ms,0.23ms,55.27ms,3(DR0,0.41,0.07(W0.14),1.00,18.68/22.98,21.82,1,1.21,0,0,16:11:39.045,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,replay1.2,Quest-Pro,PopStars-Medium
4,5,1478,587,19,0ms,0,36,54,18/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,7914,0,29.7C/0.0C,3.79ms,6.96ms,0.23ms,55.50ms,3(DR0,0.42,0.06(W0.14),1.00,18.54/22.29,21.48,1,1.21,0,0,16:11:40.045,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,replay1.2,Quest-Pro,PopStars-Medium
4,5,1478,587,14,0ms,0,36,54,18/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,7914,0,29.7C/0.0C,3.81ms,-13.94ms,0.23ms,59.32ms,3(DR0,0.46,0.15(W0.21),1.00,18.64/22.40,21.40,1,1.21,0,0,16:11:41.045,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,replay1.2,Quest-Pro,PopStars-Medium
4,5,1478,587,52,0ms,0,10,67,6/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,7914,0,29.7C/0.0C,3.83ms,-13.80ms,0.24ms,27.83ms,3(DR0,0.48,0.09(W0.18),1.00,19.09/24.62,23.67,1,1.21,0,0,16:11:42.045,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,replay1.2,Quest-Pro,PopStars-Medium
4,5,1478,587,58,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7914,0,29.7C/0.0C,3.77ms,2.74ms,0.23ms,16.20ms,3(DR0,0.43,0.07(W0.22),1.00,19.51/24.12,22.79,1,1.21,0,0,16:11:43.045,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,replay1.2,Quest-Pro,PopStars-Medium
4,5,1478,587,19,0ms,0,7,37,3/0/2/126,1,0,0,FF,0/70/0,N/F/N,2092MHz,7914,0,29.7C/0.0C,3.77ms,16.68ms,0.23ms,29.24ms,3(DR0,0.41,0.03(W0.10),1.00,19.46/24.38,22.58,1,1.21,0,0,16:11:44.045,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,replay1.2,Quest-Pro,PopStars-Medium
4,5,1478,587,18,0ms,0,36,54,18/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,7914,0,29.7C/0.0C,3.77ms,5.58ms,0.23ms,40.54ms,3(DR0,0.41,0.06(W0.19),1.00,18.78/23.50,22.05,1,1.21,0,0,16:11:45.045,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,replay1.2,Quest-Pro,PopStars-Medium
