timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1702654498444.103,0,0,0,0,0,0,0,0,4385001804,1331505588,1326705,2074366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237635,10419002368,48591,2246312960,28,86528,0,0,29.125,10734.375,15.734375,250.18749999999818,462.5,20.7,4701.0,0.0,4701.0,39564307,37522932,0,133317147
1702654499442.8757,0,0,0,0,0,0,0,0,4395904354,1332252950,1328523,2077461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237636,10419006464,48619,2247009280,28,86528,0,0,29.15625,10745.718749999998,15.765625,250.4375,462.90625,6.0,4701.0,0.0,4701.0,39605193,37569183,0,133452337
1702654500444.811,0,0,0,0,0,0,0,0,4406428411,1332994592,1330342,2080435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237638,10419063808,48646,2247762944,28,86528,0,0,29.234375,10756.906249999998,15.78125,250.734375,463.40625,7.4,4701.0,0.0,4701.0,39643277,37613955,0,133579201
1702654501439.7788,0,0,0,0,0,0,0,0,4417178720,1333739410,1332163,2083542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237640,10419096576,48681,2248631296,28,86528,0,0,29.28125,10768.499999999998,15.796875,250.953125,463.609375,4.0,4701.0,0.0,4701.0,39678539,37658148,0,133696708
1702654502442.9702,0,0,0,0,0,0,0,0,4428094582,1334492306,1334026,2086613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237640,10419096576,48686,2248958976,28,86528,0,0,29.328125,10779.812499999998,15.84375,251.28125,463.96875,6.5,4701.0,0.0,4701.0,39715122,37702893,0,133832938
1702654503444.562,0,0,0,0,0,0,0,0,4437273817,1335227255,1335821,2089469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237640,10419096576,48716,2249610240,28,86528,0,0,29.375,10791.249999999998,15.890625,251.53125,464.265625,5.3,4701.0,0.0,4701.0,39750191,37744791,0,133955407
1702654504446.3738,0,0,0,0,0,0,0,0,4443504630,1335958380,1337606,2092204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237641,10419112960,48893,2251043840,28,86528,0,0,29.4375,10802.609374999998,15.921875,251.796875,464.65625,6.2,4701.0,0.0,4701.0,39789811,37786448,0,134097044
1702654505434.4824,0,0,0,0,0,0,0,0,4450105031,1336670574,1339348,2094793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237642,10419129344,49194,2253095936,28,86528,0,0,29.484375,10813.828124999998,15.953125,252.0,465.046875,5.7,4701.0,0.0,4701.0,39826386,37825622,0,134221571
1702654506441.327,0,0,0,0,0,0,0,0,4457795352,1337398907,1341090,2097536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237642,10419129344,49202,2253571072,28,86528,0,0,29.546875,10825.546874999998,15.953125,252.234375,465.265625,4.2,4701.0,0.0,4701.0,39860822,37865300,0,134331819
1702654507444.6565,0,0,0,0,0,0,0,0,4466032083,1338153903,1342887,2100488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237642,10419129344,49245,2254234624,28,86528,0,0,29.546875,10837.093749999998,15.953125,252.4375,465.515625,3.8,4701.0,0.0,4701.0,39898780,37908760,0,134471492
