CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,70,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,7992,0,25.7C/0.0C,3.56ms,7.55ms,0.24ms,14.16ms,2(DR0,0.30,0.07(W0.17),1.00,19.39/22.98,21.81,1,1.21,0,0,-2208933652.992,False,True,999999,0.05,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.1
3,4,1382,525,70,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/N/N,1555MHz,7992,0,25.7C/0.0C,3.56ms,7.55ms,0.24ms,14.16ms,2(DR0,0.30,0.07(W0.17),1.00,19.39/22.98,21.81,1,1.21,0,0,-2208933651.992,False,True,999999,0.05,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.1
4,4,1478,525,9,0ms,0,0,72,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7992,0,25.7C/0.0C,3.58ms,-25.02ms,0.24ms,39.22ms,2(DR0,0.33,0.03(W0.05),1.00,18.88/22.63,21.47,1,1.21,0,0,-2208933650.992,False,True,999999,0.05,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.1
4,5,1478,587,66,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7992,0,25.7C/0.0C,3.30ms,2.01ms,0.22ms,11.79ms,2(DR0,0.34,0.05(W0.11),1.00,18.75/22.23,21.30,1,1.21,0,0,-2208933649.992,False,True,999999,0.05,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.1
4,5,1478,587,66,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/N/N,1555MHz,7992,0,25.7C/0.0C,3.30ms,2.01ms,0.22ms,11.79ms,2(DR0,0.34,0.05(W0.11),1.00,18.75/22.23,21.30,1,1.21,0,0,-2208933648.992,False,True,999999,0.05,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.1
4,5,1478,587,62,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7992,0,25.7C/0.0C,3.21ms,57.45ms,0.22ms,28.07ms,2(DR0,0.27,0.00(W0.00),1.00,19.27/22.80,21.71,1,1.21,0,0,-2208933647.992,False,True,999999,0.05,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.1
4,5,1478,587,23,0ms,0,0,72,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7992,0,25.7C/0.0C,3.28ms,-7.14ms,0.22ms,38.23ms,2(DR0,0.32,0.05(W0.15),1.00,19.00/22.38,21.40,1,1.21,0,0,-2208933646.992,False,True,999999,0.05,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.1
4,5,1478,587,66,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7992,0,25.7C/0.0C,3.23ms,0.53ms,0.22ms,14.01ms,2(DR0,0.28,0.03(W0.05),1.00,18.73/22.40,21.30,1,1.21,0,0,-2208933645.992,False,True,999999,0.05,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.1
4,5,1478,587,38,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/N/N,1555MHz,7992,0,25.7C/0.0C,3.22ms,23.42ms,0.21ms,23.43ms,2(DR0,0.29,0.00(W0.00),1.00,18.73/22.68,21.38,1,1.21,0,0,-2208933644.992,False,True,999999,0.05,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.1
4,5,1478,587,38,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7992,0,25.7C/0.0C,3.26ms,-2.16ms,0.22ms,23.43ms,2(DR0,0.28,0.03(W0.10),1.00,18.75/23.04,21.47,1,1.21,0,0,-2208933643.992,False,True,999999,0.05,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.1
