timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1702736627054.7822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268271078816,32408713802,44690584,55236329,0,0,0,0,1108780,44299614720,1506719,33532064768,1226.3125,1009492.1875,565.140625,6998.531249999884,5167.125,2.8,4701.0,0.0,4701.0,3199310254,1836709105,0,2370958688
1702736628053.8547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268273062077,32409475913,44692200,55237320,0,0,0,0,1108785,44300089856,1506816,33533821952,1226.390625,1009504.046875,565.15625,6998.640624999884,5167.15625,1.9,4701.0,0.0,4701.0,3199351258,1836733750,0,2371069178
1702736629042.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268274540331,32410192276,44693454,55238125,0,0,0,0,1108785,44300089856,1506817,33533826048,1226.421875,1009515.671875,565.203125,6998.796874999884,5167.1875,2.2,4701.0,0.0,4701.0,3199384824,1836754258,0,2371206959
1702736630055.4883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268275553457,32410501693,44694229,55238612,0,0,0,0,1108787,44300139008,1506829,33534039040,1226.4375,1009527.796875,565.203125,6998.812499999884,5167.234375,0.6,4701.0,0.0,4701.0,3199416133,1836773691,0,2371278505
1702736631040.2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268276789330,32411195757,44695330,55239365,0,0,0,0,1108790,44300204544,1506853,33534411776,1226.4375,1009539.515625,565.234375,6998.843749999884,5167.296875,1.1,4701.0,0.0,4701.0,3199452486,1836795623,0,2371431444
1702736632053.7603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268278192780,32412145376,44696607,55240372,0,0,0,0,1108795,44300425728,1506876,33534989312,1226.453125,1009551.671875,565.234375,6998.874999999884,5167.296875,0.4,4701.0,0.0,4701.0,3199488531,1836817705,0,2371527792
1702736633041.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268279489413,32412928165,44697742,55241201,0,0,0,0,1108795,44300425728,1506879,33535144960,1226.5,1009563.390625,565.234375,6998.953124999884,5167.3125,1.2,4701.0,0.0,4701.0,3199522267,1836838540,0,2371671874
1702736634054.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268280893573,32413573276,44698906,55241977,0,0,0,0,1108796,44300442112,1506893,33535333376,1226.53125,1009575.46875,565.265625,6999.031249999884,5167.34375,1.4,4701.0,0.0,4701.0,3199556332,1836859383,0,2371753761
1702736635053.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268281727342,32414299830,44699742,55242677,0,0,0,0,1108797,44300491264,1506903,33535570944,1226.546875,1009587.40625,565.265625,6999.093749999884,5167.34375,0.7,4701.0,0.0,4701.0,3199590407,1836880036,0,2371892768
1702736636053.0596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268282795467,32415221807,44700785,55243537,0,0,0,0,1108798,44300507648,1506919,33535816704,1226.59375,1009599.296875,565.28125,6999.187499999884,5167.359375,1.4,4701.0,0.0,4701.0,3199623706,1836900415,0,2371972754
