timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1707360947571.7302,0,0,0,0,0,0,0,0,108893313104,42487576609,85633829,43947860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405822,334530962432,5049696,227412451328,575,932352,0,0,2526.890625,2283822.109375,2025.90625,30192.09375,51187.84375,13.0,4701.0,0.0,4701.0,116625170,3124452764,0,1248825124
1707360948556.5981,0,0,0,0,0,0,0,0,108903953801,42488294180,85635605,43950861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405822,334530962432,5049729,227413213184,575,932352,0,0,2526.9375,2283833.203125,2025.90625,30192.40625,51188.21875,6.2,4701.0,0.0,4701.0,116657794,3124494664,0,1248944898
1707360949557.4883,0,0,0,0,0,0,0,0,108914598100,42489018997,85637402,43953886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405822,334530962432,5049729,227413213184,575,932352,0,0,2526.984375,2283844.484375,2025.90625,30192.859375,51188.5,6.5,4701.0,0.0,4701.0,116693151,3124539012,0,1249072116
1707360950556.3184,0,0,0,0,0,0,0,0,108925432554,42489745583,85639214,43956934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405822,334530962432,5049751,227413516288,575,932352,0,0,2527.0,2283855.890625,2025.953125,30193.21875,51188.734375,5.4,4701.0,0.0,4701.0,116725827,3124581957,0,1249190160
1707360951556.4604,0,0,0,0,0,0,0,0,108936042918,42490454207,85640988,43959919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405822,334530962432,5049784,227413860352,575,932352,0,0,2527.03125,2283867.3125,2025.953125,30193.5,51189.03125,5.1,4701.0,0.0,4701.0,116762107,3124626890,0,1249317062
1707360952556.5728,0,0,0,0,0,0,0,0,108946811647,42491164221,85642774,43962896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405822,334530962432,5049784,227413860352,575,932352,0,0,2527.0625,2283878.90625,2025.984375,30193.765625,51189.21875,4.3,4701.0,0.0,4701.0,116793699,3124669053,0,1249432170
1707360953559.827,0,0,0,0,0,0,0,0,108957556419,42491878509,85644559,43965888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405822,334530962432,5049817,227414372352,575,932352,0,0,2527.0625,2283890.671875,2026.015625,30193.859375,51189.359375,2.2,4701.0,0.0,4701.0,116829919,3124713900,0,1249559013
1707360954551.6606,0,0,0,0,0,0,0,0,108968039435,42492578732,85646310,43968837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405822,334530962432,5049843,227414650880,575,932352,0,0,2527.09375,2283901.921875,2026.0625,30194.140625,51189.625,5.3,4701.0,0.0,4701.0,116861515,3124755943,0,1249667153
1707360955557.9172,0,0,0,0,0,0,0,0,108978947578,42493303117,85648115,43971912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405823,334530978816,5049862,227414904832,575,932352,0,0,2527.125,2283913.5625,2026.0625,30194.359375,51189.9375,4.6,4701.0,0.0,4701.0,116897594,3124800906,0,1249799021
1707360956552.6484,0,0,0,0,0,0,0,0,108989720390,42494013073,85649894,43974888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405823,334530978816,5049863,227414908928,575,932352,0,0,2527.15625,2283924.890625,2026.109375,30194.625,51190.171875,4.9,4701.0,0.0,4701.0,116929742,3124843370,0,1249912212
