timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1707360172118.908,0,0,0,0,0,0,0,0,101045736685,41881411740,83967400,41418560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405671,334518040064,5038962,227224984576,575,932352,0,0,2494.71875,2275022.484375,2005.734375,29993.374999999534,50880.73437499999,6.1,4701.0,0.0,4701.0,77606876,3085165607,0,1134284481
1707360173116.3665,0,0,0,0,0,0,0,0,101057147828,41882168760,83969247,41421702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405672,334518044160,5038980,227225472000,575,932352,0,0,2494.828125,2275033.8125,2005.75,29993.656249999534,50880.98437499999,5.5,4701.0,0.0,4701.0,77648902,3085213802,0,1134427647
1707360174120.925,0,0,0,0,0,0,0,0,101068562458,41882919396,83971101,41424756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405672,334518044160,5038991,227225558016,575,932352,0,0,2494.828125,2275045.59375,2005.78125,29993.765624999534,50881.26562499999,3.5,4701.0,0.0,4701.0,77686960,3085259568,0,1134559371
1707360175130.4133,0,0,0,0,0,0,0,0,101080012008,41883677293,83972961,41427879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405672,334518044160,5039001,227225725952,575,932352,0,0,2494.890625,2275056.84375,2005.828125,29994.203124999534,50881.57812499999,7.1,4701.0,0.0,4701.0,77726071,3085306105,0,1134696801
1707360176116.776,0,0,0,0,0,0,0,0,101091205559,41884419070,83974775,41430936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405673,334518060544,5039025,227226147840,575,932352,0,0,2494.9375,2275068.171875,2005.84375,29994.359374999534,50881.92187499999,4.7,4701.0,0.0,4701.0,77762539,3085351146,0,1134834407
1707360177116.9915,0,0,0,0,0,0,0,0,101102647393,41885171533,83976608,41434033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405673,334518060544,5039032,227226397696,575,932352,0,0,2495.03125,2275079.4375,2005.84375,29994.671874999534,50882.34374999999,6.8,4701.0,0.0,4701.0,77801764,3085397888,0,1134979759
1707360178121.7065,0,0,0,0,0,0,0,0,101114131810,41885931406,83978470,41437217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405674,334518064640,5039032,227226397696,575,932352,0,0,2495.078125,2275090.90625,2005.859375,29994.921874999534,50882.76562499999,6.0,4701.0,0.0,4701.0,77839221,3085443630,0,1135127031
1707360179128.174,0,0,0,0,0,0,0,0,101125474538,41886685593,83980308,41440341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405674,334518064640,5039039,227226717184,575,932352,0,0,2495.109375,2275102.484375,2005.90625,29995.171874999534,50882.98437499999,4.5,4701.0,0.0,4701.0,77878229,3085490318,0,1135259366
1707360180128.0942,0,0,0,0,0,0,0,0,101135986090,41887430682,83982143,41443377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405674,334518064640,5039052,227227057152,575,932352,0,0,2495.125,2275114.0,2005.921875,29995.375,50883.24999999999,4.2,4701.0,0.0,4701.0,77914484,3085534362,0,1135387699
1707360181120.8184,0,0,0,0,0,0,0,0,101147054363,41888184886,83983998,41446510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537192,8097469,22300,37196,0,0,0,0,9405674,334518064640,5039063,227227286528,575,932352,0,0,2495.15625,2275125.390625,2005.96875,29995.625,50883.56249999999,5.3,4701.0,0.0,4701.0,77954593,3085580338,0,1135532423
