log start time: 08-02-2024_03-56-03
0 k /user/hand/left/output/haptic 1
0 k /user/hand/right/output/haptic 1
13843612 k /user/hand/left/output/haptic 1
13843612 k /user/hand/right/output/haptic 1
83271102 k /user/hand/left/output/haptic 1
83271102 k /user/hand/right/output/haptic 1
138801123 k /user/hand/left/output/haptic 1
138801123 k /user/hand/right/output/haptic 1
208240677 k /user/hand/left/output/haptic 1
208240677 k /user/hand/right/output/haptic 1
249894978 k /user/hand/left/output/haptic 1
249894978 k /user/hand/right/output/haptic 1
263777580 k /user/hand/left/output/haptic 1
263777580 k /user/hand/right/output/haptic 1
291548381 k /user/hand/left/output/haptic 1
291548381 k /user/hand/right/output/haptic 1
305434684 k /user/hand/left/output/haptic 1
305434684 k /user/hand/right/output/haptic 1
319311492 k /user/hand/left/output/haptic 1
319311492 k /user/hand/right/output/haptic 1
333201293 k /user/hand/left/output/haptic 1
333201293 k /user/hand/right/output/haptic 1
347088392 k /user/hand/left/output/haptic 1
347088392 k /user/hand/right/output/haptic 1
347088393 k /user/hand/left/output/haptic 1
347088393 k /user/hand/right/output/haptic 1
360958213 k /user/hand/left/output/haptic 1
360958213 k /user/hand/right/output/haptic 1
374841612 k /user/hand/left/output/haptic 1
374841612 k /user/hand/right/output/haptic 1
388728112 k /user/hand/left/output/haptic 1
388728112 k /user/hand/right/output/haptic 1
402611113 k /user/hand/left/output/haptic 1
402611113 k /user/hand/right/output/haptic 1
416500001 k /user/hand/left/output/haptic 1
416500001 k /user/hand/right/output/haptic 1
430382712 k /user/hand/left/output/haptic 1
430382712 k /user/hand/right/output/haptic 1
444265012 k /user/hand/left/output/haptic 1
444265012 k /user/hand/right/output/haptic 1
458149613 k /user/hand/left/output/haptic 1
458149613 k /user/hand/right/output/haptic 1
472038503 k /user/hand/left/output/haptic 1
472038503 k /user/hand/right/output/haptic 1
485919013 k /user/hand/left/output/haptic 1
485919013 k /user/hand/right/output/haptic 1
499802712 k /user/hand/left/output/haptic 1
499802712 k /user/hand/right/output/haptic 1
513691701 k /user/hand/left/output/haptic 1
513691701 k /user/hand/right/output/haptic 1
527577413 k /user/hand/left/output/haptic 1
527577413 k /user/hand/right/output/haptic 1
541466200 k /user/hand/left/output/haptic 1
541466200 k /user/hand/right/output/haptic 1
555342012 k /user/hand/left/output/haptic 1
555342012 k /user/hand/right/output/haptic 1
569229612 k /user/hand/left/output/haptic 1
569229612 k /user/hand/right/output/haptic 1
583118403 k /user/hand/left/output/haptic 1
583118403 k /user/hand/right/output/haptic 1
597001700 k /user/hand/left/output/haptic 1
597001700 k /user/hand/right/output/haptic 1
610884200 k /user/hand/left/output/haptic 1
610884200 k /user/hand/right/output/haptic 1
624772801 k /user/hand/left/output/haptic 1
624772801 k /user/hand/right/output/haptic 1
638648012 k /user/hand/left/output/haptic 1
638648012 k /user/hand/right/output/haptic 1
652536902 k /user/hand/left/output/haptic 1
652536902 k /user/hand/right/output/haptic 1
666427003 k /user/hand/left/output/haptic 1
666427003 k /user/hand/right/output/haptic 1
680304514 k /user/hand/left/output/haptic 1
680304514 k /user/hand/right/output/haptic 1
694193400 k /user/hand/left/output/haptic 1
694193400 k /user/hand/right/output/haptic 1
708073213 k /user/hand/left/output/haptic 1
708073213 k /user/hand/right/output/haptic 1
721962103 k /user/hand/left/output/haptic 1
721962103 k /user/hand/right/output/haptic 1
735845202 k /user/hand/left/output/haptic 1
735845202 k /user/hand/right/output/haptic 1
749735500 k /user/hand/left/output/haptic 1
749735500 k /user/hand/right/output/haptic 1
763618201 k /user/hand/left/output/haptic 1
763618201 k /user/hand/right/output/haptic 1
