CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2610,0,32.5C/0.0C,1.90ms,0.80ms,0.00ms,13.86ms,1(DR73,0.22,0.13(W0.19),1.00,15.00/20.60,18.50,0,1.21,0,0,-2208940465.965,True,True,999999,0,BeatSaber,PopStars-Medium,no_boundary0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2610,0,32.5C/0.0C,1.88ms,0.89ms,0.00ms,13.87ms,1(DR73,0.22,0.10(W0.11),1.00,15.08/20.65,18.62,0,1.21,0,0,-2208940464.965,True,True,999999,0,BeatSaber,PopStars-Medium,no_boundary0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2610,0,32.5C/0.0C,1.87ms,0.90ms,0.00ms,13.86ms,1(DR73,0.21,0.14(W0.23),1.00,15.14/20.83,18.65,0,1.21,0,0,-2208940463.965,True,True,999999,0,BeatSaber,PopStars-Medium,no_boundary0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2610,0,32.5C/0.0C,1.87ms,0.86ms,0.00ms,13.86ms,1(DR73,0.21,0.12(W0.19),1.00,14.97/20.74,18.65,0,1.21,0,0,-2208940462.965,True,True,999999,0,BeatSaber,PopStars-Medium,no_boundary0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2610,0,32.5C/0.0C,1.86ms,0.92ms,0.00ms,13.89ms,1(DR73,0.21,0.10(W0.11),1.00,15.01/20.82,18.59,0,1.21,0,0,-2208940461.965,True,True,999999,0,BeatSaber,PopStars-Medium,no_boundary0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2610,0,32.5C/0.0C,1.88ms,0.91ms,0.00ms,13.86ms,1(DR73,0.21,0.02(W0.06),1.00,15.09/20.60,18.58,0,1.21,0,0,-2208940460.965,True,True,999999,0,BeatSaber,PopStars-Medium,no_boundary0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2610,0,32.5C/0.0C,1.88ms,0.85ms,0.00ms,13.89ms,1(DR73,0.22,0.25(W0.27),1.00,15.02/20.92,18.62,0,1.21,0,0,-2208940459.965,True,True,999999,0,BeatSaber,PopStars-Medium,no_boundary0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2610,0,32.5C/0.0C,1.90ms,0.86ms,0.00ms,13.89ms,1(DR73,0.22,0.04(W0.05),1.00,15.06/20.95,18.74,0,1.21,0,0,-2208940458.965,True,True,999999,0,BeatSaber,PopStars-Medium,no_boundary0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2610,0,32.5C/0.0C,1.88ms,0.94ms,0.00ms,13.87ms,1(DR73,0.22,0.13(W0.15),1.00,15.16/20.58,18.62,0,1.21,0,0,-2208940457.965,True,True,999999,0,BeatSaber,PopStars-Medium,no_boundary0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2610,0,32.7C/0.0C,1.89ms,0.91ms,0.00ms,13.86ms,1(DR73,0.22,0.08(W0.14),1.00,15.14/20.83,18.59,0,1.21,0,0,-2208940456.965,True,True,999999,0,BeatSaber,PopStars-Medium,no_boundary0.0,False,False,ogcat_VrApi.log
