timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709469617316.0566,0,0,0,0,0,0,0,0,91604425221,32877939298,28560187,46254416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3030287,5736885,14565,26356,0,0,0,0,1932069,89850969600,2415398,78203869184,1770.84375,1412785.4999999998,1276.3125,15021.625000000233,29233.796874999996,20.0,4701.0,0.0,4701.0,2731626613,1927924306,0,3327061296
1709469618318.4543,0,0,0,0,0,0,0,0,91615209613,32878687875,28562010,46257670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3032418,5738196,14575,26362,0,0,0,0,1932070,89850985984,2415416,78204344320,1770.90625,1412796.5624999998,1276.328125,15022.000000000233,29234.359374999996,8.4,4701.0,0.0,4701.0,2731664818,1927967316,0,3327244807
1709469619319.35,0,0,0,0,0,0,0,0,91625965891,32879430854,28563852,46260872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3032418,5742593,14575,26383,0,0,0,0,1932070,89850985984,2415420,78204360704,1770.9375,1412807.9999999998,1276.34375,15022.218750000233,29234.703124999996,5.1,4701.0,0.0,4701.0,2731701271,1928009572,0,3327422611
1709469620310.6958,0,0,0,0,0,0,0,0,91636639118,32880162296,28565631,46264005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3032418,5742593,14575,26383,0,0,0,0,1932070,89850985984,2415446,78204950528,1770.953125,1412819.6718749998,1276.359375,15022.359375000233,29234.859374999996,2.7,4701.0,0.0,4701.0,2731738577,1928052229,0,3327625827
1709469621310.625,0,0,0,0,0,0,0,0,91647425126,32880905002,28567402,46267212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3032418,5752615,14575,26403,0,0,0,0,1932070,89850985984,2415446,78204950528,1771.0,1412831.2812499998,1276.390625,15022.625000000233,29235.015624999996,4.1,4701.0,0.0,4701.0,2731771138,1928092728,0,3327819394
1709469622321.468,0,0,0,0,0,0,0,0,91658249996,32881652746,28569261,46270484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034549,5755964,14585,26419,0,0,0,0,1932070,89850985984,2415449,78205155328,1771.03125,1412842.7656249998,1276.421875,15022.875000000233,29235.281249999996,4.8,4701.0,0.0,4701.0,2731811452,1928136644,0,3328022839
1709469623308.9512,0,0,0,0,0,0,0,0,91668914855,32882384190,28571068,46273683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034549,5755964,14585,26419,0,0,0,0,1932071,89851018752,2415471,78205622272,1771.09375,1412854.2499999998,1276.4375,15023.062500000233,29235.421874999996,3.4,4701.0,0.0,4701.0,2731847580,1928178248,0,3328202025
1709469624312.5806,0,0,0,0,0,0,0,0,91679491110,32883119631,28572849,46276844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034549,5756131,14585,26420,0,0,0,0,1932071,89851018752,2415492,78205843456,1771.09375,1412865.9218749998,1276.46875,15023.250000000233,29235.734374999996,4.4,4701.0,0.0,4701.0,2731884336,1928220674,0,3328380980
1709469625311.297,0,0,0,0,0,0,0,0,91690286829,32883858107,28574682,46280055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034549,5760573,14585,26440,0,0,0,0,1932071,89851018752,2415492,78205843456,1771.125,1412877.3749999998,1276.46875,15023.562500000233,29235.953124999996,4.7,4701.0,0.0,4701.0,2731921207,1928262654,0,3328623143
1709469626317.2607,0,0,0,0,0,0,0,0,91700965933,32884588584,28576480,46283174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034549,5760573,14585,26440,0,0,0,0,1932071,89851018752,2415500,78206154752,1771.15625,1412888.8749999998,1276.5,15023.796875000233,29236.249999999996,4.9,4701.0,0.0,4701.0,2731958624,1928305370,0,3328820374
1709469627313.9612,0,0,0,0,0,0,0,0,91711672057,32885322847,28578276,46286389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034549,5760573,14585,26440,0,0,0,0,1932071,89851018752,2415504,78206339072,1771.203125,1412900.3124999998,1276.515625,15024.062500000233,29236.546874999996,5.2,4701.0,0.0,4701.0,2731992983,1928346127,0,3328998074
1709469628324.731,0,0,0,0,0,0,0,0,91722386409,32886064768,28580099,46289673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034549,5762793,14585,26450,0,0,0,0,1932071,89851018752,2415510,78206507008,1771.28125,1412911.7968749998,1276.5625,15024.375000000233,29236.874999999996,6.2,4701.0,0.0,4701.0,2732031325,1928389230,0,3329181430
1709469629323.8242,0,0,0,0,0,0,0,0,91733182187,32886815848,28581925,46292908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034549,5762793,14585,26450,0,0,0,0,1932071,89851018752,2415522,78206838784,1771.28125,1412923.1874999998,1276.578125,15024.562500000233,29237.171874999996,4.2,4701.0,0.0,4701.0,2732066319,1928430459,0,3329379201
1709469630316.2944,0,0,0,0,0,0,0,0,91743841929,32887632971,28583753,46296146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3036680,5764104,14595,26456,0,0,0,0,1932072,89851051520,2415530,78207109120,1771.296875,1412934.4374999998,1276.578125,15024.875000000233,29237.609374999996,6.4,4701.0,0.0,4701.0,2732106478,1928474850,0,3329619355
1709469631323.773,0,0,0,0,0,0,0,0,91754614010,32888384305,28585589,46299426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3038811,5767706,14605,26473,0,0,0,0,1932073,89851067904,2415540,78207285248,1771.3125,1412946.2499999998,1276.578125,15024.937500000233,29237.734374999996,1.7,4701.0,0.0,4701.0,2732141079,1928516211,0,3329780095
1709469632323.3674,0,0,0,0,0,0,0,0,91765410197,32889116936,28587387,46302611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3038811,5769844,14605,26483,0,0,0,0,1932073,89851067904,2415544,78207465472,1771.34375,1412957.4687499998,1276.625,15025.265625000233,29238.187499999996,7.1,4701.0,0.0,4701.0,2732189504,1928563256,0,3330031525
1709469633311.7742,0,0,0,0,0,0,0,0,91776124826,32889916629,28589270,46305855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040942,5771155,14615,26489,0,0,0,0,1932077,89851149824,2415586,78208219136,1771.375,1412967.2656249998,1276.703125,15026.062500000233,29239.562499999996,18.9,4701.0,0.0,4701.0,2732260364,1928641523,0,3330467778
1709469634315.823,0,0,0,0,0,0,0,0,91786635763,32890651440,28591077,46309040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040942,5771155,14615,26489,0,0,0,0,1932077,89851149824,2415590,78208530432,1771.40625,1412978.5781249998,1276.71875,15026.328125000233,29239.999999999996,6.2,4701.0,0.0,4701.0,2732298771,1928685827,0,3330656475
1709469635323.1558,0,0,0,0,0,0,0,0,91797311235,32891392407,28592914,46312203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040942,5773341,14615,26499,0,0,0,0,1932077,89851149824,2415638,78208940032,1771.453125,1412990.1249999998,1276.765625,15026.593750000233,29240.203124999996,4.6,4701.0,0.0,4701.0,2732342857,1928733684,0,3330853282
1709469636323.4077,0,0,0,0,0,0,0,0,91807997148,32892131705,28594716,46315332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040942,5773341,14615,26499,0,0,0,0,1932077,89851149824,2415641,78208972800,1771.515625,1413001.7656249998,1276.765625,15026.781250000233,29240.374999999996,3.5,4701.0,0.0,4701.0,2732378315,1928775723,0,3331019111
1709469637310.1611,0,0,0,0,0,0,0,0,91818639423,32892855308,28596496,46318456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3043073,5774652,14625,26505,0,0,0,0,1932078,89851166208,2415652,78209288192,1771.53125,1413013.2968749998,1276.78125,15026.968750000233,29240.624999999996,3.9,4701.0,0.0,4701.0,2732415618,1928817561,0,3331191770
1709469638310.7678,0,0,0,0,0,0,0,0,91829393780,32893585947,28598320,46321589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3043073,5778900,14625,26525,0,0,0,0,1932078,89851166208,2415657,78209320960,1771.609375,1413024.6093749998,1276.84375,15027.328125000233,29240.953124999996,6.8,4701.0,0.0,4701.0,2732451753,1928859626,0,3331390554
1709469639321.5066,0,0,0,0,0,0,0,0,91840114766,32894330881,28600142,46324821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3043073,5778900,14625,26525,0,0,0,0,1932078,89851166208,2415669,78209955840,1771.609375,1413035.9999999998,1276.84375,15027.546875000233,29241.374999999996,5.3,4701.0,0.0,4701.0,2732491482,1928903866,0,3331599361
1709469640307.4854,0,0,0,0,0,0,0,0,91850680912,32895062555,28601908,46327991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3043073,5778900,14625,26525,0,0,0,0,1932078,89851166208,2415670,78209959936,1771.65625,1413047.359375,1276.859375,15027.765625,29241.609374999996,4.3,4701.0,0.0,4701.0,2732527298,1928945357,0,3331776903
1709469641308.393,0,0,0,0,0,0,0,0,91861482170,32895809387,28603753,46331215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3043073,5781060,14625,26535,0,0,0,0,1932078,89851166208,2415700,78210574336,1771.71875,1413058.6875,1276.890625,15028.03125,29242.031249999996,6.5,4701.0,0.0,4701.0,2732566889,1928989487,0,3332014580
1709469642320.7314,0,0,0,0,0,0,0,0,91872138676,32896555121,28605576,46334452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3043073,5781060,14625,26535,0,0,0,0,1932078,89851166208,2415706,78210824192,1771.71875,1413070.4375,1276.921875,15028.1875,29242.296874999996,3.6,4701.0,0.0,4701.0,2732604668,1929031684,0,3332233303
