timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709468300057.2458,0,0,0,0,0,0,0,0,77413208803,31800529883,25411165,41533608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813221,3422551,8780,15775,0,0,0,0,1922286,89356416000,2387585,77796725760,1723.171875,1398044.15625,1240.6875,14633.203124999767,28556.374999999996,8.3,4701.0,0.0,4701.0,2649645341,1858175121,0,3093493391
1709468301037.9346,0,0,0,0,0,0,0,0,77422375856,31801260271,25412911,41536637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813221,3423478,8780,15777,0,0,0,0,1922291,89356485632,2387625,77797524480,1723.21875,1398055.609375,1240.6875,14633.343749999767,28556.593749999996,3.4,4701.0,0.0,4701.0,2649677968,1858214015,0,3093606280
1709468302025.8135,0,0,0,0,0,0,0,0,77431603014,31802023145,25414700,41539732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815155,3433921,8791,15802,0,0,0,0,1922291,89356485632,2387637,77797762048,1723.234375,1398066.9375,1240.6875,14633.499999999767,28556.921874999996,4.2,4701.0,0.0,4701.0,2649715013,1858256039,0,3093738872
1709468303044.7007,0,0,0,0,0,0,0,0,77442166028,31802781155,25416553,41542866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815155,3436003,8791,15812,0,0,0,0,1922291,89356485632,2387650,77797901312,1723.265625,1398078.890625,1240.703125,14633.718749999767,28557.062499999996,3.3,4701.0,0.0,4701.0,2649747693,1858296140,0,3093853133
1709468304043.37,0,0,0,0,0,0,0,0,77452403852,31803536458,25418408,41546034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817336,3440373,8801,15833,0,0,0,0,1922293,89356534784,2387689,77798290432,1723.3125,1398090.34375,1240.71875,14633.968749999767,28557.328124999996,4.8,4701.0,0.0,4701.0,2649784011,1858338552,0,3093981865
1709468305038.483,0,0,0,0,0,0,0,0,77462012073,31804280206,25420209,41549100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817336,3440373,8801,15833,0,0,0,0,1922293,89356534784,2387703,77798769664,1723.328125,1398102.03125,1240.734375,14634.093749999767,28557.421874999996,2.1,4701.0,0.0,4701.0,2649816007,1858377755,0,3094095177
1709468306043.862,0,0,0,0,0,0,0,0,77471248328,31805032832,25421995,41552198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817336,3440373,8801,15833,0,0,0,0,1922294,89356551168,2387704,77798773760,1723.34375,1398113.796875,1240.75,14634.281249999767,28557.609374999996,3.3,4701.0,0.0,4701.0,2649851968,1858419112,0,3094224220
1709468307043.215,0,0,0,0,0,0,0,0,77481189178,31805782531,25423824,41555309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818353,3443598,8806,15848,0,0,0,0,1922296,89356579840,2387760,77799482368,1723.375,1398125.265625,1240.765625,14634.421874999767,28557.859374999996,3.7,4701.0,0.0,4701.0,2649883980,1858459042,0,3094339552
1709468308028.5408,0,0,0,0,0,0,0,0,77491851332,31806525913,25425627,41558438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818353,3443598,8806,15848,0,0,0,0,1922297,89356596224,2387790,77799945216,1723.375,1398136.921875,1240.796875,14634.593749999767,28558.031249999996,3.1,4701.0,0.0,4701.0,2649917920,1858500143,0,3094460544
1709468309043.0515,0,0,0,0,0,0,0,0,77503030203,31807292038,25427477,41561692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818353,3443598,8806,15848,0,0,0,0,1922299,89356628992,2387824,77800186880,1723.40625,1398148.6875,1240.8125,14634.781249999767,28558.187499999996,3.2,4701.0,0.0,4701.0,2649950013,1858540652,0,3094578772
