CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,3,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,41.0C/0.0C,1.93ms,3.45ms,0.00ms,13.86ms,1(DR73,0.22,0.11(W0.18),1.00,15.19/21.34,18.80,0,1.21,0,0,-2208938585.992,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.0,False,False,ogcat_VrApi.log
5,4,1478,525,60,0ms,0,0,16,0/0/1/16,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,41.0C/0.0C,1.85ms,1.12ms,0.00ms,15.68ms,1(DR73,0.19,0.15(W0.18),1.00,14.94/21.16,18.95,0,1.21,0,0,-2208938584.992,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.0,False,False,ogcat_VrApi.log
5,4,1478,525,61,0ms,0,0,23,0/1/1/15,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,41.0C/0.0C,1.82ms,0.50ms,0.00ms,16.58ms,1(DR73,0.21,0.13(W0.18),1.00,15.77/20.99,18.96,0,1.21,0,0,-2208938583.992,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.0,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,41.0C/0.0C,1.86ms,2.25ms,0.00ms,13.86ms,1(DR72,0.22,0.15(W0.19),1.00,15.15/20.76,18.80,0,1.21,0,0,-2208938582.991,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.0,False,False,ogcat_VrApi.log
5,4,1478,525,58,0ms,0,0,24,0/3/0/8,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,41.0C/0.0C,1.87ms,0.47ms,0.00ms,16.46ms,1(DR73,0.22,0.10(W0.10),1.00,14.87/21.11,18.66,0,1.21,0,0,-2208938581.991,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.0,False,False,ogcat_VrApi.log
5,4,1478,525,67,0ms,0,0,10,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,41.0C/0.0C,1.85ms,0.78ms,0.00ms,14.93ms,1(DR73,0.22,0.08(W0.18),1.00,14.87/20.88,18.60,0,1.21,0,0,-2208938580.991,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.0,False,False,ogcat_VrApi.log
5,4,1862,525,68,0ms,0,0,8,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,2731,0,41.0C/0.0C,1.83ms,0.68ms,0.00ms,14.74ms,1(DR73,0.21,0.52(W0.67),1.00,14.91/20.76,18.54,0,1.21,0,0,-2208938579.991,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.0,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,41.0C/0.0C,1.86ms,1.54ms,0.00ms,13.21ms,1(DR73,0.21,0.22(W0.33),1.00,14.97/20.95,18.71,0,1.21,0,0,-2208938578.991,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.0,False,False,ogcat_VrApi.log
5,4,1478,525,65,0ms,0,0,18,0/1/1/10,1,0,0,FF,0/70/0,N/F/N,1555MHz,2731,0,41.0C/0.0C,1.83ms,1.20ms,0.00ms,15.11ms,1(DR73,0.20,0.24(W0.25),1.00,15.05/21.16,18.73,0,1.21,0,0,-2208938577.991,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.0,False,False,ogcat_VrApi.log
5,4,1478,525,66,0ms,0,0,6,0/1/0/6,1,0,0,FF,0/70/0,N/F/N,1353MHz,2731,0,41.0C/0.0C,1.83ms,1.69ms,0.00ms,15.14ms,1(DR73,0.21,0.25(W0.29),1.00,15.08/20.91,18.56,0,1.21,0,0,-2208938576.991,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.0,False,False,ogcat_VrApi.log
