Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-1538573,3816,5.871194568000001
1.004,-1589354,3816,6.064974864
2.008,-1459471,3816,5.569341336
3.012,-1533202,3816,5.850698832
4.016,-1501464,3816,5.7295866239999995
5.021,-1537108,3815,5.864067019999999
6.025,-1560057,3815,5.951617455
7.028,-1516112,3815,5.783967280000001
8.031,-1539549,3815,5.873379435
9.035,-1541014,3815,5.87896841
10.039,-1549315,3815,5.910636725
11.044,-1521971,3815,5.806319364999999
12.048,-1561034,3815,5.95534471
13.051,-1529784,3815,5.83612596
14.055,-1545409,3815,5.895735335
15.059,-1534178,3814,5.851354892
16.063,-1541014,3814,5.877427396
17.068,-1554198,3814,5.927711172
18.071,-1528319,3814,5.829008666
19.074,-1536132,3814,5.858807448
20.079,-1506346,3814,5.745203644
21.084,-1544432,3814,5.890463648
22.087,-1458007,3814,5.560838698
23.091,-1507811,3814,5.750791154
24.095,-1510253,3814,5.760104942
25.1,-1506835,3815,5.748575525000001
26.105,-1506346,3815,5.746709989999999
27.108,-1472655,3815,5.618178825
28.112,-1510253,3815,5.761615194999999
29.116,-1499022,3815,5.7187689299999995
30.12,-1560546,3815,5.9534829899999995
31.124,-1491698,3815,5.690827870000001
32.127,-1503905,3815,5.737397575
33.131,-1513671,3815,5.774654865
34.135,-1528807,3815,5.832398705
35.139,-1475096,3813,5.624541048
36.142,-1505370,3813,5.73997581
37.146,-1446776,3813,5.516556888
38.149,-1503417,3813,5.732529021
39.152,-1495604,3813,5.702738052
40.155,-1499022,3813,5.715770886
41.159,-1446776,3813,5.516556888
42.165,-1404296,3813,5.354580648
43.168,-1292968,3813,4.930086984000001
44.172,-1328124,3813,5.064136812
45.175,-1339354,3825,5.12302905
46.179,-1352538,3825,5.17345785
47.183,-1366210,3825,5.225753250000001
48.189,-1436522,3825,5.49469665
49.193,-1537596,3825,5.8813047
50.196,-1518553,3825,5.808465225000001
51.2,-1528319,3825,5.845820175
52.204,-1502928,3825,5.7486996
53.216,-1537108,3825,5.8794381
54.22,-1468749,3825,5.617964925000001
55.223,-1476073,3816,5.632694568000001
56.226,-1548827,3816,5.9103238319999996
57.232,-1716307,3816,6.549427511999999
58.236,-1746092,3816,6.663087072000001
59.241,-1664549,3801,6.326950749000001
60.245,-1645506,3801,6.254568306
61.25,-1667967,3801,6.339942567000001
62.253,-1657713,3801,6.3009671130000005
63.257,-1537108,3801,5.842547508
64.262,-1475096,3801,5.606839896
65.265,-1538085,3813,5.864718105000001
66.268,-1481444,3813,5.648745972
67.271,-1335448,3813,5.092063224000001
68.275,-1550292,3813,5.911263396
69.278,-1528807,3813,5.829341091000001
70.282,-1558104,3813,5.941050552
71.287,-1498046,3813,5.7120493980000004
72.29,-1537108,3813,5.860992804
73.293,-1521971,3813,5.8032754230000005
74.296,-1539549,3813,5.870300337000001
75.3,-1541991,3808,5.871901727999999
76.304,-1576171,3808,6.002059168
77.307,-1540038,3808,5.8644647039999995
78.311,-1465819,3808,5.5818387519999995
79.314,-1614256,3808,6.147086848
80.316,-1525878,3808,5.810543424
81.321,-1615233,3808,6.150807263999999
82.325,-1552733,3808,5.912807264
83.328,-1556151,3808,5.925823008
84.331,-1544432,3808,5.8811970559999995
85.334,-1550780,3807,5.90381946
86.338,-1553221,3807,5.913112346999999
87.342,-1545897,3807,5.885229879
