timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709485874194.6797,0,0,0,0,0,0,0,0,99612793004,33607336546,30484324,49152605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145877,98531818496,2534968,80248335360,1890.578125,1453095.5,1353.109375,16026.562499999767,30837.796875,8.3,4701.0,0.0,4701.0,2912254556,2049773306,0,3880526512
1709485875195.8667,0,0,0,0,0,0,0,0,99621789718,33608076190,30486176,49155582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145878,98531834880,2535003,80249191424,1890.609375,1453106.59375,1353.125,16026.921874999767,30838.34375,7.9,4701.0,0.0,4701.0,2912294974,2049815980,0,3880655026
1709485876191.4907,0,0,0,0,0,0,0,0,99624653513,33608807152,30487912,49158127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145880,98531859456,2535037,80249633792,1890.640625,1453117.78125,1353.171875,16027.296874999767,30838.78125,7.4,4701.0,0.0,4701.0,2912341314,2049858506,0,3880818066
1709485877191.3025,0,0,0,0,0,0,0,0,99628785916,33609527777,30489608,49160732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145880,98531859456,2535038,80249637888,1890.65625,1453129.03125,1353.171875,16027.515624999767,30839.28125,6.1,4701.0,0.0,4701.0,2912385415,2049899410,0,3880958300
1709485878191.7246,0,0,0,0,0,0,0,0,99633731282,33610250352,30491327,49163390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145883,98531924992,2535057,80250141696,1890.703125,1453140.453125,1353.171875,16027.703124999767,30839.671875,5.2,4701.0,0.0,4701.0,2912426455,2049940106,0,3881092552
1709485879195.1648,0,0,0,0,0,0,0,0,99639621408,33610985461,30493090,49166220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145884,98531941376,2535206,80250924032,1890.734375,1453151.6875,1353.203125,16028.093749999767,30840.078125,7.1,4701.0,0.0,4701.0,2912466494,2049982337,0,3881233844
1709485880194.255,0,0,0,0,0,0,0,0,99646250437,33611716593,30494858,49169057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145884,98531941376,2535243,80252136448,1890.75,1453163.25,1353.234375,16028.328124999767,30840.28125,4.0,4701.0,0.0,4701.0,2912499135,2050020240,0,3881354278
1709485881196.5376,0,0,0,0,0,0,0,0,99654079561,33612460351,30496624,49172017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145886,98531990528,2535244,80252140544,1890.75,1453174.53125,1353.265625,16028.578124999767,30840.75,6.2,4701.0,0.0,4701.0,2912534603,2050060929,0,3881483230
1709485882194.1184,0,0,0,0,0,0,0,0,99662726054,33613204588,30498391,49175048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145886,98531990528,2535248,80252288000,1890.78125,1453186.234375,1353.265625,16028.640624999767,30840.984375,2.7,4701.0,0.0,4701.0,2912567103,2050101091,0,3881598841
1709485883192.1929,0,0,0,0,0,0,0,0,99672361401,33613952709,30500178,49178134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145887,98532006912,2535266,80252546048,1890.859375,1453197.703125,1353.328125,16028.937499999767,30841.1875,5.3,4701.0,0.0,4701.0,2912603264,2050143598,0,3881725647
1709485884193.0076,0,0,0,0,0,0,0,0,99682904376,33614707125,30501992,49181345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145887,98532006912,2535305,80253316096,1890.890625,1453209.203125,1353.375,16029.249999999767,30841.390625,4.9,4701.0,0.0,4701.0,2912635033,2050184994,0,3881846330
1709485885190.4167,0,0,0,0,0,0,0,0,99693675193,33615462551,30503826,49184546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145887,98532006912,2535305,80253316096,1890.90625,1453220.578125,1353.390625,16029.546874999767,30841.71875,5.5,4701.0,0.0,4701.0,2912670041,2050227417,0,3881977975
1709485886197.257,0,0,0,0,0,0,0,0,99704590136,33616218033,30505665,49187748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145888,98532023296,2535335,80253721600,1890.921875,1453232.234375,1353.40625,16029.703124999767,30841.921875,3.2,4701.0,0.0,4701.0,2912702632,2050268996,0,3882099385
1709485887195.2722,0,0,0,0,0,0,0,0,99715246219,33616974300,30507491,49190958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145889,98532285440,2535352,80254462976,1890.953125,1453243.921875,1353.40625,16029.843749999767,30842.09375,2.9,4701.0,0.0,4701.0,2912738034,2050312184,0,3882228266
1709485888198.1958,0,0,0,0,0,0,0,0,99726276677,33617740949,30509340,49194259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145889,98532285440,2535353,80254467072,1890.984375,1453255.578125,1353.40625,16030.015624999767,30842.265625,3.1,4701.0,0.0,4701.0,2912769537,2050353290,0,3882343201
1709485889195.933,0,0,0,0,0,0,0,0,99736931950,33618509199,30511180,49197498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2145905,98532442112,2535385,80255155200,1891.0,1453266.375,1353.46875,16030.562499999767,30842.921875,10.6,4701.0,0.0,4701.0,2912839033,2050411415,0,3882611753
1709485890191.9028,0,0,0,0,0,0,0,0,99747504637,33619337397,30513071,49200749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2146680,98611110400,2535443,80256253440,1891.0625,1453276.609375,1353.484375,16031.234374999767,30843.984375,15.0,4701.0,0.0,4701.0,2912908901,2050489574,0,3882961562
1709485891188.6777,0,0,0,0,0,0,0,0,99758257599,33620091416,30514897,49204003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2146680,98611110400,2535521,80256982528,1891.09375,1453287.78125,1353.515625,16031.749999999767,30844.296875,7.4,4701.0,0.0,4701.0,2912948938,2050534253,0,3883107823
1709485892191.433,0,0,0,0,0,0,0,0,99769460554,33620859908,30516750,49207301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2146680,98611110400,2535522,80256986624,1891.109375,1453299.265625,1353.546875,16031.937499999767,30844.625,4.7,4701.0,0.0,4701.0,2912984012,2050576720,0,3883237139
