Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-1571288,4026,6.326005488
1.003,-1550780,4026,6.24344028
2.006,-1550780,4026,6.24344028
3.009,-1578124,4026,6.353527224
4.014,-1547362,4026,6.229679412
5.016,-1570311,4026,6.3220720859999995
6.019,-1574706,4026,6.339766355999999
7.021,-1567870,4026,6.3122446199999995
8.031,-1578612,4023,6.350756076
9.034,-1590819,4023,6.399864836999999
10.037,-1540526,4023,6.197536098
11.041,-1604491,4021,6.451658310999999
12.043,-1554198,4021,6.249430158000001
13.046,-1559569,4021,6.2710269489999995
14.051,-1566405,4021,6.298514505
15.054,-1572264,4021,6.322073543999999
16.057,-1565428,4021,6.294585988
17.059,-1562010,4021,6.280842209999999
18.065,-1585936,4022,6.378634592
19.071,-1573241,4022,6.327575302
20.074,-1611327,4022,6.480757194000001
21.077,-1560546,4022,6.276516012
22.08,-1573729,4022,6.329538038
23.083,-1560546,4022,6.276516012
24.086,-1568846,4022,6.3098986120000005
25.091,-1565428,4022,6.296151416000001
26.095,-1588378,4022,6.388456316
27.098,-1563964,4022,6.290263208
28.101,-1545409,4024,6.218725816
29.105,-1584960,4024,6.377879040000001
30.109,-1592772,4024,6.4093145279999995
31.114,-1564452,4024,6.295354848
32.117,-1574706,4024,6.336616944
33.119,-1558104,4024,6.269810496
34.122,-1569823,4024,6.316967752000001
35.124,-1570311,4024,6.318931464
36.128,-1557128,4024,6.265883071999999
37.132,-1568358,4024,6.3110725919999995
38.134,-1562987,4021,6.284770727000001
39.137,-1556639,4021,6.259245418999999
40.14,-1557128,4021,6.2612116879999995
41.145,-1544921,4021,6.2121273409999995
42.148,-1541014,4021,6.196417294
43.151,-1482909,4021,5.962777089
44.154,-1495604,4021,6.013823683999999
45.156,-1481932,4021,5.958848572
46.159,-1488280,4021,5.98437388
47.162,-1503417,4021,6.045239757
48.165,-1579100,4026,6.3574566
49.17,-1610350,4026,6.483269099999999
50.173,-1599120,4026,6.438057119999999
51.176,-1583983,4018,6.364443693999999
52.18,-1598143,4018,6.421338574
53.184,-1628417,4018,6.542979506
54.187,-1488768,4018,5.981869824
55.192,-1598143,4018,6.421338574
56.195,-1643553,4017,6.602152401000001
57.198,-1638182,4017,6.580577094000001
58.2,-1627440,4014,6.5325441600000005
59.203,-1634276,4014,6.559983864
60.206,-1622557,4014,6.512943798
61.209,-1615721,4014,6.485504094
62.212,-1629881,4014,6.542342334000001
63.215,-1625487,4014,6.524704818000001
64.219,-1648436,4014,6.616822104000001
65.221,-1622557,4014,6.512943798
66.225,-1587889,4014,6.3737864459999996
67.229,-1491698,4014,5.987675772000001
68.233,-1624510,4023,6.535403729999999
69.236,-1660155,4023,6.678803565
70.239,-1623534,4023,6.531477282
71.242,-1625487,4023,6.539334201
72.244,-1629881,4023,6.557011263
73.247,-1654784,4023,6.657196032
74.25,-1638671,4023,6.592373433
75.254,-1686034,4023,6.782914782
76.257,-1644042,4023,6.613980966
77.26,-1659178,4023,6.674873094
78.263,-1626952,4009,6.522450568
79.268,-1623534,4009,6.508747806000001
80.272,-1612303,4009,6.463722727
81.275,-1647460,4009,6.604667140000001
82.277,-1628905,4009,6.530280145000001
83.281,-1622069,4009,6.502874621
84.284,-1636229,4009,6.559642061
85.286,-1636229,4009,6.559642061
86.29,-1646483,4009,6.600750347
87.296,-1646971,4009,6.602706739
88.298,-1609374,4009,6.451980366000001
89.309,-1644530,4009,6.592920770000001
90.313,-1625975,4009,6.518533775000001
91.315,-1637206,4009,6.563558854
92.318,-1639647,4009,6.573344823
93.322,-1625487,4009,6.516577383000001
94.324,-1623534,4009,6.508747806000001
95.326,-1597167,4009,6.403042503000001
96.329,-1601561,4009,6.420658049000001
97.334,-1659667,4009,6.653605003000001
98.337,-1643553,4006,6.584073318000001
99.34,-1613768,4006,6.464754608000001
100.343,-1688475,4006,6.76403085
101.347,-1630858,4006,6.533217148
102.35,-1634276,4006,6.546909656
103.352,-1644530,4006,6.587987180000001
104.356,-1645995,4006,6.59385597
105.359,-1632323,4006,6.539085938000001
106.361,-1646971,4006,6.597765826
107.364,-1650878,4006,6.613417268
108.366,-1646971,4006,6.597765826
109.37,-1663573,4006,6.664273438000001
110.374,-1660155,4006,6.65058093
111.377,-1645995,4006,6.59385597
112.38,-1675780,4006,6.713174680000001
113.384,-1677733,4006,6.720998398
114.388,-1655272,4006,6.631019632
115.392,-1664061,4006,6.666228366
116.395,-1671874,4006,6.697527244000001
117.398,-1643065,4006,6.582118390000001
118.401,-1654296,4005,6.625455479999999
