CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2778,0,35.2C/0.0C,3.44ms,1.01ms,0.28ms,13.87ms,2(DR0,0.35,0.12(W0.18),1.00,15.75/21.55,19.34,0,1.21,0,0,-2208922456.934,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.3,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2778,0,35.2C/0.0C,3.39ms,1.04ms,0.28ms,13.86ms,2(DR0,0.36,0.24(W0.35),1.00,15.78/21.28,19.29,0,1.21,0,0,-2208922455.934,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.3,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,2778,0,35.2C/0.0C,3.40ms,0.91ms,0.28ms,13.90ms,2(DR0,0.35,0.07(W0.11),1.00,15.74/21.46,19.37,0,1.21,0,0,-2208922454.933,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.3,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2778,0,35.2C/0.0C,3.40ms,0.94ms,0.28ms,13.87ms,2(DR0,0.35,0.03(W0.10),1.00,15.78/21.51,19.33,0,1.21,0,0,-2208922453.933,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.3,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2778,0,35.2C/0.0C,3.41ms,0.99ms,0.28ms,13.87ms,2(DR0,0.36,0.07(W0.15),1.00,15.64/21.69,19.37,0,1.21,0,0,-2208922452.933,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.3,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2778,0,35.2C/0.0C,3.40ms,0.99ms,0.28ms,13.86ms,2(DR0,0.35,0.03(W0.05),1.00,15.97/21.31,19.34,0,1.21,0,0,-2208922451.933,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.3,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2778,0,35.2C/0.0C,3.38ms,0.98ms,0.28ms,13.86ms,2(DR0,0.35,0.14(W0.22),1.00,15.85/21.44,19.29,0,1.21,0,0,-2208922450.933,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.3,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2778,0,35.2C/0.0C,3.38ms,0.97ms,0.28ms,13.86ms,2(DR0,0.35,0.14(W0.19),1.00,15.79/22.06,19.35,0,1.21,0,0,-2208922449.933,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.3,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2778,0,35.2C/0.0C,3.38ms,0.93ms,0.28ms,13.86ms,2(DR0,0.36,0.15(W0.22),1.00,16.01/21.31,19.32,0,1.21,0,0,-2208922448.933,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.3,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2778,0,35.2C/0.0C,3.39ms,1.02ms,0.28ms,13.87ms,2(DR0,0.35,0.25(W0.30),1.00,15.84/21.30,19.28,0,1.21,0,0,-2208922447.933,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.3,False,False,ogcat_VrApi.log
