CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,2092MHz,2820,0,40.2C/0.0C,3.92ms,1.50ms,0.29ms,13.87ms,3(DR0,0.44,0.13(W0.19),1.00,16.17/21.92,19.67,0,1.21,0,0,-2208921480.865,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,2820,0,40.2C/0.0C,3.93ms,1.50ms,0.28ms,13.92ms,3(DR0,0.44,0.16(W0.18),1.00,16.02/22.07,19.81,0,1.21,0,0,-2208921479.865,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2820,0,40.2C/0.0C,3.91ms,1.52ms,0.28ms,13.87ms,3(DR0,0.44,0.11(W0.11),1.00,16.27/21.93,19.80,0,1.21,0,0,-2208921478.865,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2820,0,40.2C/0.0C,3.93ms,1.59ms,0.28ms,13.86ms,3(DR0,0.45,0.13(W0.19),1.00,16.29/21.67,19.73,0,1.21,0,0,-2208921477.865,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2820,0,40.2C/0.0C,3.93ms,1.58ms,0.28ms,13.86ms,3(DR0,0.44,0.16(W0.29),1.00,16.18/22.12,19.76,0,1.21,0,0,-2208921476.865,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2820,0,40.2C/0.0C,3.93ms,1.60ms,0.28ms,13.86ms,3(DR0,0.44,0.12(W0.18),1.00,16.14/22.12,19.71,0,1.21,0,0,-2208921475.865,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2820,0,40.2C/0.0C,3.97ms,1.63ms,0.30ms,13.87ms,3(DR0,0.45,0.39(W0.58),1.00,16.02/22.01,19.80,0,1.21,0,0,-2208921474.865,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,2820,0,40.2C/0.0C,3.95ms,1.59ms,0.28ms,13.87ms,3(DR0,0.45,0.26(W0.33),1.00,16.16/21.92,19.73,0,1.21,0,0,-2208921473.865,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2820,0,40.2C/0.0C,3.95ms,1.60ms,0.28ms,13.86ms,3(DR0,0.45,0.20(W0.23),1.00,16.20/22.07,19.76,0,1.21,0,0,-2208921472.864,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2820,0,40.2C/0.0C,3.93ms,1.58ms,0.28ms,13.86ms,3(DR0,0.44,0.21(W0.28),1.00,16.30/22.15,19.76,0,1.21,0,0,-2208921471.864,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
