timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709488891241.0146,0,0,0,0,0,0,0,0,131590143198,36073964752,37624376,59677344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2182642,99194879488,2588831,81023887360,1998.609375,1487163.5312499998,1418.0,16834.718750000233,32166.171874999996,33.3,4701.0,0.0,4701.0,3087537533,2206488652,0,84279040
1709488892235.162,0,0,0,0,0,0,0,0,131599915004,36074705621,37626171,59680343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2182643,99194895872,2588871,81024526336,1998.65625,1487174.3437499998,1418.046875,16835.093750000233,32166.953124999996,10.4,4701.0,0.0,4701.0,3087585670,2206536269,0,84443243
1709488893234.7468,0,0,0,0,0,0,0,0,131609461752,36075441880,37627985,59683324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2182644,99194928640,2588892,81024854016,1998.6875,1487186.0156249998,1418.046875,16835.250000000233,32167.124999999996,3.0,4701.0,0.0,4701.0,3087619021,2206577023,0,84563214
1709488894234.0398,0,0,0,0,0,0,0,0,131619145775,36076181361,37629794,59686284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2182644,99194928640,2588903,81025153024,1998.71875,1487197.7031249998,1418.09375,16835.437500000233,32167.265624999996,3.4,4701.0,0.0,4701.0,3087654252,2206618860,0,84691745
1709488895244.7502,0,0,0,0,0,0,0,0,131628874293,36076930421,37631624,59689351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2182646,99194961408,2589020,81025681408,1998.71875,1487209.4062499998,1418.140625,16835.609375000233,32167.406249999996,3.0,4701.0,0.0,4701.0,3087690882,2206662012,0,84825559
1709488896242.7593,0,0,0,0,0,0,0,0,131638641703,36077663802,37633421,59692351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2182647,99194965504,2589062,81026926592,1998.75,1487221.0312499998,1418.140625,16835.750000000233,32167.640624999996,3.4,4701.0,0.0,4701.0,3087727036,2206704841,0,84957981
1709488897240.5115,0,0,0,0,0,0,0,0,131648305161,36078399067,37635223,59695327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2182647,99194965504,2589062,81026926592,1998.765625,1487232.6406249998,1418.171875,16835.937500000233,32167.828124999996,3.5,4701.0,0.0,4701.0,3087759621,2206746081,0,85069424
1709488898234.7534,0,0,0,0,0,0,0,0,131658222602,36079135786,37637021,59698350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2182647,99194965504,2589063,81026930688,1998.78125,1487243.9843749998,1418.21875,16836.156250000233,32168.249999999996,5.8,4701.0,0.0,4701.0,3087795238,2206788974,0,85203084
1709488899243.9797,0,0,0,0,0,0,0,0,131668020535,36079875532,37638838,59701332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2182647,99194965504,2589063,81026930688,1998.796875,1487255.7812499998,1418.265625,16836.296875000233,32168.343749999996,2.5,4701.0,0.0,4701.0,3087826827,2206829485,0,85310399
1709488900240.778,0,0,0,0,0,0,0,0,131677663634,36080609148,37640630,59704327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7622533020,1191715936,3270736,4456447,0,0,0,0,2182648,99194998272,2589092,81027229696,1998.84375,1487267.2187499998,1418.296875,16836.578125000233,32168.624999999996,5.3,4701.0,0.0,4701.0,3087861612,2206871647,0,85436952
