timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709643771354.8398,0,0,0,0,0,0,0,0,612599270,12514403070,4720489,9606857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8847303375,2824466177,4863140,7172118,0,0,0,0,1397161,125993714176,1024764,40262523392,242,409088,0,0,666.703125,409119.25,660.46875,5040.09375,8735.0,22.2,4701.0,0.0,4701.0,1015782672,662207890,0,3065849421
1709643772349.5828,0,0,0,0,0,0,0,0,612605213,12514419703,4720575,9606958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8850267457,2825141535,4864508,7174257,0,0,0,0,1397161,125993714176,1024791,40263121408,242,409088,0,0,666.78125,409130.546875,660.515625,5040.515625,8735.28125,6.8,4701.0,0.0,4701.0,1015839989,662245414,0,3066022501
1709643773345.7039,0,0,0,0,0,0,0,0,612624508,12514448417,4720719,9607098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8853156548,2825822406,4865947,7176433,0,0,0,0,1397162,125993746944,1024791,40263121408,242,409088,0,0,666.859375,409141.875,660.59375,5040.8125,8735.65625,6.8,4701.0,0.0,4701.0,1015892328,662280076,0,3066169489
1709643774341.0146,0,0,0,0,0,0,0,0,612630726,12514465911,4720810,9607203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8857131420,2826493844,4867394,7178560,0,0,0,0,1397162,125993746944,1024799,40263272960,242,409088,0,0,666.90625,409152.890625,660.640625,5041.21875,8736.046875,7.8,4701.0,0.0,4701.0,1015947192,662316708,0,3066328064
1709643775340.1145,0,0,0,0,0,0,0,0,612636890,12514483265,4720900,9607306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8862131820,2827176936,4868838,7180810,0,0,0,0,1397163,125993763328,1024821,40263719424,242,409088,0,0,666.96875,409164.0625,660.703125,5041.734375,8736.359375,7.6,4701.0,0.0,4701.0,1015998515,662351080,0,3066474081
1709643776350.3777,0,0,0,0,0,0,0,0,612646818,12514502958,4721009,9607419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8868252944,2827872320,4870295,7183072,0,0,0,0,1397164,125993779712,1024829,40263997952,242,409088,0,0,667.03125,409175.640625,660.75,5042.09375,8736.609375,5.8,4701.0,0.0,4701.0,1016049889,662385245,0,3066621645
1709643777344.0908,0,0,0,0,0,0,0,0,612656042,12514522954,4721116,9607540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8872490723,2828551067,4871682,7185242,0,0,0,0,1397164,125993779712,1024829,40263997952,242,409088,0,0,667.125,409186.984375,660.78125,5042.375,8736.984375,6.4,4701.0,0.0,4701.0,1016103312,662421124,0,3066777250
1709643778341.0024,0,0,0,0,0,0,0,0,612663421,12514542516,4721215,9607656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8876245425,2829225025,4873056,7187359,0,0,0,0,1397164,125993779712,1024857,40267635200,242,409088,0,0,667.203125,409198.140625,660.8125,5042.640625,8737.375,6.5,4701.0,0.0,4701.0,1016154644,662454957,0,3066925983
1709643779341.1978,0,0,0,0,0,0,0,0,612675633,12514561123,4721330,9607765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8879485134,2829906355,4874434,7189500,0,0,0,0,1397164,125993779712,1024878,40267930112,242,409088,0,0,667.25,409209.296875,660.828125,5043.0,8737.859375,7.4,4701.0,0.0,4701.0,1016210362,662491865,0,3067085390
1709643780340.3533,0,0,0,0,0,0,0,0,612682920,12514581596,4721436,9607891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8882017084,2830584228,4875822,7191646,0,0,0,0,1397164,125993779712,1024883,40268184064,242,409088,0,0,667.265625,409220.515625,660.875,5043.34375,8738.296875,7.0,4701.0,0.0,4701.0,1016261765,662525987,0,3067233810
