timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709248787189.4282,0,0,0,0,0,0,0,0,6468902692,769313260,1249740,2024681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252915,10183536640,59997,2165707264,40,102912,0,0,25.65625,10157.46875,16.203125,250.125,460.296875,20.0,4701.0,0.0,4701.0,39778303,36627126,0,140045363
1709248788189.2666,0,0,0,0,0,0,0,0,6478857271,770350865,1251444,2027509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252915,10183536640,60021,2166043136,40,102912,0,0,25.65625,10168.953125,16.21875,250.359375,460.5625,4.3,4701.0,0.0,4701.0,39810534,36667590,0,140166583
1709248789173.7358,0,0,0,0,0,0,0,0,6488587551,771379826,1253112,2030369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252916,10183553024,60044,2166239744,40,102912,0,0,25.671875,10180.28125,16.234375,250.578125,460.84375,4.5,4701.0,0.0,4701.0,39844817,36709769,0,140292174
1709248790173.4539,0,0,0,0,0,0,0,0,6499316857,772431972,1254850,2033336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253288,10186903552,60079,2166690304,40,102912,0,0,25.71875,10191.21875,16.25,251.171875,461.3125,9.3,4701.0,0.0,4701.0,39916518,36767647,0,140566430
1709248791175.6099,0,0,0,0,0,0,0,0,6509924083,773484060,1256554,2036125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253438,10189177344,60120,2167337472,40,102912,0,0,25.75,10202.34375,16.265625,251.640625,461.71875,7.7,4701.0,0.0,4701.0,39960729,36811010,0,140843116
1709248792188.2395,0,0,0,0,0,0,0,0,6520524619,774566916,1258316,2039142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253496,10190504960,60193,2168259072,40,102912,0,0,25.8125,10213.703125,16.296875,252.015625,462.171875,7.5,4701.0,0.0,4701.0,40012674,36857416,0,141089854
1709248793188.4397,0,0,0,0,0,0,0,0,6531082504,775755506,1260155,2042214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254517,10215048704,60321,2170683904,40,102912,0,0,25.875,10223.71875,16.34375,252.765625,463.40625,17.3,4701.0,0.0,4701.0,40089423,36915028,0,141479776
1709248794188.152,0,0,0,0,0,0,0,0,6541493950,776872692,1261888,2045048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254576,10216171520,60344,2171052544,40,102912,0,0,25.875,10233.765625,16.359375,253.890625,464.234375,16.4,4701.0,0.0,4701.0,40133304,36953671,0,142126921
1709248795188.1729,0,0,0,0,0,0,0,0,6551973535,777926330,1263604,2048034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254614,10216805888,60387,2171384320,40,102912,0,0,25.9375,10244.0625,16.390625,254.359375,465.46875,14.9,4701.0,0.0,4701.0,40179841,36990590,0,142415129
1709248796186.582,0,0,0,0,0,0,0,0,6562560865,778980335,1265345,2051139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254661,10217402880,60402,2171875840,40,102912,0,0,25.953125,10254.390625,16.40625,254.953125,466.546875,14.2,4701.0,0.0,4701.0,40224194,37028825,0,142780117
1709248797176.0127,0,0,0,0,0,0,0,0,6572863844,780010408,1267041,2054095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254670,10217536000,60453,2172355072,40,102912,0,0,26.015625,10264.65625,16.40625,255.828125,467.21875,13.6,4701.0,0.0,4701.0,40259970,37062705,0,143473401
1709248798177.8013,0,0,0,0,0,0,0,0,6583416591,781042841,1268745,2056803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255068,10220611072,60621,2174218752,40,102912,0,0,26.03125,10275.53125,16.4375,256.140625,468.171875,10.8,4701.0,0.0,4701.0,40304112,37102532,0,143675045
