CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8141,0,29.7C/0.0C,1.85ms,0.73ms,0.00ms,13.86ms,1(DR73,0.20,0.11(W0.14),1.00,16.64/19.69,18.66,1,1.23,0,0,-2208987030.919,True,True,999999,0,BeatSaber,PopStars-Medium,hide_controllers0.2,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8141,0,30.0C/0.0C,1.86ms,0.71ms,0.00ms,13.86ms,1(DR73,0.20,0.09(W0.18),1.00,16.67/19.88,18.77,1,1.23,0,0,-2208987029.919,True,True,999999,0,BeatSaber,PopStars-Medium,hide_controllers0.2,False,False,ogcat_VrApi.log
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8141,0,30.0C/0.0C,1.85ms,0.73ms,0.00ms,13.86ms,1(DR73,0.20,0.08(W0.10),1.00,16.64/19.43,18.68,1,1.23,0,0,-2208987028.919,True,True,999999,0,BeatSaber,PopStars-Medium,hide_controllers0.2,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8141,0,30.0C/0.0C,1.84ms,0.68ms,0.00ms,13.86ms,1(DR73,0.20,0.03(W0.10),1.00,16.72/19.44,18.60,1,1.23,0,0,-2208987027.919,True,True,999999,0,BeatSaber,PopStars-Medium,hide_controllers0.2,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,30.0C/0.0C,1.85ms,0.74ms,0.00ms,13.86ms,1(DR73,0.21,0.10(W0.10),1.00,16.76/19.72,18.73,1,1.23,0,0,-2208987026.912,True,True,999999,0,BeatSaber,PopStars-Medium,hide_controllers0.2,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,30.0C/0.0C,1.86ms,0.72ms,0.00ms,13.86ms,1(DR73,0.21,0.22(W0.33),1.00,16.64/19.55,18.75,1,1.23,0,0,-2208987025.919,True,True,999999,0,BeatSaber,PopStars-Medium,hide_controllers0.2,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,30.0C/0.0C,1.88ms,0.76ms,0.00ms,13.86ms,1(DR73,0.20,0.14(W0.17),1.00,16.73/19.54,18.68,1,1.23,0,0,-2208987024.919,True,True,999999,0,BeatSaber,PopStars-Medium,hide_controllers0.2,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,30.0C/0.0C,1.87ms,0.75ms,0.00ms,13.86ms,1(DR73,0.20,0.14(W0.18),1.00,16.72/19.56,18.65,1,1.23,0,0,-2208987023.919,True,True,999999,0,BeatSaber,PopStars-Medium,hide_controllers0.2,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,30.0C/0.0C,1.86ms,0.71ms,0.00ms,13.86ms,1(DR73,0.21,0.11(W0.18),1.00,16.48/19.40,18.59,1,1.23,0,0,-2208987022.919,True,True,999999,0,BeatSaber,PopStars-Medium,hide_controllers0.2,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8149,0,30.0C/0.0C,1.87ms,0.73ms,0.00ms,13.86ms,1(DR73,0.20,0.15(W0.21),1.00,16.62/19.38,18.55,1,1.23,0,0,-2208987021.919,True,True,999999,0,BeatSaber,PopStars-Medium,hide_controllers0.2,False,False,ogcat_VrApi.log
