Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-1761717,3985,7.020442245000001
1.006,-1762694,3985,7.02433559
2.011,-1756346,3982,6.993769772
3.016,-1748045,3982,6.960715190000001
4.022,-1901854,3982,7.5731826280000005
5.027,-1826170,3982,7.2718089400000006
6.032,-1712889,3982,6.820723998
7.038,-1863768,3982,7.421524176000001
8.042,-1741698,3982,6.935441436000001
9.046,-1769042,3982,7.044325244
10.052,-1766600,3982,7.0346012
11.056,-1773924,3982,7.063765368
12.062,-1764159,3980,7.02135282
13.066,-1809569,3980,7.20208462
14.071,-1867674,3980,7.43334252
15.075,-1729491,3980,6.88337418
16.081,-1887694,3980,7.51302212
17.085,-1720702,3980,6.84839396
18.09,-1740721,3980,6.92806958
19.095,-1732420,3980,6.8950316
20.099,-1764159,3980,7.02135282
21.104,-1906737,3980,7.58881326
22.109,-1779295,3972,7.067359740000001
23.114,-1783202,3972,7.082878344
24.119,-1916502,3972,7.612345943999999
25.124,-1783202,3972,7.082878344
26.128,-1773924,3972,7.046026128
27.134,-1407714,3972,5.591440007999999
28.139,-1418456,3972,5.634107232
29.143,-1398436,3972,5.554587792
30.148,-1505858,3972,5.981267976
31.153,-1361327,3972,5.407190844
32.158,-1404296,3999,5.615779704
33.162,-1896971,3999,7.585987029
34.166,-1852538,3999,7.4082994620000004
35.171,-1875975,3973,7.453248674999999
36.176,-1840331,3973,7.311635063
37.18,-1831053,3973,7.274773569
38.184,-1404296,3973,5.579268008
39.189,-1760741,3973,6.995423992999999
40.194,-1838377,3973,7.3038718209999995
41.198,-1831053,3973,7.274773569
42.204,-1874022,3974,7.447363428
43.208,-1966795,3974,7.81604333
44.214,-1819335,3974,7.230037290000001
45.219,-1911131,3969,7.585278939
46.225,-1841307,3969,7.308147483
47.229,-1807127,3969,7.172487062999999
48.234,-1764159,3969,7.001947071
49.238,-1795409,3969,7.125978321
50.243,-1791991,3969,7.112412278999999
51.247,-1815917,3969,7.207374573
52.251,-1842284,3972,7.3175520480000005
53.256,-1864745,3972,7.4067671399999995
54.26,-1742186,3972,6.919962792
55.265,-1652342,3972,6.563102424000001
56.269,-1853514,3972,7.3621576079999995
57.274,-1859374,3972,7.385433528
58.279,-1859374,3972,7.385433528
59.283,-1841307,3972,7.313671404
60.289,-1889647,3972,7.505677884
61.296,-2021483,3972,8.029330476
62.3,-1874022,3968,7.436119295999999
63.305,-1851073,3968,7.3450576640000005
64.31,-1869627,3968,7.418679935999999
65.314,-1841307,3968,7.306306176
66.319,-1874510,3968,7.43805568
67.323,-1839842,3968,7.3004930560000005
68.328,-1873045,3968,7.432242560000001
69.332,-1863768,3968,7.395431424000001
70.337,-1844725,3968,7.3198688
71.342,-1845213,3968,7.321805184
72.348,-1835936,3968,7.284994048
73.352,-1851073,3968,7.3450576640000005
74.356,-1842772,3968,7.312119296
75.361,-1842284,3968,7.310182912
76.365,-1829100,3968,7.2578688
77.371,-1837401,3968,7.290807168000001
78.376,-1820311,3968,7.222994048
79.38,-1855467,3968,7.362493056000001
80.385,-1833983,3968,7.277244543999999
81.39,-1842284,3968,7.310182912
82.394,-1825682,3967,7.2424804940000005
83.398,-1835448,3967,7.281222216000001
84.402,-1822752,3967,7.2308571839999995
85.407,-1846190,3967,7.32383573
86.412,-1823729,3967,7.234732943
87.417,-1833006,3967,7.271534802000001
88.421,-1829100,3967,7.2560397
89.425,-1822752,3967,7.2308571839999995
90.43,-1865233,3967,7.399379311
91.435,-1981444,3967,7.860388348
92.439,-1982420,3957,7.84443594
93.445,-1841307,3957,7.286051799
94.451,-1982420,3957,7.84443594
95.455,-1822752,3957,7.212629664
96.459,-1829100,3957,7.237748699999999
97.464,-1806639,3965,7.163323634999999
98.469,-1806151,3965,7.161388715
99.473,-1818846,3965,7.21172439
100.478,-1825194,3965,7.23689421
101.483,-1824217,3965,7.233020405
102.487,-1804686,3964,7.153775304
103.492,-1813963,3964,7.190549332
104.496,-1800292,3964,7.136357488
105.501,-1819335,3964,7.2118439400000005
106.506,-1785155,3964,7.07635442
107.511,-1842284,3964,7.302813776
108.515,-1820311,3964,7.215712804
109.519,-1831542,3964,7.260232488
110.524,-1839842,3964,7.293133688000001
111.529,-1817870,3964,7.2060366799999995
112.533,-1825682,3963,7.2351777660000005
113.538,-1815428,3963,7.194541164
114.543,-1843260,3963,7.30483938
115.547,-1816893,3963,7.200346959000001
116.552,-1854002,3963,7.347409926
117.557,-1816405,3963,7.198413015000001
118.562,-1876463,3963,7.436422869
119.567,-1836424,3963,7.277748312
120.572,-1919432,3963,7.606709016
121.577,-1963377,3963,7.780863051
122.582,-1818846,3954,7.191717084
123.586,-1997557,3954,7.898340378
124.592,-1974120,3954,7.80567048
125.596,-1871581,3954,7.400231274
126.601,-1805663,3954,7.139591502
127.607,-1837401,3954,7.265083554
128.613,-1825194,3954,7.216817076
129.617,-1847167,3954,7.303698318
130.621,-1826170,3954,7.220676180000001
131.626,-1817381,3954,7.185924474000001
132.631,-1809569,3961,7.167702809
133.636,-1804686,3961,7.1483612459999994
134.64,-1817870,3961,7.2005830699999995
135.644,-1803710,3960,7.142691600000001
136.649,-1852049,3960,7.33411404
137.653,-1836913,3960,7.27417548
138.658,-1958495,3960,7.755640199999999
139.663,-1901366,3960,7.52940936
140.666,-1835448,3960,7.268374080000001
141.671,-1832518,3960,7.256771280000001
142.676,-1845213,3959,7.305198267
143.68,-1824706,3959,7.224011054
144.685,-1840331,3959,7.285870429
145.689,-1857909,3959,7.355461731
146.693,-1831053,3959,7.249138827
147.698,-1874510,3959,7.42118509
148.702,-1839354,3959,7.282002486
149.706,-1836913,3959,7.272338567
150.711,-1843749,3957,7.295714793
151.715,-1831053,3957,7.245476721
152.719,-1839354,3957,7.278323778
153.725,-1854491,3957,7.338220886999999
154.73,-2002440,3957,7.92365508
155.735,-1818358,3957,7.195242605999999
156.74,-1953124,3957,7.728511668
157.744,-1853514,3957,7.334354897999999
158.749,-1863768,3957,7.374929976
159.754,-1853026,3957,7.332423882
160.758,-1856932,3957,7.347879924
161.763,-1863768,3957,7.374929976
162.767,-1902342,3955,7.523762610000001
163.771,-1888670,3955,7.469689850000001
164.776,-1848143,3955,7.3094055650000005
165.781,-1856932,3955,7.34416606
166.785,-1849120,3955,7.3132696
167.789,-1895995,3955,7.498660225
168.793,-1881834,3955,7.44265347
169.797,-1860838,3955,7.35961429
170.802,-1858397,3955,7.349960135
171.807,-1856444,3955,7.34223602
172.811,-1844725,3954,7.29404265
173.816,-1850584,3954,7.317209136000001
174.821,-1861327,3954,7.359686958
175.825,-1845702,3954,7.297905708
176.83,-1892577,3954,7.483249458
177.834,-1869139,3954,7.390575606
178.841,-1872557,3954,7.404090378
179.846,-1877928,3954,7.425327312
180.851,-1892088,3954,7.481315952
181.854,-1866698,3954,7.380923892000001
182.859,-1869627,3952,7.3887659039999996
183.864,-1983397,3952,7.8383849439999995
184.869,-1892577,3952,7.4794643039999995
185.874,-1869139,3952,7.3868373279999995
186.878,-1957030,3952,7.73418256
187.882,-1960448,3952,7.747690496000001
188.887,-1815428,3952,7.174571456
189.891,-1816893,3952,7.180361136
190.897,-1814452,3952,7.170714304
191.901,-1845702,3952,7.294214304
192.904,-1834471,3952,7.249829392
193.909,-1842284,3952,7.280706368
194.913,-1861815,3952,7.35789288
195.917,-1892577,3952,7.4794643039999995
196.924,-1864256,3952,7.367539712
197.929,-1867674,3952,7.381047648
198.933,-1861327,3952,7.355964304
199.937,-1875975,3952,7.4138532
200.942,-1853026,3952,7.323158752
201.946,-1840331,3951,7.271147781
202.95,-1862792,3951,7.359891192
203.955,-1853026,3951,7.321305726
204.959,-1847167,3951,7.298156817
205.963,-1848631,3951,7.3039410810000005
206.968,-1877440,3951,7.41776544
207.972,-1855467,3951,7.330950117000001
208.975,-1839842,3951,7.269215742000001
209.979,-1836424,3951,7.255711224000001
210.982,-1828124,3951,7.222917924000001
211.986,-1834959,3951,7.249923009
212.989,-1811522,3950,7.1555119
213.994,-1849120,3950,7.304024
214.998,-1842284,3950,7.277021800000001
216.003,-1852049,3950,7.315593550000001
217.009,-1979002,3950,7.8170579
218.013,-1977049,3950,7.80934355
219.018,-1827635,3950,7.2191582499999996
220.022,-1966795,3950,7.76884025
221.026,-1833983,3950,7.24423285
222.03,-1838866,3950,7.2635207
223.035,-1834471,3948,7.242491508
224.039,-1842284,3948,7.273337232
225.043,-1855467,3948,7.325383716000001
226.047,-1844725,3948,7.282974299999999
227.052,-1837401,3948,7.2540591480000005
228.056,-1833495,3948,7.238638259999999
229.06,-1825194,3948,7.205865912
230.064,-1838377,3948,7.257912396
231.068,-1799315,3948,7.10369562
232.084,-1824217,3949,7.203832933
233.088,-1822752,3949,7.198047647999999
234.092,-1856444,3949,7.331097356
235.096,-1832518,3949,7.236613582
236.101,-1839842,3949,7.265536058
237.105,-1825682,3949,7.209618218
238.11,-1823729,3949,7.2019058209999995
239.113,-1842772,3949,7.277106627999999
240.119,-1860350,3949,7.346522149999999
241.123,-1830077,3947,7.223313919
242.128,-1837889,3947,7.254147883
243.131,-1833495,3947,7.236804765
244.135,-1848143,3947,7.294620421
245.139,-1824217,3947,7.200184499000001
246.144,-1394530,3947,5.50420991
247.149,-1916014,3947,7.562507257999999
248.153,-1838866,3947,7.258004102
249.158,-1795897,3947,7.088405459
250.162,-1979979,3947,7.814977112999999
251.166,-1942870,3947,7.66850789
252.171,-1812987,3947,7.155859689000001
253.174,-1821776,3947,7.190549872
254.178,-1605956,3947,6.3387083319999995
255.182,-1748534,3947,6.901463698000001
256.186,-1791991,3949,7.076572458999999
257.19,-1769042,3949,6.985946858
258.193,-1783202,3949,7.0418646979999995
259.198,-1786131,3949,7.053431319
260.201,-1772948,3949,7.0013716520000004
261.206,-1784667,3949,7.0476499829999995
262.21,-1761717,3949,6.957020433
263.214,-1756346,3949,6.935810354
264.217,-1763182,3949,6.962805718
265.222,-1772948,3949,7.0013716520000004
266.225,-1815428,3949,7.169125172
267.229,-1776366,3949,7.014869333999999
268.234,-1775389,3949,7.011011160999999
269.238,-1791014,3949,7.072714285999999
