timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709266214221.379,0,0,0,0,0,0,0,0,24050628698,2712625993,5065614,7598903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509561,22336583168,176651,3053311488,88,168448,0,0,106.46875,78301.171875,86.5,1081.953125,1685.296875,8.3,4701.0,0.0,4701.0,194752411,157934063,0,706757571
1709266215211.2766,0,0,0,0,0,0,0,0,24061669266,2713649514,5067369,7601705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509561,22336583168,176656,3053331968,88,168448,0,0,106.5,78312.5625,86.5625,1082.265625,1685.578125,5.7,4701.0,0.0,4701.0,194792778,157979644,0,706902434
1709266216212.1257,0,0,0,0,0,0,0,0,24072741935,2714687852,5069096,7604663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509561,22336583168,176672,3053757952,88,168448,0,0,106.515625,78324.0625,86.578125,1082.46875,1685.84375,4.2,4701.0,0.0,4701.0,194825623,158020676,0,707029312
1709266217211.5027,0,0,0,0,0,0,0,0,24083820624,2715749794,5070873,7607647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509561,22336583168,176722,3054503424,88,168448,0,0,106.546875,78334.828125,86.59375,1082.859375,1686.734375,11.0,4701.0,0.0,4701.0,194865908,158064808,0,707206677
1709266218219.3916,0,0,0,0,0,0,0,0,24094223850,2716802316,5072627,7610605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509561,22336583168,176741,3054949888,88,168448,0,0,106.578125,78346.109375,86.59375,1083.296875,1687.015625,6.2,4701.0,0.0,4701.0,194899616,158105284,0,707397902
1709266219213.2202,0,0,0,0,0,0,0,0,24105327626,2717852855,5074398,7613620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509561,22336583168,176809,3055523328,88,168448,0,0,106.578125,78357.703125,86.59375,1083.453125,1687.25,3.3,4701.0,0.0,4701.0,194933521,158147969,0,707525293
1709266220219.1582,0,0,0,0,0,0,0,0,24116419051,2718920915,5076156,7616704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509561,22336583168,176837,3055994368,88,168448,0,0,106.625,78369.078125,86.625,1083.828125,1687.515625,5.9,4701.0,0.0,4701.0,194964488,158189101,0,707646535
1709266221219.9697,0,0,0,0,0,0,0,0,24127580023,2719977156,5077933,7619763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509561,22336583168,176857,3056264704,88,168448,0,0,106.625,78380.59375,86.640625,1084.046875,1687.78125,4.2,4701.0,0.0,4701.0,195001086,158232810,0,707778266
1709266222209.828,0,0,0,0,0,0,0,0,24138567248,2721017137,5079714,7622704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509561,22336583168,176873,3056563712,88,168448,0,0,106.65625,78392.234375,86.640625,1084.1875,1687.984375,3.1,4701.0,0.0,4701.0,195036549,158275582,0,707911162
1709266223211.3357,0,0,0,0,0,0,0,0,24149272564,2722047527,5081495,7625527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509561,22336583168,176879,3056748032,88,168448,0,0,106.671875,78403.703125,86.671875,1084.421875,1688.265625,4.7,4701.0,0.0,4701.0,195069598,158317473,0,708034343
