CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8051,0,29.0C/0.0C,1.85ms,0.73ms,0.00ms,13.86ms,1(DR73,0.20,0.12(W0.18),1.00,16.79/19.53,18.71,1,1.23,0,0,-2208969605.915,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8051,0,29.0C/0.0C,1.86ms,0.71ms,0.00ms,13.86ms,1(DR73,0.20,0.05(W0.10),1.00,16.71/19.52,18.62,1,1.23,0,0,-2208969604.915,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8051,0,29.0C/0.0C,1.85ms,0.77ms,0.00ms,13.86ms,1(DR73,0.21,0.05(W0.05),1.00,16.78/19.51,18.69,1,1.23,0,0,-2208969603.915,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8051,0,29.0C/0.0C,1.85ms,0.72ms,0.00ms,13.86ms,1(DR73,0.20,0.11(W0.14),1.00,16.69/19.56,18.68,1,1.23,0,0,-2208969602.915,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8051,0,29.0C/0.0C,1.84ms,0.74ms,0.00ms,13.86ms,1(DR73,0.20,0.10(W0.25),1.00,16.66/19.52,18.60,1,1.23,0,0,-2208969601.915,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8051,0,29.0C/0.0C,1.85ms,0.71ms,0.00ms,13.86ms,1(DR73,0.20,0.08(W0.10),1.00,16.61/19.41,18.54,1,1.23,0,0,-2208969600.915,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8051,0,29.0C/0.0C,1.85ms,0.77ms,0.00ms,13.86ms,1(DR73,0.20,0.14(W0.15),1.00,16.61/19.42,18.60,1,1.23,0,0,-2208969599.915,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8051,0,29.0C/0.0C,1.85ms,0.74ms,0.00ms,13.86ms,1(DR73,0.20,0.07(W0.10),1.00,16.67/19.94,18.66,1,1.23,0,0,-2208969598.915,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,8051,0,29.0C/0.0C,1.86ms,0.74ms,0.00ms,13.86ms,1(DR73,0.20,0.05(W0.10),1.00,16.63/19.44,18.55,1,1.23,0,0,-2208969597.915,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8051,0,29.0C/0.0C,1.85ms,0.72ms,0.00ms,13.86ms,1(DR73,0.20,0.16(W0.23),1.00,16.73/19.68,18.70,1,1.23,0,0,-2208969596.915,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary0.4,False,False,ogcat_VrApi.log
