CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.5C/0.0C,4.33ms,2.36ms,0.46ms,13.16ms,3(DR0,0.55,0.13(W0.19),1.00,18.69/21.45,20.55,1,1.23,0,0,-2208929482.674,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.5C/0.0C,4.34ms,2.39ms,0.47ms,13.12ms,3(DR0,0.56,0.13(W0.19),1.00,18.52/21.51,20.51,1,1.23,0,0,-2208929481.68,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,7950,0,27.5C/0.0C,4.34ms,2.48ms,0.48ms,13.14ms,3(DR0,0.56,0.13(W0.25),1.00,18.52/21.38,20.53,1,1.23,0,0,-2208929480.68,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7950,0,27.5C/0.0C,4.34ms,2.45ms,0.47ms,13.13ms,3(DR0,0.56,0.11(W0.14),1.00,18.61/21.54,20.54,1,1.23,0,0,-2208929479.68,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,7950,0,27.5C/0.0C,4.34ms,2.51ms,0.46ms,13.14ms,3(DR0,0.55,0.16(W0.22),1.00,18.57/21.40,20.45,1,1.23,0,0,-2208929478.68,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7950,0,27.5C/0.0C,4.32ms,2.46ms,0.47ms,13.13ms,3(DR0,0.55,0.14(W0.18),1.00,18.56/21.38,20.48,1,1.23,0,0,-2208929477.68,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.5C/0.0C,4.32ms,2.42ms,0.47ms,13.13ms,3(DR0,0.57,0.13(W0.14),1.00,18.51/21.53,20.48,1,1.23,0,0,-2208929476.68,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.5C/0.0C,4.34ms,2.29ms,0.27ms,13.14ms,3(DR0,0.55,0.19(W0.29),1.00,18.54/21.34,20.43,1,1.23,0,0,-2208929475.68,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.5C/0.0C,4.34ms,2.47ms,0.35ms,13.13ms,3(DR0,0.54,0.10(W0.15),1.00,18.34/21.72,20.44,1,1.23,0,0,-2208929474.679,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.5C/0.0C,4.37ms,2.44ms,0.47ms,13.13ms,3(DR0,0.55,0.21(W0.32),1.00,18.52/21.34,20.40,1,1.23,0,0,-2208929473.679,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.5C/0.0C,4.34ms,2.37ms,0.47ms,13.12ms,3(DR0,0.55,0.12(W0.22),1.00,18.40/21.22,20.39,1,1.23,0,0,-2208929472.679,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,70,0ms,0,0,5,2/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.5C/0.0C,4.34ms,2.24ms,0.46ms,13.94ms,3(DR0,0.55,0.18(W0.24),1.00,18.26/21.40,20.41,1,1.23,0,0,-2208929471.679,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.5C/0.0C,4.35ms,2.32ms,0.46ms,13.14ms,3(DR0,0.55,0.11(W0.19),1.00,18.51/21.37,20.52,1,1.23,0,0,-2208929470.679,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.7C/0.0C,4.33ms,2.35ms,0.42ms,13.13ms,3(DR0,0.55,0.15(W0.25),1.00,18.48/21.27,20.40,1,1.23,0,0,-2208929469.679,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.7C/0.0C,4.33ms,2.37ms,0.46ms,13.13ms,3(DR0,0.54,0.16(W0.26),1.00,18.39/21.31,20.39,1,1.23,0,0,-2208929468.679,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.7C/0.0C,4.32ms,2.33ms,0.44ms,13.13ms,3(DR0,0.54,0.13(W0.21),1.00,18.44/21.19,20.34,1,1.23,0,0,-2208929467.679,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.7C/0.0C,4.31ms,2.07ms,0.37ms,13.21ms,3(DR0,0.53,0.14(W0.22),1.00,18.29/21.26,20.34,1,1.23,0,0,-2208929466.679,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,2092MHz,7950,0,27.7C/0.0C,4.32ms,2.21ms,0.46ms,13.86ms,3(DR0,0.52,0.11(W0.14),1.00,18.31/21.07,20.31,1,1.23,0,0,-2208929465.679,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7950,0,27.7C/0.0C,4.34ms,2.20ms,0.37ms,13.86ms,3(DR0,0.52,0.11(W0.19),1.00,18.18/21.20,20.27,1,1.23,0,0,-2208929464.679,True,True,999999,0,BeatSaber,PopStars-Medium,roomscale_boundary_50cm_increments_interleaved0.15,False,False,ogcat_VrApi.log
