timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709653402675.2131,0,0,0,0,0,0,0,0,52867735159,18956399992,17247851,27753900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081399825,3704800918,7251921,10497091,0,0,0,0,1406739,126363319808,1214196,43782287872,242,409088,0,0,1013.90625,517440.0625,931.390625,7767.59375,13262.625,16.7,4701.0,0.0,4701.0,1571647833,1078125084,0,287899510
1709653403674.8628,0,0,0,0,0,0,0,0,52877265939,18957462522,17249537,27757147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081401956,3704804353,7251931,10497107,0,0,0,0,1406739,126363319808,1214222,43782836736,242,409088,0,0,1013.953125,517451.484375,931.453125,7767.8125,13262.984375,5.7,4701.0,0.0,4701.0,1571690130,1078172203,0,288046433
1709653404668.907,0,0,0,0,0,0,0,0,52886700274,18958515084,17251146,27760298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081401956,3704804353,7251931,10497107,0,0,0,0,1406739,126363319808,1214233,43783041536,242,409088,0,0,1014.0,517462.625,931.5,7768.15625,13263.3125,6.4,4701.0,0.0,4701.0,1571736037,1078220530,0,288203113
1709653405663.5469,0,0,0,0,0,0,0,0,52896084567,18959569176,17252752,27763544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081401956,3704804353,7251931,10497107,0,0,0,0,1406739,126363319808,1214254,43783356928,242,409088,0,0,1014.03125,517473.65625,931.546875,7768.578125,13263.859375,8.7,4701.0,0.0,4701.0,1571777345,1078266630,0,288346213
1709653406673.9626,0,0,0,0,0,0,0,0,52905640952,18960641709,17254439,27766771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081401956,3704808801,7251931,10497127,0,0,0,0,1406739,126363319808,1214254,43783356928,242,409088,0,0,1014.046875,517485.09375,931.59375,7768.875,13264.3125,6.6,4701.0,0.0,4701.0,1571823513,1078316048,0,288507702
1709653407667.8403,0,0,0,0,0,0,0,0,52915165227,18961692976,17256108,27770005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081404087,3704810112,7251941,10497133,0,0,0,0,1406739,126363319808,1214258,43783574016,242,409088,0,0,1014.09375,517495.953125,931.671875,7769.25,13264.890625,9.0,4701.0,0.0,4701.0,1571866663,1078363262,0,288657052
1709653408668.039,0,0,0,0,0,0,0,0,52924304402,18962748796,17257720,27773052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081404087,3704810112,7251941,10497133,0,0,0,0,1406739,126363319808,1214269,43783918080,242,409088,0,0,1014.15625,517507.203125,931.734375,7769.671875,13265.21875,7.2,4701.0,0.0,4701.0,1571911660,1078410712,0,288815221
1709653409679.4968,0,0,0,0,0,0,0,0,52933673642,18963819505,17259386,27776273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081404087,3704812354,7251941,10497143,0,0,0,0,1406739,126363319808,1214286,43784323584,242,409088,0,0,1014.171875,517518.484375,931.78125,7770.109375,13265.6875,7.9,4701.0,0.0,4701.0,1571953967,1078457853,0,288960605
1709653410671.8362,0,0,0,0,0,0,0,0,52942950413,18964862464,17260997,27779348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081404087,3704812440,7251941,10497144,0,0,0,0,1406739,126363319808,1214287,43784327680,242,409088,0,0,1014.21875,517529.71875,931.828125,7770.4375,13266.125,7.1,4701.0,0.0,4701.0,1571999000,1078505545,0,289118433
1709653411669.0056,0,0,0,0,0,0,0,0,52952329121,18965920852,17262619,27782573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081404087,3704813237,7251941,10497149,0,0,0,0,1406739,126363319808,1214307,43784888832,242,409088,0,0,1014.25,517540.859375,931.9375,7770.78125,13266.453125,6.8,4701.0,0.0,4701.0,1572041335,1078552306,0,289262997
