Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-2110350,3997,8.43506895
1.004,-2147948,3992,8.574608416
2.008,-2106444,3992,8.408924447999999
3.012,-2129393,3992,8.500536856
4.015,-2104979,3992,8.403076167999998
5.02,-2131834,3992,8.510281328
6.025,-2122069,3992,8.471299448
7.028,-2127440,3992,8.49274048
8.033,-2126463,3992,8.488840296000001
9.037,-2103026,3992,8.395279792
10.04,-2132811,3992,8.514181512
11.043,-2131834,3990,8.506017660000001
12.048,-2172362,3990,8.667724380000001
13.052,-1969237,3990,7.857255630000001
14.056,-2007323,3990,8.00921877
15.06,-2041502,3990,8.14559298
16.064,-2183104,3990,8.710584959999998
17.067,-2159666,3990,8.61706734
18.071,-2083006,3990,8.311193939999999
19.076,-2092772,3990,8.35016028
20.08,-2140135,3988,8.534858380000001
21.083,-2093748,3988,8.349867024
22.088,-2115721,3988,8.437495348
23.091,-2108885,3988,8.410233380000001
24.094,-2104491,3988,8.392710108
25.105,-2103514,3988,8.388813832
26.109,-1770018,3988,7.0588317840000006
27.113,-1727049,3988,6.887471412
28.117,-1727538,3988,6.889421544
29.12,-1889647,3988,7.535912236
30.123,-2191405,3988,8.73932314
31.127,-2203612,3985,8.78139382
32.132,-2220701,3985,8.849493485
33.135,-2148436,3985,8.561517460000001
34.14,-2175780,3985,8.6704833
35.144,-2207518,3985,8.796959229999999
36.148,-2176268,3985,8.672427979999998
37.151,-2192869,3985,8.738582964999999
38.154,-2228514,3985,8.88062829
39.158,-2213377,3985,8.820307345
40.161,-2182616,3985,8.69772476
41.165,-2248045,3982,8.951715190000002
42.174,-2243162,3979,8.925541598
43.178,-2200194,3979,8.754571925999999
44.183,-2207518,3979,8.783714122
45.187,-2208494,3979,8.787597626
46.192,-2187010,3979,8.702112790000001
47.196,-2233397,3979,8.886686663
48.199,-2212401,3979,8.803143579
49.203,-2216307,3979,8.818685552999998
50.207,-2195799,3979,8.737084221
