timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709264249274.4907,0,0,0,0,0,0,0,0,3776763352,520685231,855220,1316886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508522,22318323712,141795,2550516736,88,168448,0,0,40.46875,56149.4375,43.265625,561.5624999999927,778.140625,9.1,4701.0,0.0,4701.0,80427225,57094550,0,374651471
1709264250281.2966,0,0,0,0,0,0,0,0,3784073686,521732774,856936,1319827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508522,22318323712,141817,2551028736,88,168448,0,0,40.5,56160.765625,43.265625,561.8281249999927,778.578125,6.1,4701.0,0.0,4701.0,80469565,57138940,0,374807829
1709264251274.2222,0,0,0,0,0,0,0,0,3792653629,522783815,858603,1322948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508522,22318323712,141829,2551471104,88,168448,0,0,40.5625,56172.34375,43.296875,562.0937499999927,778.734375,4.3,4701.0,0.0,4701.0,80502277,57179112,0,374926080
1709264252274.3787,0,0,0,0,0,0,0,0,3802364188,523840176,860302,1326129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508523,22318340096,141851,2552007680,88,168448,0,0,40.640625,56183.625,43.296875,562.3437499999927,779.171875,6.4,4701.0,0.0,4701.0,80537435,57220537,0,375059925
1709264253278.4463,0,0,0,0,0,0,0,0,3812751247,524894609,862011,1329241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508523,22318340096,141852,2552011776,88,168448,0,0,40.671875,56195.390625,43.3125,562.4687499999927,779.296875,2.5,4701.0,0.0,4701.0,80568658,57261486,0,375178442
1709264254278.309,0,0,0,0,0,0,0,0,3823196790,525946799,863682,1332329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508523,22318340096,141880,2552380416,88,168448,0,0,40.671875,56206.90625,43.328125,562.7343749999927,779.53125,4.3,4701.0,0.0,4701.0,80603134,57302977,0,375311145
1709264255282.0676,0,0,0,0,0,0,0,0,3833561235,526993822,865394,1335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508523,22318340096,141899,2552630272,88,168448,0,0,40.71875,56218.578125,43.328125,562.8749999999927,779.71875,3.1,4701.0,0.0,4701.0,80634944,57343820,0,375429915
1709264256272.9675,0,0,0,0,0,0,0,0,3843415859,528038857,867054,1338335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508523,22318340096,141899,2552630272,88,168448,0,0,40.765625,56230.125,43.359375,563.1562499999927,779.859375,4.2,4701.0,0.0,4701.0,80669606,57385785,0,375561540
1709264257272.321,0,0,0,0,0,0,0,0,3853420926,529084265,868708,1341331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508523,22318340096,141929,2553043968,88,168448,0,0,40.765625,56241.6875,43.390625,563.3906249999927,780.0625,3.9,4701.0,0.0,4701.0,80700580,57425760,0,375673250
1709264258274.1733,0,0,0,0,0,0,0,0,3863148896,530110795,870378,1344108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508523,22318340096,141975,2553531392,88,168448,0,0,40.796875,56253.21875,43.40625,563.6249999999927,780.28125,4.2,4701.0,0.0,4701.0,80736031,57468545,0,375810056
1709264259271.6936,0,0,0,0,0,0,0,0,3873310505,531174096,872105,1347281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508523,22318340096,141999,2553822208,88,168448,0,0,40.859375,56264.8125,43.421875,563.7968749999927,780.546875,4.3,4701.0,0.0,4701.0,80767820,57509292,0,375937667
