CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8011,0,27.5C/0.0C,3.65ms,0.75ms,0.26ms,13.13ms,2(DR0,0.36,0.11(W0.18),1.00,17.57/20.23,19.44,1,1.23,0,0,-2208971275.914,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8011,0,27.5C/0.0C,3.66ms,0.75ms,0.25ms,13.12ms,2(DR0,0.36,0.14(W0.17),1.00,17.51/20.36,19.51,1,1.23,0,0,-2208971274.914,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8011,0,27.5C/0.0C,3.66ms,0.72ms,0.25ms,13.13ms,2(DR0,0.35,0.11(W0.14),1.00,17.59/20.32,19.48,1,1.23,0,0,-2208971273.914,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.66ms,0.76ms,0.25ms,13.18ms,2(DR0,0.37,0.07(W0.10),1.00,17.56/20.80,19.51,1,1.23,0,0,-2208971272.907,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.66ms,0.76ms,0.25ms,13.18ms,2(DR0,0.36,0.08(W0.15),1.00,17.54/20.22,19.44,1,1.23,0,0,-2208971271.914,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.67ms,0.73ms,0.26ms,13.12ms,2(DR0,0.36,0.08(W0.11),1.00,17.52/20.26,19.44,1,1.23,0,0,-2208971270.914,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.65ms,0.74ms,0.25ms,13.14ms,2(DR0,0.35,0.15(W0.18),1.00,17.58/20.53,19.52,1,1.23,0,0,-2208971269.914,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.66ms,0.76ms,0.25ms,13.14ms,2(DR0,0.36,0.05(W0.10),1.00,17.56/20.30,19.44,1,1.23,0,0,-2208971268.914,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.66ms,0.73ms,0.25ms,13.13ms,2(DR0,0.35,0.11(W0.18),1.00,17.52/20.33,19.46,1,1.23,0,0,-2208971267.914,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.65ms,0.82ms,0.25ms,13.25ms,2(DR0,0.36,0.09(W0.17),1.00,17.50/20.91,19.55,1,1.23,0,0,-2208971266.914,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.65ms,0.74ms,0.25ms,13.86ms,2(DR0,0.36,0.15(W0.17),1.00,17.58/20.46,19.61,1,1.23,0,0,-2208971265.914,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.65ms,0.74ms,0.26ms,13.86ms,2(DR0,0.36,0.02(W0.05),1.00,17.54/20.19,19.45,1,1.23,0,0,-2208971264.914,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.66ms,0.73ms,0.25ms,13.86ms,2(DR0,0.35,0.14(W0.18),1.00,17.43/20.38,19.51,1,1.23,0,0,-2208971263.913,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.66ms,0.78ms,0.26ms,13.86ms,2(DR0,0.36,0.09(W0.22),1.00,17.48/20.20,19.42,1,1.23,0,0,-2208971262.913,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.65ms,0.77ms,0.25ms,13.86ms,2(DR0,0.36,0.02(W0.06),1.00,17.61/20.45,19.52,1,1.23,0,0,-2208971261.913,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.65ms,0.74ms,0.25ms,13.86ms,2(DR0,0.36,0.14(W0.18),1.00,17.59/20.36,19.55,1,1.23,0,0,-2208971260.913,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.65ms,0.77ms,0.25ms,13.86ms,2(DR0,0.36,0.06(W0.14),1.00,17.66/20.52,19.64,1,1.23,0,0,-2208971259.913,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8021,0,27.5C/0.0C,3.65ms,0.76ms,0.25ms,13.86ms,2(DR0,0.36,0.11(W0.14),1.00,17.52/20.44,19.51,1,1.23,0,0,-2208971258.913,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary0.4,False,False,ogcat_VrApi.log
