Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-2037108,4123,8.398996284
1.007,-2085448,4123,8.598302104
2.015,-2044432,4123,8.429193136
3.022,-2050291,4123,8.453349793000001
4.031,-2058104,4123,8.485562792
5.045,-2061034,4123,8.497643182000001
6.05,-2059569,4123,8.491602987
7.057,-2131834,4123,8.789551582
8.063,-2065916,4123,8.517771668
9.071,-2051268,4120,8.451224159999999
10.077,-2088377,4120,8.60411324
11.086,-2070799,4120,8.53169188
12.092,-2067381,4120,8.51760972
13.097,-2070799,4120,8.53169188
14.104,-2128905,4120,8.7710886
15.118,-2203123,4120,9.076866760000001
16.126,-2185057,4120,9.00243484
17.131,-2110838,4120,8.69665256
18.138,-2078123,4120,8.561866760000001
19.144,-2137205,4116,8.796735779999999
20.155,-2115721,4116,8.708307636
21.16,-2128905,4116,8.76257298
22.167,-2053221,4116,8.451057636
23.173,-2103514,4116,8.658063624
24.18,-2102537,4116,8.654042291999998
25.193,-2105467,4116,8.666102171999999
26.199,-2090819,4116,8.605811003999998
27.206,-2096190,4116,8.627918039999999
28.211,-2080077,4116,8.561596932
29.215,-2073241,4114,8.529313473999999
30.224,-2123534,4114,8.736218876
31.228,-2124510,4114,8.740234140000002
32.239,-2136717,4114,8.790453738
33.248,-2099608,4114,8.637787312
34.253,-2125487,4114,8.744253518
35.263,-2072752,4114,8.527301728
36.27,-2134276,4114,8.780411463999998
37.278,-2146483,4114,8.830631062000002
38.285,-2126952,4114,8.750280528000001
39.291,-2132323,4110,8.763847530000001
40.297,-2109862,4110,8.671532820000001
41.305,-2160155,4110,8.878237050000001
42.313,-2123045,4109,8.723591905000001
43.319,-2137694,4109,8.783784645999999
44.326,-2130370,4109,8.75369033
45.332,-2110838,4109,8.673433342000001
46.336,-2131834,4109,8.759705906
47.346,-2087401,4109,8.577130708999999
48.353,-2117674,4109,8.701522466
49.36,-2112303,4109,8.679453027
50.365,-2110838,4109,8.673433342000001
51.373,-2106932,4109,8.657383587999998
