CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,7908,0,22.7C/0.0C,4.43ms,2.48ms,0.26ms,13.16ms,3(DR0,0.55,0.24(W0.26),1.00,19.05/22.15,21.12,1,1.23,0,0,-2208931260.994,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,7908,0,22.7C/0.0C,4.42ms,2.37ms,0.25ms,13.16ms,3(DR0,0.55,0.29(W0.36),1.00,19.10/22.07,21.07,1,1.23,0,0,-2208931259.994,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7908,0,22.7C/0.0C,4.47ms,2.46ms,0.26ms,13.17ms,3(DR0,0.55,0.25(W0.32),1.00,18.98/22.05,21.01,1,1.23,0,0,-2208931258.994,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,2092MHz,7908,0,22.7C/0.0C,4.45ms,2.47ms,0.26ms,13.15ms,3(DR0,0.54,0.09(W0.11),1.00,19.04/21.76,20.97,1,1.23,0,0,-2208931257.993,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7908,0,22.7C/0.0C,4.46ms,2.49ms,0.26ms,13.15ms,3(DR0,0.55,0.18(W0.29),1.00,18.97/21.83,20.93,1,1.23,0,0,-2208931256.993,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7908,0,22.7C/0.0C,4.42ms,2.39ms,0.26ms,13.15ms,3(DR0,0.53,0.21(W0.27),1.00,19.05/21.98,21.01,1,1.23,0,0,-2208931255.993,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7908,0,22.7C/0.0C,4.44ms,2.36ms,0.26ms,13.14ms,3(DR0,0.53,0.26(W0.29),1.00,19.04/21.99,21.00,1,1.23,0,0,-2208931254.993,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7908,0,22.7C/0.0C,4.43ms,2.42ms,0.26ms,13.14ms,3(DR0,0.53,0.32(W0.42),1.00,18.95/22.07,21.04,1,1.23,0,0,-2208931253.993,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,7908,0,22.7C/0.0C,4.48ms,2.26ms,0.26ms,13.14ms,3(DR0,0.53,0.18(W0.26),1.00,19.09/24.26,21.97,1,1.23,0,0,-2208931252.993,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7908,0,22.7C/0.0C,4.45ms,2.39ms,0.26ms,13.87ms,3(DR0,0.52,0.15(W0.25),1.00,21.02/24.46,23.31,1,1.23,0,0,-2208931251.993,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7908,0,23.0C/0.0C,4.45ms,2.46ms,0.26ms,13.87ms,3(DR0,0.53,0.23(W0.27),1.00,20.03/23.45,22.38,1,1.23,0,0,-2208931250.993,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7908,0,23.0C/0.0C,4.42ms,2.42ms,0.26ms,13.86ms,3(DR0,0.54,0.25(W0.30),1.00,19.58/22.65,21.57,1,1.23,0,0,-2208931249.993,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_edge0.0,False,False,ogcat_VrApi.log
